N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
8;008;I;COMPRENSIÒN DE TEXTOS;02;4;2;6;5;NINGUNO
9;009;I;MATEMÀTICA BÁSICA I;02;4;2;6;5;NINGUNO
10;010;I;HISTORIA DEL PERÙ AUTÒNOMO;02;4;2;6;5;NINGUNO
11;011;I;CIENCIAS NATURALES;02;4;2;6;5;NINGUNO
12;012;I;ESTRATEGIAS DE APRENDIZAJE;02;2;2;4;3;NINGUNO
13;013;I;RECREACIÒN Y DEPORTES;02;0;2;2;1;NINGUNO
14;014;I;ARTE;02;0;2;2;1;NINGUNO
21;041;II;PRODUCCION DE TEXTOS;02;4;2;6;5;008
22;042;II;MATEMATICA BASICA II;02;4;2;6;5;009
23;043;II;FILOSOFIA;02;2;2;4;3;NINGUNO
24;044;II;BIOLOGIA GENERAL;02;2;2;4;3;NINGUNO
25;045;II;HSTORIA DE LA SOCIEDAD ANTIGUA;02;3;2;5;4;NINGUNO
26;046;II;HISTORIA DE LA EDUCACION;02;3;2;5;4;NINGUNO
34;047;III;REALIDAD NACIONAL E INTERCULTURALIDAD;02;2;2;4;3;NINGUNO
35;048;III;TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;02;2;2;4;3;NINGUNO
36;049;III;FORMACION CIVICA;02;4;2;6;5;NINGUNO
37;050;III;HISTORIA DE LA SOCIEDAD MEDIEVAL Y MODERNA;02;4;2;6;5;045
38;051;III;TEORIA DE LA EDUCACION;02;3;2;5;4;NINGUNO
39;052;III;PSICOLOGIA EVOLUTIVA;02;3;2;5;4;NINGUNO
47;053;IV;ESTADISTICA DESCRPTIVA;02;2;2;4;3;NINGUNO
48;054;IV;FUENTES DE LA HISTORIA;02;3;2;5;4;NINGUNO
49;055;IV;HISTORIA DE LAS SOCIEDADES ANTIGUAS DEL PERU;02;4;2;6;5;NINGUNO
50;056;IV;PSICOLOGIA DEL APRENDIZAJE;02;2;2;4;3;NINGUNO
51;057;IV;DIDACTICA DE LA HISTORIA;02;4;2;6;5;NINGUNO
52;058;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;02;3;2;5;4;NINGUNO
59;059;V;INTRODUCCION A LA ASTRONOMIA;02;4;2;6;5;NINGUNO
60;060;V;HISTORIA DE LA SOCIEDAD INCA;02;3;2;5;4;055
61;061;V;TEORIA Y DISEÑO CURRICULAR;02;3;2;5;4;051
62;062;V;DIDACTICA DE LA GEOGRAFIA Y ECONOMIA;02;3;2;5;4;NINGUNO
63;063;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;02;2;2;4;3;NINGUNO
64;064;V;TALLER DE FORMACION DE LA PERSONALIDAD E IDENTIDAD;02;3;2;5;4;NINGUNO
71;097;VI;GEOGRAFIA FISICA;02;3;2;5;4;NINGUNO
72;098;VI;HISTORIA DE LA COLONIA;02;3;2;5;4;NINGUNO
73;099;VI;FILOSOFIA DE LA EDUCACION;02;3;2;5;4;043
74;100;VI;DIDACTICA DE LA FORMACION CIVICA;02;2;2;4;3;NINGUNO
75;101;VI;PRACTICA DE DISEÑO CURRICULAR;02;2;4;6;4;063
76;128;VI;TALLER DEL EJERCICIO CIUDADANO Y CULTURA CIVICA;02;3;2;5;4;NINGUNO
85;102;VII;METODOL.DE INVESTIG.CUANTITATIVA Y CUALITATIVA;02;3;2;5;4;NINGUNO
86;103;VII;GEOFRAFIA DEL PERU;02;3;2;5;4;NINGUNO
87;104;VII;HISTORIA DE LA EMANCIPACION PERUANA;02;3;2;5;4;098
88;105;VII;EVALUACIN DEL APRENDIZAJE;02;3;2;5;4;061
89;106;VII;PRACTICA DE SESIONES DE APRENDIZAJE;02;2;4;6;4;101
90;107;VII;IDIOMA INGLES;02;2;2;4;3;NINGUNO
91;108;VII;IDIOMA QUECHUA;02;2;2;4;3;NINGUNO
92;109;VII;IDIOMA AIMARA;02;2;2;4;3;NINGUNO
99;110;VIII;PROYECTO DE INVESTIGACION;02;3;2;5;4;102
100;111;VIII;GEOECONOMIA;02;3;2;5;4;NINGUNO
101;112;VIII;HISTORIA DE LA REPUBLICA SIGLO XIX;02;4;2;6;5;NINGUNO
102;113;VIII;HISTORIA DE LA SOCIEDAD CONTEMPORANEA;02;2;2;4;3;NINGUNO
103;114;VIII;GERENCIA EDUCATIVA I;02;2;2;4;3;NINGUNO
104;115;VIII;PRACTICA DE UNIDADES DIDACTICAS I;02;2;4;6;4;106
111;116;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;02;3;2;5;4;110
112;117;IX;ECONOMIA APLICADA A LA EDUCACION;02;2;2;4;3;NINGUNO
113;118;IX;HISTORIA DE LA REPUBLICA CONTEMPORANEA;02;4;2;6;5;112
114;119;IX;HISTORIA REGIONAL;02;3;2;5;4;NINGUNO
115;120;IX;GERENCIA EDUCATIVA II;02;2;2;4;3;114
116;121;IX;PRACTICA DE UNIDADES DIDACTICAS II;02;2;4;6;4;115
123;122;X;INFORME DE INVESTIGACION;02;3;2;5;4;116
124;123;X;GEOPOLITICA Y DEMOGRAFIA;02;4;2;6;5;NINGUNO
125;124;X;INVESTIGACION DE HISTORIA Y GEOGRAFIA;02;4;2;6;5;NINGUNO
126;125;X;FILOSOFIA DE LA HISTORIA;02;2;2;4;3;NINGUNO
127;126;X;LEGISLACION EDUCATIVA;02;2;2;4;3;NINGUNO
128;127;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;02;3;2;5;4;121
129;EDU204;X;TRABAJO DE INVESTIGACIÓN;02;3;2;5;4;116
