N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;COMPRENSIÒN DE TEXTOS;0;4;1;2;6;5;Null;
2;1;I;MATEMÀTICA BÁSICA I;0;4;1;2;6;5;Null;
3;1;I;HISTORIA DEL PERÙ AUTÒNOMO;0;4;1;2;6;5;Null;
4;1;I;CIENCIAS NATURALES;0;4;1;2;6;5;Null;
5;1;I;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null;
;;I;RECREACIÒN Y DEPORTES;0;0;1;2;2;1;Null;
;1;I;ARTE;0;0;1;2;2;1;Null;
;2;II;PRODUCCION DE TEXTOS;0;4;1;2;6;5;Null;
6;2;II;MATEMATICA BASICA II;0;4;1;2;6;5;Null;
7;2;II;FILOSOFIA;0;2;1;2;4;3;Null;
8;2;II;BIOLOGIA GENERAL;0;2;1;2;4;3;Null;
9;2;II;HISTORIA DE LA SOCIEDAD ANTIGUA;0;3;1;2;5;4;Null;
10;2;II;HISTORIA DE LA EDUCACION;0;3;1;2;5;4;Null;
11;3;III;REALIDAD NACIONAL E INTERCULTURALIDAD;0;2;1;2;4;3;Null;
;3;III;TECNOLOGIAS DE LA INFORMACION Y COMUNICACIÓN;0;2;1;2;4;3;Null;
12;3;III;FORMACION CIVICA;0;4;1;2;6;5;Null;
12;3;III;HISTORIA DE LA SOCIEDAD MEDIEVAL Y MODERNA;0;4;1;2;6;5;Null;
12;3;III;TEORIA DE LA EDUCACION;0;3;1;2;5;4;Null;
13;3;III;PSICOLOGIA EVOLUTIVA;0;3;1;2;5;4;Null;
14;4;IV;ESTADISTICA DESCRIPTIVA;0;2;1;2;4;3;Null;
15;4;IV;FUENTES DE LA HISTORIA;0;3;1;2;5;4;Null;
;4;IV;HISTORIA DE LAS SOCIEDADES ANTIGUAS DEL PERU;0;4;1;2;6;5;Null;
16;4;IV;PSICOLOGIA DEL APRENDIZAJE;0;2;1;2;4;3;Null;
17;4;IV;DIDACTICA DE LA HISTORIA;0;4;1;2;6;5;Null;
18;4;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;0;3;1;2;5;4;Null;
19;5;V;INTRODUCCION A LA ASTRONOMIA;0;4;1;2;6;5;Null;
20;5;V;HISTORIA DE LA SOCIEDAD INCA;0;3;1;2;5;4;Null;
;5;V;TEORIA Y DISEÑO CURRICULAR;0;3;1;2;5;4;Null;
21;5;V;DIDACTICA DE LA GEOGRAFIA Y ECONOMIA;0;3;1;2;5;4;Null;
;5;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;0;2;1;2;4;3;;
;5;V;TALLER DE FORMACION DE LA PERSONALIDAD E IDENTIDAD;0;3;1;2;5;4;;
22;6;VI;GEOGRAFIA FISICA;0;3;1;2;5;4;Null;
23;6;VI;HISTORIA DE LA COLONIA;0;3;1;2;5;4;Null;
24;6;VI;FILOSOFIA DE LA EDUCACION;0;3;1;2;5;4;Null;
24;6;VI;DIDACTICA DE LA FORMACION CIVICA;0;2;1;2;4;3;Null;
;6;VI;PRACTICA DE DISEÑO CURRICULAR;0;2;2;4;6;4;;
;6;VI;TALLER DEL EJERCICIO CIUDADANO Y CULTURA CIVICA;0;3;1;2;5;4;;
24;7;VII;METODOLOGIA DE INVESTIGACION CUANTITATIVA Y CUALITATIVA;0;3;1;2;5;4;Null;
25;7;VII;GEOGRAFIA DEL PERU;0;3;1;2;5;4;Null;
;7;VII;HISTORIA DE LA EMANCIPACION PERUANA;0;3;1;2;5;4;;
26;7;VII;EVALUACION DEL APRENDIZAJE;0;3;1;2;5;4;Null;
;7;VII;PRACTICA DE SESIONES DE APRENDIZAJE;0;2;2;4;6;4;;
;;VII;IDIOMA QUECHUA;0;2;1;2;4;3;Null;
;;VII;IDIOMA AIMARA;0;2;1;2;4;3;Null;
27;7;VII;IDIOMA INGLES;0;2;1;2;4;3;Null;
;8;VIII;PROYECTO DE INVESTIGACION;0;3;1;2;5;4;;
;8;VIII;GEOECONOMIA;0;3;1;2;5;4;;
;8;VIII;HISTORIA DE LA REPUBLICA SIGLO XIX;0;4;1;2;6;5;;
;8;VIII;HISTORIA DE LA SOCIEDAD CONTEMPORANEA;0;2;1;2;4;3;;
;8;VIII;GERENCIA EDUCATIVA I;0;2;1;2;4;3;;
;8;VIII;PRACTICA DE UNIDADES DIDACTICAS I;0;2;2;4;6;4;;
;9;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;0;3;1;2;5;4;;
;9;IX;ECONOMIA APLICADA A LA EDUCACION;0;2;1;2;4;3;;
;9;IX;HISTORIA DE LA REPUBLICA CONTEMPORANEA;0;4;1;2;6;5;;
;9;IX;HISTORIA REGIONAL;0;3;1;2;5;4;Null;
28;9;IX;GERENCIA EDUCATIVA II;0;2;1;2;4;3;Null;
29;9;IX;PRACTICA DE UNIDADES DIDACTICAS II;0;2;2;4;6;4;Null;
;10;X;TRABAJO DE INVESTIGACIÓN;0;3;1;2;5;4;;
30;10;X;GEOPOLITICA Y DEMOGRAFIA;0;4;1;2;6;5;Null;
;10;X;INVESTIGACION DE HISTORIA Y GEOGRAFIA;0;4;1;2;6;5;Null;
31;10;X;FILOSOFIA DE LA HISTORIA;0;2;1;2;4;3;Null;
;10;X;LEGISLACION EDUCATIVA;0;2;1;2;4;3;;
;10;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;0;3;1;2;5;4;;
