N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;COMPRENSIÒN DE TEXTOS;1;4;2;6;5;NINGUNO
2;2;I;MATEMÀTICA BÀSICA I;1;4;2;6;5;NINGUNO
3;3;I;HISTORIA DEL PERÙ AUTÒNOMO;1;4;2;6;5;NINGUNO
4;4;I;CIENCIAS NATURALES;1;4;2;6;5;NINGUNO
5;5;I;ESTRATEGIAS DE APRENDIZAJE;1;2;2;4;3;NINGUNO
6;6;I;RECRACIÒN Y DEPORTES;1;0;2;2;1;NINGUNO
7;7;I;ARTE;1;0;2;2;1;NINGUNO
22;78;II;PRODUCCION DE TEXTOS;1;4;2;6;5;1
23;79;II;MATEMATICA BASICA II;1;4;2;6;5;2
24;80;II;FILOSOFIA;1;2;2;4;3;NINGUNO
25;81;II;BIOLOGIA GENERAL;1;2;2;4;3;NINGUNO
26;82;II;EDUCACION AMBIENTAL;1;3;2;5;4;NINGUNO
27;83;II;HISTORIA DE LA EDUCACION;1;3;2;5;4;NINGUNO
36;84;III;REALIDAD NACIONAL E INTERCULTURALIDAD;1;2;2;4;3;NINGUNO
37;85;III;TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;1;2;2;4;3;NINGUNO
38;86;III;ANATOMIA HUMANA I;1;4;2;6;5;NINGUNO
39;87;III;TEORIA DE LA EDUCACION;1;3;2;5;4;NINGUNO
40;88;III;PSICOLOGIA EVOLUTIVA;1;3;2;5;4;NINGUNO
41;89;III;LABORATORIO DE BIOLOGIA;1;4;2;6;5;NINGUNO
48;90;IV;ESTADISTICA DESCRIPTIVA;1;2;2;4;3;NINGUNO
49;91;IV;ANATOMIA HUMANA II;1;4;2;6;5;86
50;92;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;1;3;2;5;4;NINGUNO
51;93;IV;PSICOLOGIA DEL APRENDIZAJE;1;2;2;4;3;NINGUNO
52;94;IV;DIDACTICA DE LA BIOLOGIA;1;3;2;5;4;NINGUNO
53;95;IV;QUIMICA INORGANICA;1;4;2;6;5;NINGUNO
61;96;V;FISICA I;1;3;2;5;4;NINGUNO
62;97;V;QUIMICA ORGANICA;1;4;2;6;5;95
63;98;V;TEORIA Y DISEÑO CURRICULAR;1;3;2;5;4;87
64;99;V;DIDACTICA DE LA QUIMICA;1;3;2;5;4;NINGUNO
65;100;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;1;2;2;4;3;NINGUNO
66;101;V;LABORATORIO DE QUIMICA;1;3;2;5;4;NINGUNO
74;102;VI;FISICA II;1;3;2;5;4;96
75;103;VI;QUIMICA ANALITICA CUANTITATIVA;1;3;2;5;4;NINGUNO
76;104;VI;FILOSOFIA DE LA EDUCACION;1;3;2;5;4;80
77;105;VI;DIDACTICA DE LA FISICA;1;3;2;5;4;NINGUNO
78;106;VI;PRACTICA DE DISEÑO CURRICULAR;1;2;4;6;4;100
79;108;VI;TALLER DE FERIA DE CIENCIAS;1;2;2;4;3;NINGUNO
89;110;VII;METODOL. DE INVESTIG. CUANTITATIVA Y CUALITATIVA;1;3;2;5;4;NINGUNO
90;111;VII;FISICA III;1;3;2;5;4;102
91;112;VII;BOTANICA GENERAL;1;3;2;5;4;NINGUNO
92;113;VII;EVALUACION DEL APRENDIZAJE;1;3;2;5;4;98
93;114;VII;PRACTICA DE SESIONES DE APRENDIZAJE;1;2;4;6;4;106
94;115;VII;IDIOMA INGLES;1;2;2;4;3;NINGUNO
95;116;VII;IDIOMA QUECHUA;1;2;2;4;3;NINGUNO
96;117;VII;IDIOMA AIMARA;1;2;2;4;3;NINGUNO
104;107;VIII;LABORATORIO DE FISICA;1;3;2;5;4;NINGUNO
105;118;VIII;PROYECTO DE INVESTIGACIÓN;1;3;2;5;4;110
106;119;VIII;FISICA IV;1;3;2;5;4;111
107;120;VIII;QUIMICA ANALITICA CUALITATIVA;1;3;2;5;4;NINGUNO
108;121;VIII;GERENCIA EDUCATIVA I;1;2;2;4;3;NINGUNO
109;122;VIII;PRACTICA DE UNIDADES DIDACTICAS I;1;2;4;6;4;114
117;123;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;1;3;2;5;4;118
118;124;IX;ZOOLOGIA GENERAL;1;3;2;5;4;NINGUNO
119;125;IX;BOTANICA SISTEMATICA;1;4;2;6;5;112
120;126;IX;DISEÑOS ESTADISTICOS APLICADOS A LA INVESTIGACION;1;2;2;4;3;118
121;127;IX;GERENCIA EDUCATIVA II;1;2;2;4;3;121
122;128;IX;PRACTICA DE UNIDADES DIDACTICAS II;1;2;4;6;4;122
129;129;X;INFORME DE INVESTIGACION;1;3;2;5;4;123
130;130;X;ZOOLOGIA SISTEMATICA;1;4;2;6;5;124
131;131;X;EDUCACION PARA LA SALUD;1;4;2;6;5;NINGUNO
132;132;X;FISICO QUIMICA;1;2;2;4;3;NINGUNO
133;133;X;LEGISLACION EDUCATIVA;1;2;2;4;3;NINGUNO
134;134;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;1;3;2;5;4;128
136;EDU219;X;TRABAJO DE INVESTIGACIÓN;1;3;2;5;4;123
