N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;COMPRENSIÒN DE TEXTOS;0;4;1;2;6;5;Null;
2;1;I;MATEMÀTICA BÀSICA I;0;4;1;2;6;5;Null;
3;1;I;HISTORIA DEL PERÙ AUTÒNOMO;0;4;1;2;6;5;Null;
4;1;I;CIENCIAS NATURALES;0;4;1;2;6;5;Null;
5;1;I;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null;
;1;I;ARTE;0;0;1;2;2;1;Null;
;1;I;RECREACIÓN Y DEPORTES;0;0;1;2;2;1;Null;
6;2;II;PRODUCCION DE TEXTOS;0;4;1;2;6;5;Null;
7;2;II;MATEMATICA BASICA II;0;4;1;2;6;5;Null;
8;2;II;FILOSOFIA;0;2;1;2;4;3;Null;
9;2;II;BIOLOGIA GENERAL;0;2;1;2;4;3;Null;
10;2;II;EDUCACION AMBIENTAL;0;3;1;2;5;4;Null;
11;2;II;HISTORIA DE LA EDUCACION;0;3;1;2;5;4;Null;
;3;III;REALIDAD NACIONAL E INTERCULTURALIDAD;0;2;1;2;4;3;Null;
12;3;III;TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;0;2;1;2;4;3;Null;
12;3;III;ANATOMIA HUMANA I;0;4;1;2;6;5;Null;
12;3;III;TEORIA DE LA EDUCACION;0;3;1;2;5;4;Null;
13;3;III;PSICOLOGIA EVOLUTIVA;0;3;1;2;5;4;Null;
14;3;III;LABORATORIO DE BIOLOGIA;0;4;1;2;6;5;Null;
15;4;IV;ESTADISTICA DESCRIPTIVA;0;2;1;2;4;3;Null;
;4;IV;ANATOMIA HUMANA II;0;4;1;2;6;5;Null;
16;4;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;0;3;1;2;5;4;Null;
17;4;IV;PSICOLOGIA DEL APRENDIZAJE;0;2;1;2;4;3;Null;
18;4;IV;DIDACTICA DE LA BIOLOGIA;0;3;1;2;5;4;Null;
19;4;IV;QUIMICA INORGANICA;0;4;1;2;6;5;Null;
20;5;V;FISICA I;0;3;1;2;5;4;Null;
;5;V;QUIMICA ORGANICA;0;4;1;2;6;5;Null;
21;5;V;TEORIA Y DISEÑO CURRICULAR;0;3;1;2;5;4;Null;
;5;V;DIDACTICA DE LA QUIMICA;0;3;1;2;5;4;;
;5;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;0;2;1;2;4;3;;
22;5;V;LABORATORIO DE QUIMICA;0;3;1;2;5;4;Null;
23;6;VI;FISICA II;0;3;1;2;5;4;Null;
24;6;VI;QUIMICA ANALITICA CUANTITATIVA;0;3;1;2;5;4;Null;
24;6;VI;FILOSOFIA DE LA EDUCACION;0;3;1;2;5;4;Null;
;6;VI;DIDACTICA DE LA FISICA;0;3;1;2;5;4;;
;6;VI;PRACTICA DE DISEÑO CURRICULAR;0;2;2;4;6;4;;
24;6;VI;TALLER DE FERIA DE CIENCIAS;0;2;1;2;4;3;Null;
25;7;VII;METODOLOGIA DE LA INVESTIGACION CUANTITATIVA Y CUALITATIVA;0;3;1;2;5;4;Null;
;7;VII;FISICA III;0;3;1;2;5;4;;
26;7;VII;BOTANICA GENERAL;0;3;1;2;5;4;Null;
;7;VII;EVALUACION DEL APRENDIZAJE;0;3;1;2;5;4;;
27;7;VII;PRACTICA DE SESIONES DE APRENDIZAJE;0;2;2;4;6;4;Null;
;;VII;IDIOMA INGLES;0;2;1;2;4;3;;
;;VII;IDIOMA QUECHUA;0;2;1;2;4;3;;
;7;VII;IDIOMA AIMARA;0;2;1;2;4;3;;
;8;VIII;LABORATORIO DE FISICA;0;3;1;2;5;4;;
;8;VIII;PROYECTO DE INVESTIGACION;0;3;1;2;5;4;;
;8;VIII;FISICA IV;0;3;1;2;5;4;;
;8;VIII;QUIMICA ANALITICA CUALITATIVA;0;3;1;2;5;4;;
;8;VIII;GERENCIA EDUCATIVA I;0;2;1;2;4;3;;
;8;VIII;PRACTICA DE UNIDADES DIDACTICAS I;0;2;2;4;6;4;;
;9;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;0;3;1;2;5;4;Null;
28;9;IX;ZOOLOGIA GENERAL;0;3;1;2;5;4;Null;
29;9;IX;BOTANICA SISTEMATICA;0;4;1;2;6;5;Null;
;9;IX;DISEÑOS ESTADISTICOS APLICADOS A LA INVESTIGACION;0;2;1;2;4;3;;
30;9;IX;GERENCIA EDUCATIVA II;0;2;1;2;4;3;Null;
;9;IX;PRACTICA DE UNIDADES DIDACTICAS II;0;2;2;4;6;4;Null;
31;10;X;TRABAJO DE INVESTIGACION;0;3;1;2;5;4;Null;
;10;X;ZOOLOGIA SISTEMATICA;0;4;1;2;6;5;;
;10;X;EDUCACION PARA LA SALUD;0;4;1;2;6;5;;
;10;X;FISICO QUIMICA;0;2;1;2;4;3;;
;10;X;LEGISLACION EDUCATIVA;0;2;1;2;4;3;;
;10;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;0;3;1;2;5;4;;
