N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
8;008;I;COMPRENSIÒN DE TEXTOS;02;4;2;6;5;NINGUNO
9;009;I;MATEMÀTICA BÀSICA I;02;4;2;6;5;NINGUNO
10;010;I;HISTORIA DEL PERÙ AUTÒNOMO;02;4;2;6;5;NINGUNO
11;011;I;CIENCIAS NATURALES;02;4;2;6;5;NINGUNO
12;012;I;ESTRATEGIAS DE APRENDIZAJE;02;2;2;4;3;NINGUNO
13;013;I;RECREACIÒN Y DEPORTES;02;0;2;2;1;NINGUNO
14;014;I;ARTE;02;0;2;2;1;NINGUNO
15;015;I;MATEMÀTICA RECREATIVA;02;0;2;2;1;NINGUNO
16;016;II;PRODUCCION DE TEXTOS;02;4;2;6;5;008
17;017;II;MATEMATICA BASICA II;02;4;2;6;5;009
18;018;II;FILOSOFIA;02;2;2;4;3;NINGUNO
19;019;II;BIOLOGIA GENERAL;02;2;2;4;3;NINGUNO
20;020;II;HISTORIA DE LA EDUCACION;02;3;2;5;4;NINGUNO
21;021;II;DIDACTICA DE LA LOGICA MATEMATICA;02;3;2;5;4;NINGUNO
28;022;III;REALIDAD NACIONAL E INTERCULTURALIDAD;02;2;2;4;3;NINGUNO
29;023;III;TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;02;2;2;4;3;NINGUNO
30;024;III;SISTEMAS NUMERICOS;02;3;2;5;4;NINGUNO
31;025;III;TEORIA DE LA EDUCACION;02;3;2;5;4;NINGUNO
32;026;III;PSICOLOGIA EVOLUTIVA;02;3;2;5;4;NINGUNO
33;027;III;DIDACTICA DE LA GEOMETRIA EUCLIDEANA;02;2;2;4;3;NINGUNO
34;028;III;LABORATORIO DE MATEMATICA;02;1;2;3;2;NINGUNO
35;029;III;SISTEMAS OPERATIVOS Y REDES;02;1;2;3;2;NINGUNO
42;030;IV;ESTADISTICA DESCRIPTIVA;02;2;2;4;3;NINGUNO
43;031;IV;ALGEBRA MODERNA;02;4;2;6;5;NINGUNO
44;032;IV;ALGEBRA DISCRETA Y PROGRAMACION;02;3;2;5;4;NINGUNO
45;033;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;02;3;2;5;4;NINGUNO
46;034;IV;PSICOLOGIA DEL APRENDIZAJE;02;2;2;4;3;NINGUNO
47;035;IV;DIDACTICA DE LOS NUMEROS Y FUNCIONES;02;4;2;6;5;NINGUNO
54;036;V;ALGEBRA LINEAL;02;4;2;6;5;031
55;037;V;ESTADISTICA INFERENCIAL;02;4;2;6;5;NINGUNO
56;038;V;TEORIA Y DISEÑO CURRICULAR;02;3;2;5;4;025
57;039;V;DIDACTICA DEL ALGEBRA;02;3;2;5;4;NINGUNO
58;040;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;02;2;2;4;3;NINGUNO
59;041;V;DIDACTICA DE LA ESTADISTICA;02;2;2;4;3;NINGUNO
60;042;V;FISICA RECREATIVA;02;2;2;4;3;NINGUNO
67;043;VI;CALCULO DIFERENCIAL;02;3;2;5;4;NINGUNO
68;044;VI;LENGUAJES DE PROGRAMACION;02;3;2;5;4;NINGUNO
69;045;VI;FILOSOFIA DE LA EDUCACION;02;3;2;5;4;018
70;046;VI;DIDACTICA DE LA GEOMETRIA ANALITICA;02;4;2;6;5;NINGUNO
71;047;VI;PRACTICA DE DISEÑO CURRICULAR;02;2;4;6;4;040
72;048;VI;DIDACTICA DE LA COMPUTACION;02;1;2;3;2;NINGUNO
73;049;VI;ETNOMATEMATICA;02;1;2;3;2;NINGUNO
80;050;VII;METODOL.DE INVESTIGAC. CUANTITATIVA Y CUALITATIVA;02;3;2;5;4;NINGUNO
81;051;VII;CALCULO INTEGRAL;02;3;2;5;4;043
82;052;VII;EVALUACION DEL APRENDIZAJE;02;3;2;5;4;038
83;053;VII;ESTRATEGIAS E HISTORIA DE LA MATEMATICA;02;3;2;5;4;NINGUNO
84;054;VII;PRACTICA DE SESIONES DE APRENDIZAJE;02;2;4;6;4;047
85;055;VII;IDIOMA INGLES;02;2;2;4;3;NINGUNO
86;056;VII;IDIOMA QUECHUA;02;2;2;4;3;NINGUNO
87;057;VII;IDIOMA AIMARA;02;2;2;4;3;NINGUNO
97;058;VIII;PROYECTO DE INVESTIGACION;02;3;2;5;4;050
98;059;VIII;ECUACIONES DIFERENCIALES;02;4;2;6;5;NINGUNO
99;060;VIII;FISICA I;02;3;2;5;4;NINGUNO
100;061;VIII;GERENCIA EDUCATIVA I;02;2;2;4;3;NINGUNO
101;062;VIII;PRACTICA DE UNIDADES DIDACTICAS I;02;2;4;6;4;054
102;063;VIII;LABORATORIO DE FISICA;02;2;2;4;3;NINGUNO
103;064;VIII;AULAS DE INNOVACION;02;2;2;4;3;NINGUNO
110;065;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;02;3;2;5;4;058
111;066;IX;ANALISIS REAL;02;2;2;4;3;NINGUNO
113;068;IX;FISICA II;02;4;2;6;5;060
114;069;IX;ENTORNOS VIRTUALES DE APRENDIZAJE;02;3;2;5;4;NINGUNO
115;070;IX;GERENCIA EDUCATIVA II;02;2;2;4;3;061
116;071;IX;PRACTICA DE UNIDADES DIDACTICAS II;02;2;4;6;4;062
123;072;X;INFORME DE INVESTIGACION;02;3;2;5;4;065
124;073;X;TOPOLOGIA GENERAL;02;3;2;5;4;NINGUNO
125;074;X;FISICA III;02;4;2;6;5;068
126;075;X;LEGISLACION EDUCATIVA;02;2;2;4;3;NINGUNO
127;076;X;DIDACTICA DE LA TRIGONOMETRIA;02;3;2;5;4;NINGUNO
128;077;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;02;3;2;5;4;071
135;EDU204;X;TRABAJO DE INVESTIGACION;02;3;2;5;4;065
