N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;COMPRENSIÒN DE TEXTOS;0;4;1;2;6;5;Null;
2;1;I;MATEMÀTICA BÀSICA I;0;4;1;2;6;5;Null;
3;1;I;HISTORIA DEL PERÙ AUTÒNOMO;0;4;1;2;6;5;Null;
4;1;I;CIENCIAS NATURALES;0;4;1;2;6;5;Null;
5;1;I;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null;
;;I;RECREACIÓN Y DEPORTES;0;0;1;2;2;1;;
;;I;ARTE;0;0;1;2;2;1;;
;1;I;MATEMÁTICA RECREATIVA;0;0;1;2;2;1;Null;
;2;II;PRODUCCION DE TEXTOS;0;4;1;2;6;5;Null;
;2;II;MATEMATICA BASICA II;0;4;1;2;6;5;Null;
6;2;II;FILOSOFIA;0;2;1;2;4;3;Null;
7;2;II;BIOLOGIA GENERAL;0;2;1;2;4;3;Null;
8;2;II;HISTORIA DE LA EDUCACION;0;3;1;2;5;4;Null;
9;2;II;DIDACTICA DE LA LOGICA MATEMATICA;0;3;1;2;5;4;Null;
10;3;III;REALIDAD NACIONAL E INTERCULTURALIDAD;0;2;1;2;4;3;Null;
11;3;III;TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;0;2;1;2;4;3;Null;
;3;III;SISTEMAS NUMERICOS;0;3;1;2;5;4;Null;
12;3;III;TEORIA DE LA EDUCACION;0;3;1;2;5;4;Null;
12;3;III;PSICOLOGIA EVOLUTIVA;0;3;1;2;5;4;Null;
12;3;III;DIDACTICA DE LA GEOMETRIA EUCLIDEANA;0;2;1;2;4;3;Null;
;;III;SISTEMAS OPERATIVOS Y REDES;0;1;1;2;3;2;Null;
13;3;III;LABORATORIO DE MATEMATICA;0;1;1;2;3;2;Null;
14;4;IV;ESTADISTICA DESCRIPTIVA;0;2;1;2;4;3;Null;
15;4;IV;ALGEBRA MODERNA;0;4;1;2;6;5;Null;
;4;IV;ALGEBRA DISCRETA Y PROGRAMACION;0;3;1;2;5;4;Null;
16;4;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;0;3;1;2;5;4;Null;
17;4;IV;PSICOLOGIA DEL APRENDIZAJE;0;2;1;2;4;3;Null;
18;4;IV;DIDACTICA DE LOS NUMEROS Y FUNCIONES;0;4;1;2;6;5;Null;
19;5;V;ALGEBRA LINEAL;0;4;1;2;6;5;Null;
20;5;V;ESTADISTICA INFERENCIAL;0;4;1;2;6;5;Null;
;5;V;TEORIA Y DISEÑO CURRICULAR;0;3;1;2;5;4;Null;
21;5;V;DIDACTICA DEL ALGEBRA;0;3;1;2;5;4;Null;
;5;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;0;2;1;2;4;3;;
;;V;FISICA RECREATIVA;0;2;1;2;4;3;;
;5;V;DIDACTICA DE LA ESTADISTICA;0;2;1;2;4;3;;
22;6;VI;CALCULO DIFERENCIAL;0;3;1;2;5;4;Null;
23;6;VI;LENGUAJES DE PROGRAMACION;0;3;1;2;5;4;Null;
24;6;VI;FILOSOFIA DE LA EDUCACION;0;3;1;2;5;4;Null;
24;6;VI;DIDACTICA DE LA GEOMETRIA ANALITICA;0;4;1;2;6;5;Null;
;6;VI;PRACTICA DE DISEÑO CURRICULAR;0;2;2;4;6;4;;
;;VI;ETNOMATEMATICA;0;1;1;2;3;2;;
;6;VI;DIDACTICA DE LA COMPUTACION;0;1;1;2;3;2;;
24;7;VII;METODOLOGIA DE LA INVESTIGACION CUANTITATIVA Y CUALITATIVA;0;3;1;2;5;4;Null;
25;7;VII;CALCULO INTEGRAL;0;3;1;2;5;4;Null;
;7;VII;EVALUACION DEL APRENDIZAJE;0;3;1;2;5;4;;
26;7;VII;ESTRATEGIAS E HISTORIA DE LA MATEMATICA;0;3;1;2;5;4;Null;
;7;VII;PRACTICA DE SESIONES DE APRENDIZAJE;0;2;2;4;6;4;;
;;VII;IDIOMA QUECHUA;0;2;1;2;4;3;Null;
;;VII;IDIOMA INGLES;0;2;1;2;4;3;Null;
27;7;VII;IDIOMA AIMARA;0;2;1;2;4;3;Null;
;8;VIII;PROYECTO DE INVESTIGACION;0;3;1;2;5;4;;
;8;VIII;ECUACIONES DIFERENCIALES;0;4;1;2;6;5;;
;8;VIII;FISICA I;0;3;1;2;5;4;;
;8;VIII;GERENCIA EDUCATIVA I;0;2;1;2;4;3;;
;8;VIII;PRACTICA DE UNIDADES DIDACTICAS I;0;2;2;4;6;4;;
;;VIII;AULAS DE INNOVACION;0;2;1;2;4;3;;
;8;VIII;LABORATORIO DE FISICA;0;2;1;2;4;3;;
;9;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;0;3;1;2;5;4;;
;9;IX;ANALISIS REAL;0;2;1;2;4;3;;
;9;IX;FISICA II;0;4;1;2;6;5;;
;9;IX;ENTORNOS VIRTUALES DE APRENDIZAJE;0;3;1;2;5;4;;
;9;IX;GERENCIA EDUCATIVA II;0;2;1;2;4;3;;
;9;IX;PRACTICA DE UNIDADES DIDACTICAS II;0;2;2;4;6;4;Null;
28;10;X;TRABAJO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;
29;10;X;TOPOLOGIA GENERAL;0;3;1;2;5;4;Null;
;10;X;FISICA III;0;4;1;2;6;5;;
30;10;X;LEGISLACION EDUCATIVA;0;2;1;2;4;3;Null;
;10;X;DIDACTICA DE LA TRIGONOMETRIA;0;3;1;2;5;4;Null;
31;10;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;0;3;1;2;5;4;Null;
