N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
2;2;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;3;2;5;4;NINGUNO
3;3;I;TECNOLOGIAS DE INFORMACION Y COMUNICACION;0;3;2;5;4;NINGUNO
4;4;I;DESARROLLO PERSONAL;0;3;2;5;4;NINGUNO
5;5;I;ANATOMIA;0;3;2;5;4;NINGUNO
6;6;I;DESARROLLO Y APRENDIZAJE MOTRIZ;0;3;2;5;4;NINGUNO
7;7;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;0;3;2;5;4;2
8;8;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;2;5;4;NINGUNO
9;9;II;HISTORIA CRITICA DEL PERU AUTONOMO;0;3;2;5;4;NINGUNO
10;10;II;FISIOLOGIA DEL ESFUERZO FISICO;0;3;2;5;4;5
11;11;II;PEDAGOGIA DEL ATLETISMO DE PISTA;0;3;2;5;4;NINGUNO
12;12;II;PEDAGOGIA DEL ATLETISMO DE CAMPO;0;3;2;5;4;NINGUNO
13;13;III;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;2;5;4;NINGUNO
14;14;III;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;3;2;5;4;NINGUNO
15;15;III;TEORIA DE LA EDUCACION FISICA;0;3;2;5;4;NINGUNO
16;16;III;EDUCACION PSICOMOTRIZ;0;3;2;5;4;6
17;17;III;PEDAGOGIA DEL FUTBOL;0;3;2;5;4;NINGUNO
18;18;III;PEDAGOGIA DE LA NATACION;0;3;2;5;4;NINGUNO
19;19;IV;REALIDAD NACIONAL E INTERCULTURALIDAD;0;3;2;5;4;NINGUNO
20;20;IV;PROGRAMACION CURRICULAR EN EDUCACION FISICA;0;3;2;5;4;NINGUNO
21;21;IV;ESTRATEGIAS METODOLOGICAS Y RECURSOS DIDACTICOS EN EDUCACION FISICA;0;3;2;5;4;NINGUNO
22;22;IV;PEDAGOGIA DE LA GIMNASIA EDUCATIVA Y A MANO LIBRE;0;3;2;5;4;NINGUNO
23;23;IV;RECREACION, JUEGOS TRADICIONALES Y DEPORTES DE SALON;0;3;2;5;4;NINGUNO
25;25;IV;FUNDAMENTOS TECNICOS DEL FUTBOL;0;3;2;5;4;17
26;26;IV;NATACION I TECNICA CROL Y ESPALDA;0;3;2;5;4;18
27;27;IV;DIAGNOSTICO DEL DESARROLLO PSICOMOTOR;0;3;2;5;4;16
28;28;V;EVALUACION EN EDUCACION FISICA;0;3;2;5;4;NINGUNO
29;29;V;PEDAGOGIA DEL BASQUETBOL;0;3;2;5;4;NINGUNO
30;30;V;PREPARACION FISICA EN EL FUTBOL;0;3;2;5;4;25
31;31;V;NATACION II TECNICA PECHO, MARIPOSA Y SALVATAJE;0;3;2;5;4;26
32;32;V;PROGRAMAS DE INTERVENCION PSICOMOTRIZ;0;3;2;5;4;27
33;33;V;PRACTICA EN EL NIVEL INICIAL;0;3;2;5;4;21
34;34;V;PEDAGOGIA DE LA GIMNASIA CON APARATOS;0;3;2;5;4;NINGUNO
35;35;V;BALONMANO;0;3;2;5;4;NINGUNO
36;36;VI;FILOSOFIA;0;3;2;5;4;NINGUNO
37;37;VI;PSICOLOGIA DEL DEPORTE Y LA ACTIVIDAD FISICA;0;3;2;5;4;NINGUNO
38;38;VI;PEDAGOGIA DEL VOLEIBOL;0;3;2;5;4;NINGUNO
39;39;VI;ACTIVIDAD FISICA PARA LA SALUD DEL NIÑO Y ADOLESCENTE;0;3;2;5;4;NINGUNO
40;40;VI;PRINCIPIOS Y SISTEMAS DE JUEGO EN EL FUTBOL;0;3;2;5;4;30
41;41;VI;PREPARACION FISICA EN LA NATACION;0;3;2;5;4;31
42;42;VI;REEDUCACION PSICOMOTRIZ;0;3;2;5;4;32
43;43;VI;PRACTICA EN EL NIVEL PRIMARIO;0;3;2;5;4;33
44;44;VII;ESTADISTICA GENERAL;0;3;2;5;4;1
45;45;VII;TEORIA Y METODOLOGIA DEL ENTRENAMIENTO DEPORTIVO;0;3;2;5;4;10
46;46;VII;ACTIVIDAD FISICA PARA LA SALUD DEL ADULTO;0;3;2;5;4;39
47;48;VII;FUNDAMENTOS TECNICOS DEL VOLEIBOL;0;3;2;5;4;38
49;49;VII;FUNDAMENTOS TECNICOS DEL BASQUETBOL;0;3;2;5;4;29
50;50;VII;ATLETISMO I PRUEBAS DE VELOCIDAD Y MEDIO FONDO;0;3;2;5;4;11
51;51;VII;PRACTICA INTENSIVA EN EL NIVEL PRIMARIO;0;3;2;5;4;43
52;52;VII;GIMNASIA RITMICA Y FOLKLORICA;0;3;2;5;4;NINGUNO
53;53;VIII;NUTRICION Y DIETETICA APLICADA A LA ACTIVIDAD FISICA Y DEPORTE;0;3;2;5;4;NINGUNO
54;54;VIII;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;0;3;2;5;4;NINGUNO
55;55;VIII;PLANIFICACION, EJECUCION Y EVALUACION DEL ENTRENAMIENTO DEPORTIVO;0;3;2;5;4;45
56;56;VIII;PREPARACION FISICA EN EL VOLEIBOL;0;3;2;5;4;48
58;58;VIII;PREPARACION FISICA EN EL BASQUETBOL;0;3;2;5;4;49
59;59;VIII;ATLETISMO II PRUEBAS DE FONDO;0;3;2;5;4;50
60;60;VIII;PRACTICA EN PROMOCION DE LA SALUD;0;3;2;5;4;46
61;61;VIII;INGLES;0;3;2;5;4;NINGUNO
62;62;VIII;QUECHUA;0;3;2;5;4;NINGUNO
63;63;VIII;AIMARA;0;3;2;5;4;NINGUNO
65;64;IX;BIOMECANICA DE LA ACTIVIDAD FISICA Y DEL DEPORTE;0;3;2;5;4;NINGUNO
66;65;IX;MEDICINA DEPORTIVA;0;3;2;5;4;NINGUNO
67;66;IX;GESTION EDUCATIVA;0;3;2;5;4;NINGUNO
68;67;IX;FORMULACION DE PROYECTOS DE INVESTIGACION EN EDUCACION FISICA Y DEPORTES;0;3;2;5;4;54
69;68;IX;SISTEMAS Y TACTICAS DE JUEGO EN EL VOLEIBOL;0;3;2;5;4;56
70;69;IX;SISTEMAS Y TACTICAS DE JUEGO EN EL BASQUETBOL;0;3;2;5;4;58
71;70;IX;ATLETISMO III PRUEBAS COMBINADAS;0;3;2;5;4;59
72;71;IX;PRACTICA EN EL NIVEL SECUNDARIO;0;3;2;5;4;51
73;72;X;LEGISLACION EDUCATIVA Y DEPORTIVA;0;3;2;5;4;NINGUNO
74;73;X;CINEANTROPOMETRIA;0;3;2;5;4;NINGUNO
75;74;X;GESTION DEPORTIVA;0;3;2;5;4;NINGUNO
76;75;X;EJECUCION Y REDACCION DE LA INVESTIGACION EN EDUCACION FISICA Y DEPORTES;0;3;2;5;4;67
77;76;X;PRACTICA INTENSIVA EN EL NIVEL SECUNDARIO;0;3;2;5;4;61,62,63,78
78;77;X;EDUCACION FISICA ESPECIAL;0;3;2;5;4;NINGUNO
79;EFI220;X;TRABAJO DE INVESTIGACION;;3;2;5;4;67
