N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
2;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
3;1;I;TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN;0;3;1;2;5;4;Null;
4;1;I;DESARROLLO PERSONAL;0;3;1;2;5;4;Null;
5;1;I;ANATOMÍA;0;3;1;2;5;4;Null;
6;1;I;DESARROLLO Y APRENDIZAJE MOTRIZ;0;3;1;2;5;4;Null;
7;2;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
8;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
9;2;II;HISTORIA CRÍTICA DEL PERÚ AUTÓNOMO;0;3;1;2;5;4;Null;
10;2;II;FISIOLOGÍA DEL ESFUERZO FÍSICO;0;3;1;2;5;4;Null;
11;2;II;PEDAGOGÍA DEL ATLETISMO DE PISTA;0;3;1;2;5;4;Null;
12;2;II;PEDAGOGÍA DEL ATLETISMO DE CAMPO;0;3;1;2;5;4;Null;
12;3;III;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;1;2;5;4;Null;
12;3;III;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;3;1;2;5;4;Null;
13;3;III;TEORÍA DE LA EDUCACIÓN FÍSICA;0;3;1;2;5;4;Null;
14;3;III;EDUCACIÓN PSICOMOTRIZ;0;3;1;2;5;4;Null;
15;3;III;PEDAGOGÍA DEL FÚTBOL;0;3;1;2;5;4;Null;
16;3;III;PEDAGOGÍA DE LA NATACIÓN;0;3;1;2;5;4;Null;
17;4;IV;REALIDAD NACIONAL E INTERCULTURALIDAD;0;3;1;2;5;4;Null;
18;4;IV;PROGRAMACIÓN CURRICULAR EN EDUCACIÓN FÍSICA;0;3;1;2;5;4;Null;
19;4;IV;ESTRATEGIAS METODOLÓGICAS Y RECURSOS DIDÁCTICOS EN EDUCACIÓN FÍSICA;0;3;1;2;5;4;Null;
20;4;IV;PEDAGOGÍA DE LA GIMNASIA EDUCATIVA Y A MANO LIBRE;0;3;1;2;5;4;Null;
21;4;IV;RECREACIÓN, JUEGOS TRADICIONALES Y DEPORTES DE SALÓN;0;3;1;2;5;4;Null;
;4;IV;FUNDAMENTOS TÉCNICOS DEL FÚTBOL;0;3;1;2;5;4;;
;4;IV;NATACIÓN I TÉCNICA CROL Y ESPALDA;0;3;1;2;5;4;;
22;4;IV;DIAGNÓSTICO DEL DESARROLLO PSICOMOTOR;0;3;1;2;5;4;Null;
23;5;V;EVALUACIÓN EN EDUCACIÓN FÍSICA;0;3;1;2;5;4;Null;
24;5;V;PEDAGOGÍA DE LA GIMNASIA CON APARATOS;0;3;1;2;5;4;Null;
24;5;V;PEDAGOGÍA DEL BÁSQUETBOL;0;3;1;2;5;4;Null;
;;V;NATACIÓN II TÉCNICA PECHO, MARIPOSA Y SALVATAJE;0;3;1;2;5;4;;
;;V;PREPARACIÓN FÍSICA EN EL FÚTBOL;0;3;1;2;5;4;;
24;5;V;PROGRAMAS DE INTERVENCIÓN PSICOMOTRIZ;0;3;1;2;5;4;Null;
25;5;V;PRÁCTICA EN EL NIVEL INICIAL;0;3;1;2;5;4;Null;
;5;V;BALONMANO;0;3;1;2;5;4;;
26;6;VI;FILOSOFÍA;0;3;1;2;5;4;Null;
;6;VI;PSICOLOGÍA DEL DEPORTE Y LA ACTIVIDAD FÍSICA;0;3;1;2;5;4;;
27;6;VI;PEDAGOGÍA DEL VOLEIBOL;0;3;1;2;5;4;Null;
;6;VI;ACTIVIDAD FÍSICA PARA LA SALUD DEL NIÑO Y ADOLESCENTE;0;3;1;2;5;4;;
;;VI;PREPARACIÓN FÍSICA EN LA NATACIÓN;0;3;1;2;5;4;;
;;VI;PRINCIPIOS Y SISTEMAS DE JUEGO EN EL FÚTBOL;0;3;1;2;5;4;;
28;6;VI;REEDUCACIÓN PSICOMOTRIZ;0;3;1;2;5;4;Null;
29;6;VI;PRÁCTICA EN EL NIVEL PRIMARIO;0;3;1;2;5;4;Null;
;7;VII;ESTADÍSTICA GENERAL;0;3;1;2;5;4;;
30;7;VII;TEORÍA Y METODOLOGÍA DEL ENTRENAMIENTO DEPORTIVO;0;3;1;2;5;4;Null;
31;7;VII;ACTIVIDAD FÍSICA PARA LA SALUD DEL ADULTO;0;3;1;2;5;4;Null;
;;VII;FUNDAMENTOS TÉCNICOS DEL BÁSQUETBOL;0;3;1;2;5;4;;
;;VII;FUNDAMENTOS TÉCNICOS DEL VOLEIBOL;0;3;1;2;5;4;;
;7;VII;ATLETISMO I PRUEBAS DE VELOCIDAD Y MEDIO FONDO;0;3;1;2;5;4;;
;7;VII;PRÁCTICA INTENSIVA EN EL NIVEL PRIMARIO;0;3;1;2;5;4;;
32;7;VII;GIMNASIA RÍTMICA Y FOLKLÓRICA;0;3;1;2;5;4;Null;
33;8;VIII;NUTRICIÓN Y DIETÉTICA APLICADA A LA ACTIVIDAD FÍSICA Y DEPORTE;0;3;1;2;5;4;Null;
;8;VIII;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;3;1;2;5;4;;
;8;VIII;PLANIFICACIÓN, EJECUCIÓN Y EVALUACIÓN DEL ENTRENAMIENTO DEPORTIVO;0;3;1;2;5;4;;
;;VIII;PREPARACIÓN FÍSICA EN EL BÁSQUETBOL;0;3;1;2;5;4;;
;;VIII;ATLETISMO II PRUEBAS DE FONDO;0;3;1;2;5;4;;
;8;VIII;PREPARACIÓN FÍSICA EN EL VOLEIBOL;0;3;1;2;5;4;;
;8;VIII;PRÁCTICA EN PROMOCIÓN DE LA SALUD;0;3;1;2;5;4;;
;;VIII;AIMARA;0;3;1;2;5;4;;
;;VIII;INGLÉS;0;3;1;2;5;4;;
34;8;VIII;QUECHUA;0;3;1;2;5;4;Null;
;9;IX;BIOMECÁNICA DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE;0;3;1;2;5;4;;
;9;IX;MEDICINA DEPORTIVA;0;3;1;2;5;4;;
35;9;IX;GESTIÓN EDUCATIVA;0;3;1;2;5;4;Null;
