N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;4;2;6;5;NINGUNO
;2;I;MATEMATICA BASICA;0;4;2;6;5;NINGUNO
;3;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;2;5;4;NINGUNO
;4;I;CULTURA Y SOCIEDAD;0;3;2;5;4;NINGUNO
;5;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE UNIVERSITARIO;0;1;2;3;2;NINGUNO
;6;I;TECNOLOGIA DE INFORMACION Y COMUNICACION;0;3;2;5;4;NINGUNO
;7;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;0;4;2;6;5;NINGUNO
;8;II;MATEMATICA GENERAL;0;4;2;6;5;NINGUNO
;9;II;FILOSOFIA;0;3;2;5;4;NINGUNO
;10;II;ESTADISTICA GENERAL;0;3;2;5;4;NINGUNO
;11;II;HISTORIA CRITICO DEL PERU AUTONOMO;0;2;2;4;3;NINGUNO
;12;II;EDUCACION FISICA;0;2;2;4;3;NINGUNO
;13;III;ARGUMENTACION;0;2;2;4;3;NINGUNO
;14;III;REALIDAD NACIONAL E INTERCULTURALIDAD;0;2;2;4;3;NINGUNO
;15;III;TALLER DE GESTION DE LA CREATIVIDAD;0;3;2;5;4;NINGUNO
;16;III;NEURO DESARROLLO INFANTIL;0;4;2;6;5;NINGUNO
;17;III;ANALISIS DE LA PROBLEMATICA EN EDUCACION INICIAL;0;2;4;6;4;NINGUNO
;18;III;TALLER DE TEATRO INFANTIL EN LA COMUNIDAD;0;3;2;5;4;NINGUNO
;19;III;TALLER DE DANZA EN LA COMUNIDAD;0;3;2;5;4;NINGUNO
;20;III;INGLES;0;2;2;4;3;NINGUNO
;21;IV;FUNDAMENTOS DE LA EDUCACION INFANTIL;0;4;2;6;5;NINGUNO
;22;IV;TEORIA Y DISEÑO CURRICULAR;0;3;2;5;4;NINGUNO
;23;IV;DESARROLLO PERSONAL DEL NIÑO;0;2;2;4;3;NINGUNO
;24;IV;PSICOMOTRICIDAD Y EXPRESION LUDICA INFANTIL;0;4;2;6;5;NINGUNO
;25;IV;DESARROLLO DEL TALENTO Y EXPRESION GRAFICO PLASTICO;0;2;2;4;3;NINGUNO
;26;IV;DESARROLLO DEL PENSAMIENTO CIENTIFICO DEL NIÑO;0;3;2;5;4;NINGUNO
;27;V;EPISTEMOLOGIA;0;3;2;5;4;NINGUNO
;28;V;MEDIOS Y MATERIALES EDUCATIVOS;0;2;2;4;3;NINGUNO
;29;V;PEDAGOGIA DE LA DIVERSIDAD;0;2;2;4;3;NINGUNO
;30;V;LITERATURA INFANTIL;0;3;2;5;4;NINGUNO
;31;V;EXPERIENCIAS DIRECTAS EN EDUCACION TEMPRANA I;0;4;2;6;5;NINGUNO
;32;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;0;4;2;6;5;NINGUNO
;33;VI;EVALUACION DEL APRENDIZAJE;0;3;2;5;4;NINGUNO
;34;VI;ESTRATEGIAS PARA LA EDUCACION INTERCULTURAL TEMPRANA;0;2;2;4;3;NINGUNO
;36;VI;EDUCACION INCLUSIVA;0;3;2;5;4;NINGUNO
;37;VI;TALLER DE DESARROLLO DE LA COMUNICACION ORAL Y ESCRITA;0;3;2;5;4;NINGUNO
;38;VI;EXPERIENCIAS DIRECTAS EN EDUCACION TEMPRANA II;0;4;2;6;5;31
;39;VI;PRACTICA DE PROGRAMACION Y ACTIVIDADES SIMULADAS;0;3;2;5;4;32
;40;VII;PLANIFICACION EDUCATIVA;0;2;2;4;3;NINGUNO
;41;VII;METODOLOGIA DE LA INVESTIGACION;0;3;2;5;4;NINGUNO
;42;VII;DETECCION Y ATENCION BASICA A NIÑOS CON NECESIDADES EDUCATIVAS ESPECIALES;0;3;2;5;4;NINGUNO
;43;VII;DIDACTICAS ESPECIFICAS;0;3;2;5;4;NINGUNO
;44;VII;ESTRATEGIAS PARA LA MATEMATICA EN EDUCACION INICIAL;0;3;2;5;4;NINGUNO
;45;VII;PRACTICA DE ACTIVIDADES ESPECIFICAS;0;4;2;6;5;39
;46;VIII;ADMINISTRACION Y GESTION EDUCATIVA;0;3;2;5;4;NINGUNO
;47;VIII;FORMULACION DEL PROYECTO DE INVESTIGACION Y ELABORACION DE INSTRUMENTOS;0;3;2;5;4;NINGUNO
;48;VIII;EDUCACION BILINGUE INTERCULTURAL TEMPRANA;0;1;2;3;2;NINGUNO
;49;VIII;APLICACION DE SOFTWARE EN EDUCACION INFANTIL;0;3;2;5;4;NINGUNO
;50;VIII;SALUD Y PRIMEROS AUXILIOS EN EDUCACION INFANTIL;0;3;2;5;4;NINGUNO
;51;VIII;PRACTICA EN PROGRAMAS EDUCATIVOS;0;5;2;7;6;45
;52;IX;CULTURA EMPRENDEDORA Y PRODUCTIVA;0;3;2;5;4;NINGUNO
;53;IX;DESARROLLO PERSONAL;0;3;2;5;4;NINGUNO
;54;IX;METODOS Y TRABAJO CON FAMILIA Y COMUNIDAD;0;3;2;5;4;NINGUNO
;55;IX;FILOSOFIA DE LA EDUCACION;0;2;2;4;3;NINGUNO
;56;IX;DISEÑOS ESTADISTICOS APLICADOS A LA EDUCACION;0;2;2;4;3;NINGUNO
;57;IX;PRACTICA INTENSIVA Y SEMINARIO DE ACTUALIZACION;0;5;2;7;6;51
;58;X;SEGURIDAD Y DEFENSA NACIONAL;0;3;2;5;4;NINGUNO
;59;X;IDIOMA NATIVO QUECHUA;0;2;2;4;3;NINGUNO
;60;X;IDIOMA NATIVO AIMARA;0;2;2;4;3;NINGUNO
;61;X;LEGISLACION EDUCATIVA;0;2;2;4;3;NINGUNO
;62;X;EJECUCION Y REDACCION DEL INFORME DE INVESTIGACION;0;4;2;6;5;NINGUNO
;63;X;POLITICAS PUBLICAS Y PROGRAMAS DE ATENCION A LA PRIMERA INFANCIA;0;2;2;4;3;NINGUNO
;64;X;PRACTICA INTENSIVA Y PROYECTOS DE INNOVACION EDUCATIVA;0;5;2;7;6;57
;EIN239;X;TRABAJO DE INVESTIGACION;;4;2;6;5;NINGUNO
