N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;4;1;2;6;5;Null;
2;1;I;MATEMÁTICA BÁSICA;0;4;1;2;6;5;Null;
3;1;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
4;1;I;CULTURA Y SOCIEDAD;0;3;1;2;5;4;Null;
5;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE UNIVERSITARIO;0;1;1;2;3;2;Null;
6;1;I;TECNOLOGIA DE INFORMACION Y COMUNICACIÓN;0;3;1;2;5;4;Null;
7;2;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;4;1;2;6;5;Null;
8;2;II;MATEMÁTICA GENERAL;0;4;1;2;6;5;Null;
9;2;II;FILOSOFÍA;0;3;1;2;5;4;Null;
10;2;II;ESTADÍSTICA GENERAL;0;3;1;2;5;4;Null;
11;2;II;HISTORIA CRÍTICO DEL PERÚ AUTÓNOMO;0;2;1;2;4;3;Null;
12;2;II;EDUCACIÓN FÍSICA;0;2;1;2;4;3;Null;
12;3;III;ARGUMENTACIÓN;0;2;1;2;4;3;Null;
12;3;III;REALIDAD NACIONAL E INTERCULTURALIDAD;0;2;1;2;4;3;Null;
13;3;III;TALLER DE GESTIÓN DE LA CREATIVIDAD;0;3;1;2;5;4;Null;
14;3;III;NEURO DESARROLLO INFANTIL;0;4;1;2;6;5;Null;
15;3;III;ANÁLISIS DE LA PROBLEMÁTICA EN EDUCACIÓN INICIAL;0;2;2;4;6;4;Null;
;3;III;TALLER DE DANZA EN LA COMUNIDAD;0;3;1;2;5;4;Null;
16;3;III;TALLER DE TEATRO INFANTIL EN LA COMUNIDAD;0;3;1;2;5;4;Null;
17;3;III;INGLES;0;2;1;2;4;3;Null;
18;4;IV;FUNDAMENTOS DE LA EDUCACIÓN INFANTIL;0;4;1;2;6;5;Null;
19;4;IV;TEORÍA Y DISEÑO CURRICULAR;0;3;1;2;5;4;Null;
20;4;IV;DESARROLLO PERSONAL DEL NIÑO;0;2;1;2;4;3;Null;
21;4;IV;PSICOMOTRICIDAD Y EXPRESIÓN LÚDICA INFANTIL;0;4;1;2;6;5;Null;
;4;IV;DESARROLLO DEL TALENTO Y EXPRESIÓN GRÁFICO PLÁSTICO;0;2;1;2;4;3;;
;4;IV;DESARROLLO DEL PENSAMIENTO CIENTÍFICO DEL NIÑO;0;3;1;2;5;4;;
22;5;V;EPISTEMOLOGÍA;0;3;1;2;5;4;Null;
23;5;V;MEDIOS Y MATERIALES EDUCATIVOS;0;2;1;2;4;3;Null;
24;5;V;PEDAGOGÍA DE LA DIVERSIDAD;0;2;1;2;4;3;Null;
24;5;V;LITERATURA INFANTIL;0;3;1;2;5;4;Null;
;5;V;EXPERIENCIAS DIRECTAS EN EDUCACIÓN TEMPRANA I;0;4;1;2;6;5;;
;5;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;4;1;2;6;5;;
24;6;VI;EVALUACIÓN DEL APRENDIZAJE;0;3;1;2;5;4;Null;
25;6;VI;ESTRATEGIAS PARA LA EDUCACIÓN INTERCULTURAL TEMPRANA;0;2;1;2;4;3;Null;
;6;VI;EDUCACIÓN INCLUSIVA;0;3;1;2;5;4;;
26;6;VI;TALLER DE DESARROLLO DE LA COMUNICACIÓN ORAL Y ESCRITA;0;3;1;2;5;4;Null;
;6;VI;EXPERIENCIAS DIRECTAS EN EDUCACIÓN TEMPRANA II;0;4;1;2;6;5;;
27;6;VI;PRÁCTICA DE PROGRAMACIÓN Y ACTIVIDADES SIMULADAS;0;3;1;2;5;4;Null;
;7;VII;PLANIFICACIÓN EDUCATIVA;0;2;1;2;4;3;;
;7;VII;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;1;2;5;4;;
;7;VII;DETECCIÓN Y ATENCIÓN BÁSICA A NIÑOS CON NECESIDADES EDUCATIVAS ESPECIALES;0;3;1;2;5;4;;
28;7;VII;DIDÁCTICAS ESPECÍFICAS;0;3;1;2;5;4;Null;
29;7;VII;ESTRATEGIAS PARA LA MATEMÁTICA EN EDUCACIÓN INICIAL;0;3;1;2;5;4;Null;
;7;VII;PRÁCTICA DE ACTIVIDADES ESPECÍFICAS;0;4;1;2;6;5;;
30;8;VIII;ADMINISTRACIÓN Y GESTIÓN EDUCATIVA;0;3;1;2;5;4;Null;
31;8;VIII;FORMULACIÓN DEL PROYECTO DE INVESTIGACIÓN Y ELABORACIÓN DE INSTRUMENTOS;0;3;1;2;5;4;Null;
;8;VIII;EDUCACIÓN BILINGÜE INTERCULTURAL TEMPRANA;0;1;1;2;3;2;;
;8;VIII;APLICACIÓN DE SOFTWARE EN EDUCACIÓN INFANTIL;0;3;1;2;5;4;;
;8;VIII;SALUD Y PRIMEROS AUXILIOS EN EDUCACIÓN INFANTIL;0;3;1;2;5;4;;
;8;VIII;PRÁCTICA EN PROGRAMAS EDUCATIVOS;0;5;1;2;7;6;;
32;9;IX;CULTURA EMPRENDEDORA Y PRODUCTIVA;0;3;1;2;5;4;Null;
33;9;IX;DESARROLLO PERSONAL;0;3;1;2;5;4;Null;
;9;IX;MÉTODOS Y TRABAJO CON FAMILIA Y COMUNIDAD;0;3;1;2;5;4;;
;9;IX;FILOSOFÍA DE LA EDUCACIÓN;0;2;1;2;4;3;;
;9;IX;DISEÑOS ESTADÍSTICOS APLICADOS A LA EDUCACIÓN;0;2;1;2;4;3;;
;9;IX;PRÁCTICA INTENSIVA Y SEMINARIO DE ACTUALIZACIÓN;0;5;1;2;7;6;;
;10;X;SEGURIDAD Y DEFENSA NACIONAL;0;3;1;2;5;4;;
;;X;IDIOMA NATIVO AIMARA;0;2;1;2;4;3;;
;10;X;IDIOMA NATIVO QUECHUA;0;2;1;2;4;3;;
;10;X;LEGISLACIÓN EDUCATIVA;0;2;1;2;4;3;;
;10;X;TRABAJO DE INVESTIGACIÓN;0;4;1;2;6;5;;
34;10;X;POLÍTICAS PÚBLICAS Y PROGRAMAS DE ATENCIÓN A LA PRIMERA INFANCIA;0;2;1;2;4;3;Null;
;10;X;PRÁCTICA INTENSIVA Y PROYECTOS DE INNOVACIÓN EDUCATIVA;0;5;1;2;7;6;;
