N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;00;4.0;2.0;6.0;5.0;NINGUNO
2;002;I;MATEMATICA BASICA I;00;4.0;2.0;6.0;5.0;NINGUNO
3;003;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
4;004;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;00;3.0;2.0;5.0;4.0;NINGUNO
5;005;I;TUTORIA Y EDUCACION EN VALORES;00;2.0;2.0;4.0;3.0;NINGUNO
6;006;I;DESARROLLO SICOMOTRIZ;00;3.0;2.0;5.0;4.0;NINGUNO
7;007;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;00;3.0;2.0;5.0;4.0;001
8;008;II;MATEMATICA BASICA II;00;4.0;2.0;6.0;5.0;002
9;009;II;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
10;010;II;TECNOLOGIAS DE INFORMACION Y COMUNICACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
11;011;II;TEORIAS Y ENFOQUES DE LAS CIENCIAS NATURALES EN EDUCACION PRIMARIA;00;3.0;2.0;5.0;4.0;NINGUNO
12;012;II;TALLER DE ARTE (ELECTIVO) CANTO Y MUSICA;00;3.0;2.0;5.0;4.0;NINGUNO
13;013;II;TALLER DE ARTE (ELECTIVO) DANZA;00;3.0;2.0;5.0;4.0;NINGUNO
14;014;III;NUTRICION BASICA;00;4.0;2.0;6.0;5.0;NINGUNO
15;015;III;HISTORIA CRITICA DEL PERU AUTONOMO;00;2.0;2.0;4.0;3.0;NINGUNO
16;016;III;TEORIA, DISEÑO Y PROGRAMACION CURRICULAR;00;3.0;2.0;5.0;4.0;NINGUNO
17;017;III;TEORIAS Y ENFOQUES DE LA MATEMATICA EN EDUCACION PRIMARIA;00;3.0;2.0;5.0;4.0;NINGUNO
18;018;III;EVALUACION DEL APRENDIZAJE;00;3.0;2.0;5.0;4.0;NINGUNO
19;019;III;DESARROLLO DE LA CREATIVIDAD CIENTIFICA Y TECNOLOGICA;00;3.0;2.0;5.0;4.0;011
20;020;IV;FILOSOFIA;00;2.0;2.0;4.0;3.0;NINGUNO
21;021;IV;REALIDAD NACIONAL E INTERCULTURALIDAD;00;4.0;2.0;6.0;5.0;NINGUNO
22;022;IV;ECOLOGIA Y CONSERVACION DEL MEDIO AMBIENTE;00;3.0;2.0;5.0;4.0;NINGUNO
23;023;IV;TEORIAS Y ENFOQUES DE LA COMUNICACION EN EDUCACION PRIMARIA;00;3.0;2.0;5.0;4.0;NINGUNO
24;024;IV;ESTIMULACION AL PENSAMIENTO LOGICO MATEMATICO;00;3.0;2.0;5.0;4.0;017
25;025;IV;TALLER DE ARTES PLASTICAS;00;3.0;2.0;5.0;4.0;NINGUNO
26;026;IV;TALLER DE TEATRO;00;3.0;2.0;5.0;4.0;NINGUNO
27;027;V;PSICOLOGIA DEL DESARROLLO;00;3.0;2.0;5.0;4.0;NINGUNO
28;028;V;TEORIAS Y ENFOQUES DE LAS CIENCIAS SOCIALES EN EDUCACION PRIMARIA;00;2.0;2.0;4.0;3.0;NINGUNO
29;029;V;ESTIMULACION DE HABILIDADES BASICAS PARA LA LECTURA Y ESCRITURA;00;3.0;2.0;5.0;4.0;023
30;030;V;ESTRATEGIAS PARA EL DESARROLLO DE LA EXPRESION Y COMPRENSION ORAL;00;3.0;2.0;5.0;4.0;023
31;031;V;PROGRAMAS Y RECURSOS TECNOLOGICOS EN EDUCACION;00;3.0;2.0;5.0;4.0;NINGUNO
