N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;4;1;2;6;5;Null;
2;1;I;MATEMÁTICA BÁSICA I;0;4;1;2;6;5;Null;
3;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
4;1;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
5;1;I;TUTORÍA Y EDUCACIÓN EN VALORES;0;2;1;2;4;3;Null;
6;1;I;DESARROLLO SICOMOTRIZ;0;3;1;2;5;4;Null;
7;2;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
8;2;II;MATEMÁTICA BÁSICA II;0;4;1;2;6;5;Null;
9;2;II;DESARROLLO PERSONAL;0;2;1;2;4;3;Null;
10;2;II;TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN;0;3;1;2;5;4;Null;
11;2;II;TEORÍAS Y ENFOQUES DE LAS CIENCIAS NATURALES EN EDUCACIÓN PRIMARIA;0;3;1;2;5;4;Null;
;;II;TALLER DE ARTE (ELECTIVO) DANZA;0;3;1;2;5;4;Null;
12;2;II;TALLER DE ARTE (ELECTIVO) CANTO Y MUSICA;0;3;1;2;5;4;Null;
12;3;III;NUTRICIÓN BÁSICA;0;4;1;2;6;5;Null;
12;3;III;HISTORIA CRÍTICA DEL PERÚ AUTÓNOMO;0;2;1;2;4;3;Null;
13;3;III;TEORÍA, DISEÑO Y PROGRAMACIÓN CURRICULAR;0;3;1;2;5;4;Null;
14;3;III;TEORÍAS Y ENFOQUES DE LA MATEMÁTICA EN EDUCACIÓN PRIMARIA;0;3;1;2;5;4;Null;
15;3;III;EVALUACIÓN DEL APRENDIZAJE;0;3;1;2;5;4;Null;
;3;III;DESARROLLO DE LA CREATIVIDAD CIENTÍFICA Y TECNOLÓGICA;0;3;1;2;5;4;Null;
16;4;IV;FILOSOFÍA;0;2;1;2;4;3;Null;
17;4;IV;REALIDAD NACIONAL E INTERCULTURALIDAD;0;4;1;2;6;5;Null;
18;4;IV;ECOLOGÍA Y CONSERVACIÓN DEL MEDIO AMBIENTE;0;3;1;2;5;4;Null;
19;4;IV;TEORÍAS Y ENFOQUES DE LA COMUNICACIÓN EN EDUCACIÓN PRIMARIA;0;3;1;2;5;4;Null;
20;4;IV;ESTIMULACIÓN AL PENSAMIENTO LÓGICO MATEMÁTICO;0;3;1;2;5;4;Null;
;;IV;TALLER DE TEATRO;0;3;1;2;5;4;Null;
21;4;IV;TALLER DE ARTES PLÁSTICAS;0;3;1;2;5;4;Null;
;5;V;PSICOLOGÍA DEL DESARROLLO;0;3;1;2;5;4;;
;5;V;TEORÍAS Y ENFOQUES DE LAS CIENCIAS SOCIALES EN EDUCACIÓN PRIMARIA;0;2;1;2;4;3;;
22;5;V;PROGRAMAS Y RECURSOS TECNOLÓGICOS EN EDUCACIÓN;0;3;1;2;5;4;Null;
23;5;V;ESTIMULACIÓN DE HABILIDADES BÁSICAS PARA LA LECTURA Y ESCRITURA;0;3;1;2;5;4;Null;
24;5;V;ESTRATEGIAS PARA EL DESARROLLO DE LA EXPRESIÓN Y COMPRENSIÓN ORAL;0;3;1;2;5;4;Null;
24;5;V;ESTRATEGIAS PARA EL DESARROLLO DE LA NUMERACIÓN, OPERACIONES Y RELACIONES;0;4;1;2;6;5;Null;
;6;VI;PSICOLOGÍA DEL APRENDIZAJE;0;3;1;2;5;4;;
;6;VI;TEORÍAS Y ENFOQUES DE LA FORMACIÓN PSICOMOTRIZ EN EDUCACIÓN PRIMARIA;0;2;1;2;4;3;;
24;6;VI;ESTRATEGIAS PARA LA COMPRENSIÓN DE TEXTOS;0;4;1;2;6;5;Null;
25;6;VI;ESTRATEGIAS PARA LA PRODUCCIÓN DE TEXTOS;0;3;1;2;5;4;Null;
;6;VI;ESTRATEGIAS PARA LA COMPRENSIÓN DE LOS PROCESOS HISTÓRICOS Y GEOGRÁFICOS;0;3;1;2;5;4;;
26;6;VI;ESTRATEGIAS PARA EL DESARROLLO DE LA GEOMETRÍA, ESTADÍSTICA Y PROBABILIDAD;0;3;1;2;5;4;Null;
;7;VII;TEORÍAS Y MODELOS DE INVESTIGACIÓN EDUCATIVA;0;3;1;2;5;4;;
27;7;VII;ESTRATEGIAS PARA LA FORMACIÓN CIUDADANA;0;3;1;2;5;4;Null;
;7;VII;EDUCACIÓN EN HABILIDADES DIFERENCIADAS;0;4;0;0;4;4;;
;7;VII;PRÁCTICA PEDAGÓGICA BÁSICA;0;3;2;4;7;5;;
;;VII;FÚTBOL;0;2;1;2;4;3;;
;;VII;VÓLEIBOL;0;2;1;2;4;3;;
;7;VII;BÁSQUETBOL;0;2;1;2;4;3;;
;;VII;TALLER DE IDIOMA NATIVO AIMARA;0;3;1;2;5;4;Null;
28;7;VII;TALLER DE IDIOMA NATIVO QUECHUA;0;3;1;2;5;4;Null;
29;8;VIII;FILOSOFÍA DE LA EDUCACIÓN;0;4;0;0;4;4;Null;
;8;VIII;ADMINISTRACIÓN EDUCATIVA;0;4;0;0;4;4;;
30;8;VIII;PROYECTOS DE INVESTIGACIÓN EDUCATIVA;0;4;1;2;6;5;Null;
;;VIII;LITERATURA INFANTIL QUECHUA;0;2;1;2;4;3;Null;
31;8;VIII;LITERATURA INFANTIL AIMARA;0;2;1;2;4;3;Null;
;8;VIII;PRÁCTICA PEDAGÓGICA INTERMEDIA;0;2;3;6;8;5;;
;;VIII;GIMNASIA AERÓBICA;0;2;1;2;4;3;;
;;VIII;NATACIÓN;0;2;1;2;4;3;;
;;VIII;AJEDREZ;0;2;1;2;4;3;;
;8;VIII;TAE KWON DO;0;2;1;2;4;3;;
;9;IX;ESTADÍSTICA GENERAL;0;3;1;2;5;4;;
;9;IX;EJECUCIÓN DE PROYECTOS DE INVESTIGACIÓN EDUCATIVA;0;3;1;2;5;4;;
32;9;IX;CALIDAD Y ACREDITACIÓN DE INSTITUCIONES EDUCATIVAS;0;2;1;2;4;3;Null;
33;9;IX;GESTIÓN Y LIDERAZGO PEDAGÓGICO;0;4;0;0;4;4;Null;
;9;IX;PRÁCTICA PEDAGÓGICA INTENSIVA;0;4;2;4;8;6;;
;9;IX;TALLER DE IDIOMA EXTRANJERO INGLÉS I;0;2;1;2;4;3;;
;10;X;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;1;2;4;3;;
;10;X;LEGISLACIÓN EDUCATIVA;0;4;0;0;4;4;;
;10;X;TRABAJO DE INVESTIGACIÓN;0;4;1;2;6;5;;
;10;X;PRÁCTICA PEDAGÓGICA DE PROYECTOS EDUCATIVOS;0;3;2;4;7;5;;
;10;X;ÉTICA Y DEONTOLOGÍA EDUCATIVA;0;3;1;2;5;4;;
;10;X;TALLER DE IDIOMA EXTRANJERO INGLÉS II;0;2;1;2;4;3;;
