N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA;0;3;0;3;3;NINGUNO
2;2;I;FILOSOFIA;0;2;0;2;2;NINGUNO
3;3;I;ESTRATEGIAS COGNITIVAS DEL APRENDIZAJE;0;3;0;3;3;NINGUNO
4;4;I;ANATOMIA HUMANA;0;4;4;8;6;NINGUNO
5;5;I;BIOQUIMICA;0;3;2;5;4;NINGUNO
6;6;I;MICROBIOLOGIA Y PARASITOLOGIA;0;3;2;5;4;NINGUNO
7;7;I;EMERGENCIAS Y DESASTRES;0;2;0;2;2;NINGUNO
8;8;II;ANTROPOLOGIA CULTURAL;0;4;0;4;4;NINGUNO
9;9;II;NUTRICION Y DIETOTERAPIA;0;2;2;4;3;NINGUNO
10;10;II;SEMIOLOGIA;0;2;4;6;4;NINGUNO
11;11;II;FISIOLOGIA HUMANA;0;5;2;7;6;4
12;12;II;FARMACOLOGIA;0;3;0;3;3;NINGUNO
13;13;II;EDUCACION PARA LA SALUD;0;3;0;3;3;NINGUNO
14;14;III;DESARROLLO PERSONAL;0;3;0;3;3;NINGUNO
15;15;III;PSICOLOGIA EVOLUTIVA;0;4;0;4;4;NINGUNO
16;16;III;PROMOCION DE LA SALUD;0;3;0;3;3;NINGUNO
17;17;III;FUNDAMENTOS DE ENFERMERIA;0;4;8;12;8;12
18;18;III;PROCESO DE ATENCION DE ENFERMERIA;0;2;2;4;3;NINGUNO
19;19;III;TEORIAS Y MODELOS DE ENFERMERIA;0;2;2;4;3;NINGUNO
20;20;IV;CULTURA Y SOCIEDAD;0;2;0;2;2;NINGUNO
21;21;IV;BIOESTADISTICA;0;4;0;4;4;NINGUNO
22;22;IV;SALUD MATERNA Y RECIEN NACIDO;0;3;8;11;7;17
23;23;IV;MEDICO QUIRURGICO;0;4;8;12;8;17
24;24;IV;IDIOMA NATIVO QUECHUA;0;2;0;2;2;NINGUNO
25;25;IV;IDIOMA NATIVO AIMARA;0;2;0;2;2;NINGUNO
26;26;V;REALIDAD NACIONAL Y POLITICAS PUBLICAS;0;3;0;3;3;NINGUNO
27;27;V;EPIDEMIOLOGIA;0;4;0;4;4;21
28;28;V;CRECIMIENTO, DESARROLLO Y ESTIMULACION TEMPRANA;0;3;4;7;5;22
29;29;V;SALUD DEL ADULTO Y ADULTO MAYOR AMBULATORIO;0;3;4;7;5;NINGUNO
30;30;V;INMUNIZACIONES;0;2;4;6;4;NINGUNO
31;31;V;ETICA, BIOETICA Y DEONTOLOGIA;0;3;0;3;3;NINGUNO
32;32;VI;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;4;0;4;4;NINGUNO
33;33;VI;INVESTIGACION CIENTIFICA I;0;4;0;4;4;NINGUNO
34;34;VI;NEONATOLOGIA;0;3;4;7;5;28
35;35;VI;GINECOLOGIA;0;2;4;6;4;29
36;36;VI;SALUD DEL ESCOLAR Y ADOLESCENTE;0;3;0;3;3;30
37;37;VI;COMUNICACION;0;4;0;4;4;NINGUNO
38;38;VII;SALUD MENTAL;0;3;0;3;3;NINGUNO
39;39;VII;INVESTIGACION CIENTIFICA II;0;0;4;4;2;33
40;40;VII;PEDIATRIA;0;3;8;11;7;34
41;41;VII;GERENCIA EN SERVICIOS DE SALUD;0;3;4;7;5;NINGUNO
42;42;VII;EDUCACION EN ENFERMERIA;0;2;0;2;2;NINGUNO
43;43;VII;LIDERAZGO;0;3;0;3;3;NINGUNO
44;44;VII;ORATORIA;0;3;0;3;3;NINGUNO
45;45;VIII;PRODUCCION DE TEXTOS ACADEMICOS;0;5;0;5;5;NINGUNO
46;46;VIII;INVESTIGACION CIENTIFICA III;0;2;2;4;3;39
47;47;VIII;SALUD FAMILIAR;0;3;4;7;5;NINGUNO
48;48;VIII;SALUD COMUNITARIA;0;3;4;7;5;NINGUNO
49;49;VIII;SALUD OCUPACIONAL;0;3;0;3;3;NINGUNO
50;50;IX;INTERNADO CLINICO EN CIRUGIA;0;0;8;8;4;NINGUNO
51;51;IX;INTERNADO CLINICO EN MEDICINA;0;0;8;8;4;NINGUNO
52;52;IX;INTERNADO CLINICO EN PEDIATRIA;0;0;8;8;4;NINGUNO
53;53;IX;INTERNADO CLINICO EN NEONATOLOGIA;0;0;8;8;4;NINGUNO
54;54;IX;INTERNADO CLINICO EN SERVICIOS CRITICOS;0;0;8;8;4;NINGUNO
55;55;X;INTERNADO COMUNITARIO EN ATENCION A LA PERSONA;0;0;8;8;4;NINGUNO
56;56;X;INTERNADO COMUNITARIO EN ATENCION A LA FAMILIA;0;0;8;8;4;NINGUNO
57;57;X;INTERNADO COMUNITARIO EN ATENCION A LA COMUNIDAD;0;0;8;8;4;NINGUNO
58;58;X;INTERNADO COMUNITARIO EN GESTION DE PROGRAMAS DE SALUD;0;0;8;8;4;NINGUNO
59;59;X;INTERNADO COMUNITARIO EN CRECIMIENTO, DESARROLLO E INMUNIZACIONES;0;0;8;8;4;NINGUNO
60;ENF216;X;TRABAJO DE INVESTIGACIÓN;;1;2;3;2;NINGUNO
