N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMATICA;0;3;0;0;3;3;Null;
2;1;I;FILOSOFIA;0;2;0;0;2;2;Null;
3;1;I;ESTRATEGIAS COGNITIVAS DEL APRENDIZAJE;0;3;0;0;3;3;Null;
4;1;I;BIOQUÍMICA;0;3;1;2;5;4;Null;
5;1;I;ANATOMIA HUMANA;0;4;2;4;8;6;Null;
;1;I;MICROBIOLOGIA Y PARASITOLOGIA;0;3;1;2;5;4;;
;1;I;EMERGENCIAS Y DESASTRES;0;2;0;0;2;2;;
;2;II;ANTROPOLOGÍA CULTURAL;0;4;0;0;4;4;Null;
;2;II;NUTRICIÓN Y DIETOTERAPIA;0;2;1;2;4;3;Null;
;2;II;SEMIOLOGÍA;0;2;2;4;6;4;Null;
6;2;II;FARMACOLOGÍA;0;3;0;0;3;3;Null;
7;2;II;FISIOLOGÍA HUMANA;0;5;1;2;7;6;Null;
8;2;II;EDUCACIÓN PARA LA SALUD;0;3;0;0;3;3;Null;
9;3;III;DESARROLLO PERSONAL;0;3;0;0;3;3;Null;
10;3;III;PSICOLOGIA EVOLUTIVA;0;4;0;0;4;4;Null;
11;3;III;PROMOCIÓN DE LA SALUD;0;3;0;0;3;3;Null;
;3;III;FUNDAMENTOS DE ENFERMERÍA;0;4;4;8;12;8;Null;
12;3;III;PROCESO DE ATENCIÓN DE ENFERMERÍA;0;2;1;2;4;3;Null;
12;3;III;TEORIAS Y MODELOS DE ENFERMERÍA;0;2;1;2;4;3;Null;
12;4;IV;CULTURA Y SOCIEDAD;0;2;0;0;2;2;Null;
;4;IV;BIOESTADISTICA;0;4;0;0;4;4;Null;
13;4;IV;SALUD MATERNA Y RECIEN NACIDO;0;3;4;8;11;7;Null;
14;4;IV;MEDICO QUIRURGICO;0;4;4;8;12;8;Null;
15;4;IV;IDIOMA NATIVO QUECHUA;0;2;0;0;2;2;Null;
;4;IV;IDIOMA NATIVO AIMARA;0;2;0;0;2;2;Null;
16;5;V;REALIDAD NACIONAL Y POLITICAS PUBLICAS;0;3;0;0;3;3;Null;
17;5;V;EPIDEMIOLOGIA;0;4;0;0;4;4;Null;
18;5;V;CRECIMIENTO, DESARROLLO Y ESTIMULACIÓN TEMPRANA;0;3;2;4;7;5;Null;
19;5;V;SALUD DEL ADULTO Y ADULTO MAYOR AMBULATORIO;0;3;2;4;7;5;Null;
20;5;V;INMUNIZACIONES;0;2;2;4;6;4;Null;
;5;V;ETICA, BIOETICA Y DEONTOLOGÍA;0;3;0;0;3;3;Null;
21;6;VI;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;4;0;0;4;4;Null;
;6;VI;INVESTIGACIÓN CIENTIFICA I;0;4;0;0;4;4;;
;6;VI;NEONATOLOGIA;0;3;2;4;7;5;;
;6;VI;GINECOLOGÍA;0;2;2;4;6;4;;
22;6;VI;SALUD DEL ESCOLAR Y ADOLESCENTE;0;3;0;0;3;3;Null;
23;6;VI;COMUNICACIÓN;0;4;0;0;4;4;Null;
24;7;VII;GERENCIA EN SERVICIOS DE SALUD;0;3;2;4;7;5;Null;
24;7;VII;INVESTIGACIÓN CIENTIFICA II;0;0;2;4;4;2;Null;
;7;VII;PEDIATRÍA;0;3;4;8;11;7;;
;7;VII;SALUD MENTAL;0;3;0;0;3;3;;
;7;VII;EDUCACIÓN EN ENFERMERÍA;0;2;0;0;2;2;;
24;7;VII;LIDERAZGO;0;3;0;0;3;3;Null;
25;7;VII;ORATORIA;0;3;0;0;3;3;Null;
;8;VIII;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;5;0;0;5;5;;
26;8;VIII;INVESTIGACIÓN CIENTIFICA III;0;2;1;2;4;3;Null;
;8;VIII;SALUD FAMILIAR;0;3;2;4;7;5;;
;8;VIII;SALUD COMUNITARIA;0;3;2;4;7;5;Null;
;8;VIII;SALUD OCUPACIONAL;0;3;0;0;3;3;Null;
27;9;IX;INTERNADO CLINICO EN CIRUGIA;0;0;4;8;8;4;Null;
;9;IX;INTERNADO CLINICO EN MEDICINA;0;0;4;8;8;4;;
;9;IX;INTERNADO CLINICO EN PEDIATRIA;0;0;4;8;8;4;;
;9;IX;INTERNADO CLINICO EN NEONATOLOGIA;0;0;4;8;8;4;;
;9;IX;INTERNADO CLINICO EN SERVICIOS CRITICOS;0;0;4;8;8;4;;
;10;X;INTERNADO COMUNITARIO EN ATENCIÓN A LA PERSONA;0;0;4;8;8;4;;
;10;X;INTERNADO COMUNITARIO EN ATENCIÓN A LA FAMILIA;0;0;4;8;8;4;;
;10;X;INTERNADO COMUNITARIO EN ATENCIÓN A LA COMUNIDAD;0;0;4;8;8;4;;
;10;X;INTERNADO COMUNITARIO EN GESTION DE PROGRAMAS DE SALUD;0;0;4;8;8;4;;
;10;X;INTERNADO COMUNITARIO EN CRECIMIENTO, DESARROLLO E INMUNIZACIONES;0;0;4;8;8;4;;
;;X;TRABAJO DE INVESTIGACIÓN;0;1;1;2;3;2;;
