N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA;0;4;2;6;5;NINGUNO
2;2;I;CALCULO DIFERENCIAL;0;4;2;6;5;NINGUNO
3;3;I;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
4;4;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;2;5;4;NINGUNO
5;5;I;GEOLOGIA GENERAL;0;2;2;4;3;NINGUNO
6;6;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;2;2;4;3;NINGUNO
7;7;II;CALCULO INTEGRAL;0;4;2;6;5;2
8;8;II;FISICA I;0;3;2;5;4;2
9;9;II;DIBUJO PARA INGENIERIA;0;3;2;5;4;NINGUNO
10;10;II;TECNOLOGIA DE PROCESAMIENTO DE LA INFORMACION;0;3;2;5;4;4
11;11;II;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;2;4;3;NINGUNO
12;12;II;EDAFOLOGIA Y AGROTECNIA;0;3;2;5;4;5
13;13;III;ESTÁTICA;0;3;2;5;4;8
14;14;III;CALCULO AVANZADO;0;3;2;5;4;7
15;15;III;FISICA II;0;3;2;5;4;8
16;16;III;TECNICAS Y MATERIALES DE LA CONSTRUCCION;0;3;2;5;4;5
17;17;III;ECONOMIA DE LOS RECURSOS NATURALES;0;3;2;5;4;4
18;18;III;TOPOGRAFIA I;0;3;2;5;4;9
19;19;IV;DINAMICA;0;3;2;5;4;15
20;20;IV;METODOS NUMERICOS;0;2;2;4;3;14
21;21;IV;ESTADISTICA GENERAL;0;2;2;4;3;2
22;22;IV;METEOROLOGIA Y CLIMATOLOGIA;0;2;2;4;3;4
23;23;IV;TECNOLOGIA DEL CONCRETO;0;2;2;4;3;16
24;24;IV;SISTEMA DE INFORMACION GEOGRAFICA Y TELEDETECCION;0;2;2;4;3;18
25;25;IV;TOPOGRAFIA II;0;3;2;5;4;18
26;26;V;RESISTENCIA DE MATERIALES;0;3;2;5;4;13
27;27;V;HIDROLOGIA GENERAL;0;3;2;5;4;22
28;28;V;MECANICA DE SUELOS I;0;3;2;5;4;16
29;29;V;MECANICA DE FLUIDOS;0;3;2;5;4;19
30;30;V;MECANIZACION AGRICOLA;0;3;2;5;4;12
31;31;V;METODOS ESTADISTICOS PARA LA INVESTIGACION;0;3;2;5;4;21
32;32;VI;DESARROLLO DE CAPACIDAD DE EMPRENDIMIENTO;0;2;0;2;2;10
33;33;VI;ANALISIS ESTRUCTURAL;0;3;2;5;4;26
34;34;VI;HIDRAULICA;0;3;2;5;4;29
35;35;VI;TALLER DE INVESTIGACION I;0;2;2;4;3;31
36;36;VI;HIDROLOGIA APLICADA;0;3;2;5;4;27
37;37;VI;MAQUINARIA PARA OBRAS;0;2;2;4;3;30
