N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMÁTICA BÁSICA;0;4;1;2;6;5;Null;
2;1;I;CÁLCULO DIFERENCIAL;0;4;1;2;6;5;Null;
3;1;I;QUÍMICA GENERAL;0;3;1;2;5;4;Null;
4;1;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
5;1;I;GEOLOGÍA GENERAL;0;2;1;2;4;3;Null;
;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;;
;2;II;CÁLCULO INTEGRAL;0;4;1;2;6;5;;
;2;II;FÍSICA I;0;3;1;2;5;4;Null;
;2;II;DIBUJO PARA INGENIERÍA;0;3;1;2;5;4;Null;
;2;II;TECNOLOGÍA DE PROCESAMIENTO DE LA INFORMACIÓN;0;3;1;2;5;4;Null;
6;2;II;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
7;2;II;EDAFOLOGÍA Y AGROTECNIA;0;3;1;2;5;4;Null;
8;3;III;ESTÁTICA;0;3;1;2;5;4;Null;
9;3;III;CÁLCULO AVANZADO;0;3;1;2;5;4;Null;
10;3;III;FÍSICA II;0;3;1;2;5;4;Null;
11;3;III;TÉCNICAS Y MATERIALES DE LA CONSTRUCCIÓN;0;3;1;2;5;4;Null;
;3;III;ECONOMÍA DE LOS RECURSOS NATURALES;0;3;1;2;5;4;Null;
12;3;III;TOPOGRAFÍA I;0;3;1;2;5;4;Null;
12;4;IV;DINÁMICA;0;3;1;2;5;4;Null;
12;4;IV;MÉTODOS NUMÉRICOS;0;2;1;2;4;3;Null;
;4;IV;ESTADÍSTICA GENERAL;0;2;1;2;4;3;Null;
13;4;IV;METEOROLOGÍA Y CLIMATOLOGÍA;0;2;1;2;4;3;Null;
14;4;IV;TECNOLOGÍA DEL CONCRETO;0;2;1;2;4;3;Null;
15;4;IV;SISTEMA DE INFORMACIÓN GEOGRÁFICA Y TELEDETECCIÓN;0;2;1;2;4;3;Null;
;4;IV;TOPOGRAFÍA II;0;3;1;2;5;4;Null;
16;5;V;RESISTENCIA DE MATERIALES;0;3;1;2;5;4;Null;
17;5;V;HIDROLOGÍA GENERAL;0;3;1;2;5;4;Null;
18;5;V;MECÁNICA DE SUELOS I;0;3;1;2;5;4;Null;
19;5;V;MECÁNICA DE FLUIDOS;0;3;1;2;5;4;Null;
20;5;V;MECANIZACIÓN AGRÍCOLA;0;3;1;2;5;4;Null;
;5;V;MÉTODOS ESTADÍSTICOS PARA LA INVESTIGACIÓN;0;3;1;2;5;4;Null;
21;6;VI;DESARROLLO DE CAPACIDAD DE EMPRENDIMIENTO;0;2;0;0;2;2;Null;
;6;VI;ANÁLISIS ESTRUCTURAL;0;3;1;2;5;4;;
;6;VI;HIDRÁULICA;0;3;1;2;5;4;;
;6;VI;TALLER DE INVESTIGACIÓN I;0;2;1;2;4;3;;
22;6;VI;HIDROLOGÍA APLICADA;0;3;1;2;5;4;Null;
23;6;VI;MAQUINARIA PARA OBRAS;0;2;1;2;4;3;Null;
24;6;VI;MECÁNICA DE SUELOS II;0;3;1;2;5;4;Null;
24;7;VII;CONCRETO ARMADO;0;3;1;2;5;4;Null;
;7;VII;HIDRAULICA FLUVIAL;0;2;1;2;4;3;;
;7;VII;INGENIERÍA DE RIEGOS I;0;3;1;2;5;4;;
;7;VII;GESTIÓN DE CUENCAS HIDROGRÁFICAS;0;2;1;2;4;3;;
24;7;VII;DISEÑO RURAL;0;2;1;2;4;3;Null;
25;7;VII;GESTIÓN DEL DESARROLLO TERRITORIAL;0;2;1;2;4;3;Null;
;;VII;TRATAMIENTO Y REÚSO DE AGUAS RESIDUALES;0;2;1;2;4;3;;
;;VII;SALINIDAD Y RECUPERACIÓN DE TIERRAS;0;2;1;2;4;3;;
;;VII;GESTIÓN DE RECURSOS HIDRICOS;0;2;1;2;4;3;;
;;VII;HIDRAULICA II;0;2;1;2;4;3;;
26;8;VIII;INGLÉS TÉCNICO;0;3;0;0;3;3;Null;
;8;VIII;AGUAS SUBTERRÁNEAS;0;2;1;2;4;3;;
;8;VIII;TALLER DE INVESTIGACIÓN II;0;2;1;2;4;3;Null;
;8;VIII;INGENIERÍA DE RIEGOS II;0;3;1;2;5;4;Null;
27;8;VIII;DISEÑO DE ESTRUCTURAS HIDRÁULICAS;0;3;1;2;5;4;Null;
;8;VIII;COSTOS, PRESUPUESTOS Y CONTROL DE PROYECTOS;0;3;1;2;5;4;;
;;VIII;CAMINOS RURALES;0;2;1;2;4;3;;
