N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
2;002;I;REALIDAD NACIONAL EN AGROINDUSTRIAS;00;3.0;2.0;5.0;4.0;NINGUNO
3;003;I;QUÍMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
4;004;I;TALLER DE ESTRATEGIA DE APRENDIZAJE;00;3.0;2.0;5.0;4.0;NINGUNO
5;005;I;TALLER DE COMUNICACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
6;006;I;TALLER DE COMPUTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
7;007;II;CÁLCULO I;00;3.0;2.0;5.0;4.0;001
8;008;II;ECONOMÍA GENERAL;00;3.0;2.0;5.0;4.0;002
9;009;II;QUÍMICA ORGÁNICA;00;3.0;2.0;5.0;4.0;003
10;010;II;BOTÁNICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
11;011;II;DESARROLLO HUMANO;00;3.0;2.0;5.0;4.0;005
12;012;II;INTRODUCCIÓN A LA INGENIERÍA AGROINDUSTRIAL;00;3.0;2.0;5.0;4.0;NINGUNO
13;013;III;CÁLCULO II;00;3.0;2.0;5.0;4.0;007
14;014;III;FÍSICA GENERAL;00;3.0;2.0;5.0;4.0;007
15;015;III;MICROBIOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;010
16;016;III;BIOQUÍMICA;00;3.0;2.0;5.0;4.0;009
17;017;III;FISIOLOGÍA Y POS COSECHA;00;3.0;2.0;5.0;4.0;010
18;018;III;INGLÉS TÉCNICO;00;3.0;2.0;5.0;4.0;NINGUNO
19;019;IV;MÉTODOS NUMÉRICOS;00;3.0;2.0;5.0;4.0;013
20;020;IV;FÍSICO QUÍMICA DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;016
21;021;IV;TECNOLOGÍA DE POS COSECHA;00;3.0;2.0;5.0;4.0;017
22;022;IV;MICROBIOLOGÍA DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;015
23;023;IV;PROGRAMACIÓN BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
24;024;IV;MECÁNICA GENERAL;00;3.0;2.0;5.0;4.0;014
25;025;IV;CIRCUITOS Y MÁQUINAS ELÉCTRICAS;00;3.0;2.0;5.0;4.0;014
26;026;IV;MAQUINARIA PARA AGROINDUSTRIAS;00;3.0;2.0;5.0;4.0;014
27;027;V;TRATAMIENTO TÉRMICO;00;3.0;2.0;5.0;4.0;019
28;028;V;TERMODINÁMICA;00;3.0;2.0;5.0;4.0;020
29;029;V;QUÍMICA DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;016
30;030;V;TECNOLOGÍA DE CARNES;00;3.0;2.0;5.0;4.0;022
31;031;V;TECNOLOGÍA DE LECHES;00;3.0;2.0;5.0;4.0;022
32;032;V;CONTROL Y AUTOMATIZACIÓN DE PROCESOS AGROINDUSTRIALES;00;3.0;2.0;5.0;4.0;023
33;033;V;ENVASES Y EMBALAJES;00;3.0;2.0;5.0;4.0;021
34;034;VI;INGENIERÍA AGROINDUSTRIAL I;00;3.0;2.0;5.0;4.0;028
35;035;VI;MÉTODOS DE ANÁLISIS CUANTITATIVO E INSTRUMENTAL;00;3.0;2.0;5.0;4.0;029
36;036;VI;EXPERIMENTACIÓN AGROINDUSTRIAL I;00;3.0;2.0;5.0;4.0;013
37;037;VI;TECNOLOGÍA DE FRUTAS Y HORTALIZAS;00;3.0;2.0;5.0;4.0;017
38;038;VI;INDUSTRIAS CÁRNICAS;00;3.0;2.0;5.0;4.0;030
39;039;VI;INDUSTRIAS LÁCTEAS;00;3.0;2.0;5.0;4.0;031
40;040;VII;INGENIERÍA AGROINDUSTRIAL II;00;3.0;2.0;5.0;4.0;034
41;041;VII;EXPERIMENTACIÓN AGROINDUSTRIAL II;00;3.0;2.0;5.0;4.0;036
42;042;VII;PROCESOS AGROINDUSTRIALES;00;3.0;2.0;5.0;4.0;037
43;043;VII;TECNOLOGÍA DE PRODUCTOS ANDINOS;00;3.0;2.0;5.0;4.0;037
44;044;VII;PROCESAMIENTO DE PRODUCTOS PESQUEROS;00;3.0;2.0;5.0;4.0;030
45;045;VII;INTRODUCCIÓN A LA BIOTECNOLOGÍA;00;3.0;2.0;5.0;4.0;022
46;046;VIII;ALIMENTACIÓN Y NUTRICIÓN;00;3.0;2.0;5.0;4.0;035
47;047;VIII;INVESTIGACIÓN DE MERCADOS;00;3.0;2.0;5.0;4.0;036
48;048;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;041
49;049;VIII;TECNOLOGÍA DE SUB PRODUCTOS AGROINDUSTRIALES;00;3.0;2.0;5.0;4.0;042
50;050;VIII;TECNOLOGÍA DE FIBRAS E INDUSTRIA TEXTIL;00;3.0;2.0;5.0;4.0;042
51;051;VIII;TECNOLOGÍA DE PIELES Y CURTIEMBRE;00;3.0;2.0;5.0;4.0;042
52;052;IX;COSTOS Y PRESUPUESTOS;00;3.0;2.0;5.0;4.0;047
53;053;IX;PROYECTOS DE INVERSIÓN EN AGROINDUSTRIAS;00;3.0;2.0;5.0;4.0;047
54;054;IX;CONTROL DE CALIDAD;00;3.0;2.0;5.0;4.0;041
55;055;IX;PLANEAMIENTO Y CONTROL DE LA PRODUCCIÓN;00;3.0;2.0;5.0;4.0;047
56;056;IX;COMERCIO EXTERIOR;00;3.0;2.0;5.0;4.0;047
