N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE COMUNICACIÓN;0;3;1;2;5;4;Null;
2;1;I;TALLER DE ESTRATEGIA DE APRENDIZAJE;0;3;1;2;5;4;Null;
3;1;I;REALIDAD NACIONAL EN AGROINDUSTRIAS;0;3;1;2;5;4;Null;
4;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
5;1;I;QUÍMICA GENERAL;0;3;1;2;5;4;Null;
;1;I;TALLER DE COMPUTACIÓN;0;3;1;2;5;4;;
;2;II;ECONOMÍA GENERAL;0;3;1;2;5;4;;
;2;II;DESARROLLO HUMANO;0;3;1;2;5;4;Null;
;2;II;CÁLCULO I;0;3;1;2;5;4;Null;
;2;II;QUÍMICA ORGÁNICA;0;3;1;2;5;4;Null;
6;2;II;BOTÁNICA GENERAL;0;3;1;2;5;4;Null;
7;2;II;INTRODUCCIÓN A LA INGENIERÍA AGROINDUSTRIAL;0;3;1;2;5;4;Null;
8;3;III;CÁLCULO II;0;3;1;2;5;4;Null;
9;3;III;FÍSICA GENERAL;0;3;1;2;5;4;Null;
10;3;III;MICROBIOLOGÍA GENERAL;0;3;1;2;5;4;Null;
11;3;III;BIOQUÍMICA;0;3;1;2;5;4;Null;
;3;III;FISIOLOGÍA Y POS COSECHA;0;3;1;2;5;4;Null;
12;3;III;INGLÉS TÉCNICO;0;3;1;2;5;4;Null;
12;4;IV;MÉTODOS NUMÉRICOS;0;3;1;2;5;4;Null;
12;4;IV;FISÍCO QUÍMICA DE LOS ALIMENTOS;0;3;1;2;5;4;Null;
;4;IV;TECNOLOGÍA DE POS COSECHA;0;3;1;2;5;4;Null;
13;4;IV;MICROBIOLOGÍA DE LOS ALIMENTOS;0;3;1;2;5;4;Null;
14;4;IV;PROGRAMACIÓN BÁSICA;0;3;1;2;5;4;Null;
;;IV;MECÁNICA GENERAL;0;3;1;2;5;4;Null;
;;IV;CIRCUITOS Y MÁQUINAS ELÉCTRICAS;0;3;1;2;5;4;Null;
15;4;IV;MAQUINARIA PARA AGROINDUSTRIAS;0;3;1;2;5;4;Null;
;5;V;QUÍMICA DE LOS ALIMENTOS;0;3;1;2;5;4;Null;
16;5;V;TERMODINÁMICA;0;3;1;2;5;4;Null;
17;5;V;TRATAMIENTO TÉRMICO;0;3;1;2;5;4;Null;
18;5;V;TECNOLOGÍA DE CARNES;0;3;1;2;5;4;Null;
19;5;V;TECNOLOGÍA DE LECHES;0;3;1;2;5;4;Null;
;;V;ENVASES Y EMBALAJES;0;3;1;2;5;4;Null;
20;5;V;CONTROL Y AUTOMATIZACIÓN DE PROCESOS AGROINDUSTRIALES;0;3;1;2;5;4;Null;
;6;VI;MÉTODOS DE ANÁLISIS CUANTITATIVO E INSTRUMENTAL;0;3;1;2;5;4;Null;
21;6;VI;INGENIERÍA AGROINDUSTRIAL I;0;3;1;2;5;4;Null;
;6;VI;EXPERIMENTACIÓN AGROINDUSTRIAL I;0;3;1;2;5;4;;
;6;VI;TECNOLOGÍA DE FRUTAS Y HORTALIZAS;0;3;1;2;5;4;;
;6;VI;INDUSTRIAS CÁRNICAS;0;3;1;2;5;4;;
22;6;VI;INDUSTRIAS LÁCTEAS;0;3;1;2;5;4;Null;
23;7;VII;INGENIERIA AGROINDUSTRIAL II;0;3;1;2;5;4;Null;
24;7;VII;EXPERIMENTACIÓN AGROINDUSTRIAL II;0;3;1;2;5;4;Null;
24;7;VII;TECNOLOGÍA DE PRODUCTOS ANDINOS;0;3;1;2;5;4;Null;
;7;VII;PROCESOS AGROINDUSTRIALES;0;3;1;2;5;4;;
;;VII;INTRODUCCIÓN A LA BIOTECNOLOGÍA;0;3;1;2;5;4;;
;7;VII;PROCESAMIENTO DE PRODUCTOS PESQUEROS;0;3;1;2;5;4;;
;8;VIII;ALIMENTACIÓN Y NUTRICIÓN;0;3;1;2;5;4;;
24;8;VIII;INVESTIGACIÓN DE MERCADOS;0;3;1;2;5;4;Null;
25;8;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;1;2;5;4;Null;
;8;VIII;TECNOLOGÍA DE SUB PRODUCTOS AGROINDUSTRIALES;0;3;1;2;5;4;;
;;VIII;TECNOLOGÍA DE PIELES Y CURTIEMBRE;0;3;1;2;5;4;;
;8;VIII;TECNOLOGÍA DE FIBRAS E INDUSTRIA TEXTIL;0;3;1;2;5;4;;
;9;IX;COSTOS Y PRESUPUESTOS;0;3;1;2;5;4;;
;9;IX;PROYECTOS DE INVERSIÓN EN AGROINDUSTRIAS;0;3;1;2;5;4;;
26;9;IX;CONTROL DE CALIDAD;0;3;1;2;5;4;Null;
;;IX;COMERCIO EXTERIOR;0;3;1;2;5;4;;
;9;IX;PLANEAMIENTO Y CONTROL DE LA PRODUCCIÓN;0;3;1;2;5;4;;
;;IX;GESTIÓN AMBIENTAL EN AGROINDUSTRIAS;0;3;1;2;5;4;Null;
;9;IX;GESTIÓN EMPRESARIAL;0;3;1;2;5;4;Null;
;10;X;TRABAJO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;
27;10;X;DISEÑO DE PLANTAS;0;3;1;2;5;4;Null;
;10;X;TALLER DE EXTENSIÓN Y PROYECCIÓN SOCIAL;0;3;1;2;5;4;;
;10;X;PRÁCTICAS PRE-PROFESIONALES;0;0;2;4;4;2;;
;;X;GESTIÓN DE CALIDAD;0;3;1;2;5;4;;
;10;X;INVESTIGACIÓN DE OPERACIONES;0;3;1;2;5;4;;
;;X;TÓPICOS DE AVANCES EN LA AGROINDUSTRIA;0;3;1;2;5;4;;
;10;X;EVALUACIÓN DE PROYECTOS;0;3;1;2;5;4;;
