N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;LENGUAJE Y COMUNICACIÓN;0;1;2;3;2;NINGUNO
2;2;I;MÉTODOS DE ESTUDIO;0;2;0;2;2;NINGUNO
3;3;I;ÉTICA Y DEONTOLOGÍA;0;2;0;2;2;NINGUNO
4;4;I;INTRODUCCIÓN A LA AGRONOMÍA;0;3;2;5;4;NINGUNO
5;5;I;BIOLOGÍA AGRÍCOLA;0;3;2;5;4;NINGUNO
6;6;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
7;7;I;QUÍMICA AGRÍCOLA I;0;3;2;5;4;NINGUNO
8;8;I;INFORMÁTICA PARA LA AGRICULTURA;0;1;2;3;2;NINGUNO
9;9;II;ECOLOGIA Y RECURSOS NATURALES;0;3;2;5;4;NINGUNO
10;10;II;GEOLOGÍA AGRÍCOLA;0;1;2;3;2;NINGUNO
11;11;II;DESARROLLO AGRARIO E INCLUSIÓN SOCIAL;0;2;0;2;2;NINGUNO
12;12;II;CALCULO I;0;3;2;5;4;6
13;13;II;QUÍMICA AGRÍCOLA II;0;3;2;5;4;7
14;14;II;FÍSICA AGRÍCOLA;0;3;2;5;4;6
15;15;II;BOTÁNICA AGRÍCOLA;0;3;2;5;4;5
16;16;III;ANATOMÍA Y FISIOLOGÍA ANIMAL;0;2;2;4;3;NINGUNO
17;17;III;CALCULO II;0;3;2;5;4;12
18;18;III;BIOQUÍMICA;0;2;2;4;3;13
19;19;III;TAXONOMÍA VEGETAL;0;3;2;5;4;15
20;20;III;EDAFOLOGÍA;0;2;2;4;3;10
21;21;III;AGROECONOMÍA;0;1;2;3;2;6
22;22;III;TOPOGRAFÍA Y CARTOGRAFÍA;0;2;2;4;3;8
23;23;III;INGLES I;0;0;4;4;2;NINGUNO
24;24;IV;INGLES II;0;0;4;4;2;23
25;25;IV;ZOOTECNIA GENERAL;0;2;2;4;3;16
26;26;IV;MICROBIOLOGÍA AGRÍCOLA;0;2;2;4;3;5
27;27;IV;BIOESTADÍSTICA;0;3;2;5;4;6
28;28;IV;FISIOLOGÍA DE PLANTAS;0;3;2;5;4;18
29;29;IV;FERTILIDAD DE SUELOS;0;2;2;4;3;20
30;30;IV;GESTIÓN EMPRESARIAL;0;1;2;3;2;21
31;31;IV;HIDROLOGÍA;0;2;2;4;3;14
32;32;V;LEGISLACIÓN AGROAMBIENTAL;0;0;2;2;1;NINGUNO
33;33;V;GENÉTICA AGRÍCOLA Y PECUARIA;0;3;2;5;4;5
34;34;V;MANEJO Y CONSERVACIÓN DE SUELOS;0;2;2;4;3;29
35;35;V;MAQUINARIA Y MECANIZACIÓN AGRÍCOLA;0;3;2;5;4;14
36;36;V;PROPAGACIÓN DE PLANTAS;0;2;2;4;3;19
37;37;V;TELEDETECCIÓN Y SISTEMAS DE INFORMACIÓN GEOGRÁFICA;0;2;2;4;3;22
38;38;V;FITOPATOLOGÍA AGRÍCOLA;0;2;2;4;3;26
39;39;V;HIDRÁULICA;0;2;2;4;3;31
40;40;VI;EXPERIMENTACIÓN AGRÍCOLA;0;3;2;5;4;27
41;41;VI;AGRONOMÍA DE RIEGO Y DRENAJE;0;3;2;5;4;31
42;42;VI;CONTABILIDAD Y COSTOS AGRÍCOLAS;0;2;2;4;3;21
43;43;VI;NUTRICIÓN Y ALIMENTACIÓN ANIMAL;0;3;2;5;4;18
44;44;VI;BIOTECNOLOGÍA AGRÍCOLA;0;1;2;3;2;5
45;45;VI;RECURSOS GENÉTICOS;0;2;2;4;3;33
46;46;VI;ENTOMOLOGÍA AGRÍCOLA;0;3;2;5;4;5
47;47;VII;AGROMETEOROLOGÍA;0;3;2;5;4;14
48;48;VII;GESTIÓN INTEGRAL DE CUENCAS;0;3;2;5;4;37
49;49;VII;FITOMEJORAMIENTO;0;3;2;5;4;45
50;50;VII;PASTOS Y FORRAJES;0;2;2;4;3;19
51;51;VII;TECNOLOGÍA DE SEMILLAS;0;2;2;4;3;36
52;52;VII;SILVICULTURA;0;2;2;4;3;36
53;53;VII;SISTEMAS DE PRODUCCIÓN AGROPECUARIOS;0;2;2;4;3;4
54;54;VIII;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;0;3;2;5;4;42
55;55;VIII;AGROECOLOGÍA;0;3;2;5;4;9
56;56;VIII;CONSTRUCCIONES RURALES;0;3;2;5;4;22
57;57;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;0;1;2;3;2;40
