N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;LENGUAJE Y COMUNICACIÓN;0;1;1;2;3;2;Null;
2;1;I;METODOS DE ESTUDIO;0;2;0;0;2;2;Null;
3;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
4;1;I;ÉTICA Y DEONTOLOGÍA;0;2;0;0;2;2;Null;
5;1;I;INTRODUCCIÓN A LA AGRONOMÍA;0;3;1;2;5;4;Null;
;1;I;BIOLOGÍA AGRÍCOLA;0;3;1;2;5;4;;
;1;I;QUÍMICA AGRÍCOLA I;0;3;1;2;5;4;;
;1;I;INFORMÁTICA PARA LA AGRICULTURA;0;1;1;2;3;2;Null;
;2;II;ECOLOGÍA Y RECURSOS NATURALES;0;3;1;2;5;4;Null;
;2;II;CALCULO I;0;3;1;2;5;4;Null;
6;2;II;BOTÁNICA AGRÍCOLA;0;3;1;2;5;4;Null;
7;2;II;QUÍMICA AGRÍCOLA II;0;3;1;2;5;4;Null;
8;2;II;FÍSICA AGRÍCOLA;0;3;1;2;5;4;Null;
9;2;II;GEOLOGÍA AGRÍCOLA;0;1;1;2;3;2;Null;
10;2;II;DESARROLLO AGRARIO E INCLUSIÓN SOCIAL;0;2;0;0;2;2;Null;
11;3;III;CALCULO II;0;3;1;2;5;4;Null;
;3;III;INGLES I;0;0;2;4;4;2;Null;
12;3;III;ANATOMÍA Y FISIOLOGÍA ANIMAL;0;2;1;2;4;3;Null;
12;3;III;BIOQUÍMICA;0;2;1;2;4;3;Null;
12;3;III;TOPOGRAFÍA Y CARTOGRAFÍA;0;2;1;2;4;3;Null;
;3;III;TAXONOMÍA VEGETAL;0;3;1;2;5;4;Null;
13;3;III;EDAFOLOGÍA;0;2;1;2;4;3;Null;
14;3;III;AGROECONOMÍA;0;1;1;2;3;2;Null;
;4;IV;BIOESTADÍSTICA;0;3;1;2;5;4;Null;
;4;IV;INGLES II;0;0;2;4;4;2;Null;
15;4;IV;ZOOTECNIA GENERAL;0;2;1;2;4;3;Null;
;4;IV;MICROBIOLOGÍA AGRÍCOLA;0;2;1;2;4;3;Null;
16;4;IV;FISIOLOGÍA DE PLANTAS;0;3;1;2;5;4;Null;
17;4;IV;FERTILIDAD DE SUELOS;0;2;1;2;4;3;Null;
18;4;IV;HIDROLOGÍA;0;2;1;2;4;3;Null;
19;4;IV;GESTIÓN EMPRESARIAL;0;1;1;2;3;2;Null;
;5;V;TELEDETECCIÓN Y SISTEMAS DE INFORMACIÓN GEOGRÁFICA;0;2;1;2;4;3;Null;
20;5;V;GENÉTICA AGRÍCOLA Y PECUARIA;0;3;1;2;5;4;Null;
;5;V;MANEJO Y CONSERVACIÓN DE SUELOS;0;2;1;2;4;3;Null;
21;5;V;MAQUINARIA Y MECANIZACIÓN AGRÍCOLA;0;3;1;2;5;4;Null;
;5;V;PROPAGACIÓN DE PLANTAS;0;2;1;2;4;3;;
;5;V;FITOPATOLOGÍA AGRÍCOLA;0;2;1;2;4;3;;
;5;V;HIDRÁULICA;0;2;1;2;4;3;;
22;5;V;LEGISLACIÓN AGROAMBIENTAL;0;0;1;2;2;1;Null;
23;6;VI;EXPERIMENTACIÓN AGRÍCOLA;0;3;1;2;5;4;Null;
24;6;VI;ENTOMOLOGÍA AGRÍCOLA;0;3;1;2;5;4;Null;
24;6;VI;CONTABILIDAD Y COSTOS AGRÍCOLAS;0;2;1;2;4;3;Null;
;6;VI;AGRONOMÍA DE RIEGO Y DRENAJE;0;3;1;2;5;4;;
;6;VI;NUTRICIÓN Y ALIMENTACIÓN ANIMAL;0;3;1;2;5;4;;
;6;VI;BIOTECNOLOGÍA AGRÍCOLA;0;1;1;2;3;2;;
;6;VI;RECURSOS GENÉTICOS;0;2;1;2;4;3;;
24;7;VII;AGROMETEOROLOGÍA;0;3;1;2;5;4;Null;
25;7;VII;PASTOS Y FORRAJES;0;2;1;2;4;3;Null;
;7;VII;SILVICULTURA;0;2;1;2;4;3;;
;7;VII;GESTIÓN INTEGRAL DE CUENCAS;0;3;1;2;5;4;;
;7;VII;FITOMEJORAMIENTO;0;3;1;2;5;4;;
;7;VII;SISTEMAS DE PRODUCCION AGROPECUARIOS;0;2;1;2;4;3;;
;7;VII;TECNOLOGÍA DE SEMILLAS;0;2;1;2;4;3;;
26;8;VIII;METODOLOGÍA DE LA INVESTIGACIÓN;0;1;1;2;3;2;Null;
;8;VIII;AGROECOLOGÍA;0;3;1;2;5;4;;
;8;VIII;EXTENSIÓN Y PROMOCIÓN AGRARIA;0;2;1;2;4;3;;
;8;VIII;FORMULACION Y EVALUACION DE PROYECTOS;0;3;1;2;5;4;Null;
;8;VIII;CONSTRUCCIONES RURALES;0;3;1;2;5;4;Null;
;8;VIII;SISTEMAS DE GESTION EN CADENAS PRODUCTIVAS;0;2;1;2;4;3;Null;
27;8;VIII;MANEJO DE PRADERAS Y PASTIZALES;0;3;1;2;5;4;Null;
;9;IX;TUBEROSAS Y RAÍCES;0;3;1;2;5;4;;
;9;IX;GRANOS ANDINOS Y CEREALES;0;2;1;2;4;3;;
;9;IX;CULTIVOS TROPICALES;0;3;1;2;5;4;;
;9;IX;FRUTICULTURA;0;3;1;2;5;4;;
;9;IX;LEGUMINOSAS DE GRANO;0;2;1;2;4;3;;
;9;IX;OLERICULTURA;0;3;1;2;5;4;;
;9;IX;PRACTICAS PRE-PROFESIONALES;;0;2;4;4;2;;
;10;X;TRABAJO DE INVESTIGACIÓN;;1;1;2;3;2;;
;10;X;MANEJO INTEGRADO DE PLAGAS Y ENFERMEDADES;;3;1;2;5;4;;
;10;X;POST COSECHA Y TRANSFORMACIÓN;;2;1;2;4;3;;
;10;X;"AREA EN AGRONOMIA Y GESTION AMBIENTAL: EVALUACION DE IMPACTO AMBIENTAL; AREA EN AGRONOMIA TROPICAL: VIVEROS TROPICALES; AREA EN AGRONOMIA Y ZOOTECNIA: MEJORAMIENTO GENETICO DEL GANADO";;2;1;2;4;3;;
;10;X;"AREA EN AGRONOMIA Y GESTION AMBIENTAL: ORDENAMIENTO AGROECOLÓGICO; AREA EN AGRONOMIA TROPICAL: AGROFORESTERÍA TROPICAL; AREA EN AGRONOMIA Y ZOOTECNIA: REPRODUCCIÓN ANIMAL";;2;1;2;4;3;;
