N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;INTRODUCCION A LA INGENIERIA CIVIL;00;1;2;3;2;NINGUNO
1;002;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;00;2;2;4;3;NINGUNO
1;003;I;INGENIERIA GRAFICA Y DESCRIPTIVA;00;4;2;6;5;NINGUNO
1;004;I;MATEMATICA BASICA;00;4;2;6;5;NINGUNO
1;005;I;CALCULO DIFERENCIAL E INTEGRAL I;00;4;2;6;5;NINGUNO
1;006;I;GEOMETRIA ANALITICA;00;3;2;5;4;NINGUNO
1;007;II;TALLER DE COMPRENSION DE TEXTOS;00;2;2;4;3;NINGUNO
1;008;II;DESARROLLO PERSONAL;00;1;2;3;2;NINGUNO
1;009;II;QUIMICA APLICADA;00;2;2;4;3;NINGUNO
1;010;II;INTRODUCCION A LA GEOTECNIA;00;2;2;4;3;NINGUNO
1;011;II;FISICA I;00;3;2;5;4;NINGUNO
1;012;II;ALGEBRA VECTORIAL LINEAL Y MATRICIAL;00;3;2;5;4;004
1;013;II;CALCULO DIFERENCIAL E INTEGRAL II;00;3;2;5;4;005
1;014;III;MATERIALES DE CONSTRUCCION;00;2;2;4;3;40
1;015;III;MECANICA DE SUELOS I;00;4;2;6;5;010
1;016;III;FISICA II;00;3;2;5;4;011
1;017;III;ECUACIONES DIFERENCIALES ORDINARIAS;00;3;2;5;4;013
1;018;III;ESTADISTICA GENERAL;00;2;2;4;3;40
1;019;III;ESTATICA;00;4;2;6;5;012
1;020;IV;TECNOLOGIA DEL CONCRETO;00;3;2;5;4;014
1;021;IV;RESISTENCIA DE MATERIALES I;00;4;2;6;5;019
1;022;IV;MECANICA DE SUELOS II;00;4;2;6;5;015
1;023;IV;MECANICA DE FLUIDOS I;00;4;2;6;5;016
1;024;IV;TOPOGRAFIA I;00;3;4;7;5;60
1;025;V;CONSTRUCCIONES I;00;2;2;4;3;020
1;026;V;RESISTENCIA DE MATERIALES II;00;4;2;6;5;021
1;027;V;MECANICA DE FLUIDOS II;00;4;2;6;5;023
1;028;V;MECANICA DE ROCAS;00;2;2;4;3;022
1;029;V;TOPOGRAFIA II;00;4;2;6;5;024
1;030;V;METODOS NUMERICOS;00;2;2;4;3;017
1;031;VI;CONSTRUCCIONES II;00;3;2;5;4;025
