N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;INTRODUCCIÓN A LA INGENIERÍA CIVIL;0;1;1;2;3;2;Null;
2;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
3;1;I;INGENIERÍA GRÁFICA Y DESCRIPTIVA;0;4;1;2;6;5;Null;
4;1;I;MATEMÁTICA BÁSICA;0;4;1;2;6;5;Null;
5;1;I;CÁLCULO DIFERENCIAL E INTEGRAL I;0;4;1;2;6;5;Null;
;1;I;GEOMETRÍA ANALÍTICA;0;3;1;2;5;4;;
;2;II;TALLER DE COMPRENSIÓN DE TEXTOS;0;2;1;2;4;3;;
;2;II;DESARROLLO PERSONAL;0;1;1;2;3;2;Null;
;2;II;QUÍMICA APLICADA;0;2;1;2;4;3;Null;
;2;II;INTRODUCCIÓN A LA GEOTECNIA;0;2;1;2;4;3;Null;
6;2;II;FÍSICA I;0;3;1;2;5;4;Null;
7;2;II;ALGEBRA VECTORIAL LINEAL Y MATRICIAL;0;3;1;2;5;4;Null;
8;2;II;CÁLCULO DIFERENCIAL E INTEGRAL II;0;3;1;2;5;4;Null;
9;3;III;MATERIALES DE CONSTRUCCIÓN;0;2;1;2;4;3;Null;
10;3;III;MECÁNICA DE SUELOS I;0;4;1;2;6;5;Null;
11;3;III;FÍSICA II;0;3;1;2;5;4;Null;
;3;III;ECUACIONES DIFERENCIALES ORDINARIAS;0;3;1;2;5;4;Null;
12;3;III;ESTADÍSTICA GENERAL;0;2;1;2;4;3;Null;
12;3;III;ESTÁTICA;0;4;1;2;6;5;Null;
12;4;IV;TECNOLOGÍA DEL CONCRETO;0;3;1;2;5;4;Null;
;4;IV;RESISTENCIA DE MATERIALES I;0;4;1;2;6;5;Null;
13;4;IV;MECÁNICA DE SUELOS II;0;4;1;2;6;5;Null;
14;4;IV;MECÁNICA DE FLUIDOS I;0;4;1;2;6;5;Null;
;4;IV;TOPOGRAFÍA I;0;3;2;4;7;5;Null;
;5;V;CONSTRUCCIONES I;0;2;1;2;4;3;Null;
15;5;V;RESISTENCIA DE MATERIALES II;0;4;1;2;6;5;Null;
;5;V;MECÁNICA DE FLUIDOS II;0;4;1;2;6;5;Null;
16;5;V;MECÁNICA DE ROCAS;0;2;1;2;4;3;Null;
17;5;V;TOPOGRAFÍA II;0;4;1;2;6;5;Null;
18;5;V;MÉTODOS NUMÉRICOS;0;2;1;2;4;3;Null;
19;6;VI;CONSTRUCCIONES II;0;3;1;2;5;4;Null;
;6;VI;ANÁLISIS ESTRUCTURAL I;0;4;1;2;6;5;Null;
20;6;VI;HIDROLOGÍA;0;3;1;2;5;4;Null;
;6;VI;CAMINOS I;0;4;1;2;6;5;Null;
21;6;VI;PROGRAMACIÓN DIGITAL;0;2;1;2;4;3;Null;
;6;VI;DISEÑO ARQUITECTÓNICO;0;2;1;2;4;3;;
;7;VII;COSTOS Y PRESUPUESTOS;0;3;1;2;5;4;;
;7;VII;CONCRETO ARMADO I;0;4;1;2;6;5;;
22;7;VII;GEOTECNIA APLICADA;0;2;1;2;4;3;Null;
23;7;VII;ABASTECIMIENTO DE AGUA Y ALCANTARILLADO;0;4;1;2;6;5;Null;
24;7;VII;IRRIGACIONES;0;2;1;2;4;3;Null;
24;7;VII;CAMINOS II;0;3;1;2;5;4;Null;
;8;VIII;PROGRAMACIÓN Y CONTROL DE OBRAS;0;3;1;2;5;4;;
;8;VIII;ADMINISTRACIÓN Y CONTRATOS EN OBRAS;0;2;1;2;4;3;;
;8;VIII;PUENTES Y OBRAS DE ARTE;0;2;1;2;4;3;;
;8;VIII;INGENIERÍA DE CIMENTACIONES;0;3;1;2;5;4;;
24;8;VIII;TECNOLOGÍA DEL ASFALTO;0;2;1;2;4;3;Null;
25;8;VIII;GESTIÓN AMBIENTAL;0;2;1;2;4;3;Null;
