N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA I;0;3;2;5;4;NINGUNO
2;2;I;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
3;3;I;DIBUJO PARA INGENIERIA DE MINAS 2D, 3D;0;1;4;5;3;NINGUNO
4;4;I;MINERIA Y DESARROLLO;0;2;2;4;3;NINGUNO
5;5;I;GEOLOGÍA GENERAL;0;3;2;5;4;NINGUNO
6;6;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;2;5;4;NINGUNO
7;7;II;MATEMÁTICA II;0;3;2;5;4;1
8;8;II;FISICA I;0;3;2;5;4;3
9;9;II;ANÁLISIS QUÍMICO INSTRUMENTAL;0;3;2;5;4;2
10;10;II;MINERÍA GENERAL;0;3;2;5;4;4
11;11;II;MINERALOGÍA Y PETROGRAFÍA;0;3;2;5;4;5
12;12;II;BENEFICIO DE MINERALES;0;2;2;4;3;6
13;13;III;MATEMÁTICA III;0;3;2;5;4;7
14;14;III;FÍSICA II;0;3;2;5;4;8
15;15;III;ESTADÍSTICA GENERAL PARA MINERÍA;0;3;2;5;4;11
16;16;III;TOPOGRAFÍA GENERAL;0;2;4;6;4;40Creds
17;17;III;GEOLOGÍA DE MINAS;0;3;2;5;4;10
18;18;III;ESTÁTICA Y DINÁMICA;0;2;2;4;3;9
19;19;IV;MATEMÁTICA IV;0;2;2;4;3;13
20;20;IV;FÍSICA III;0;3;2;5;4;14
21;21;IV;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE MINERA;0;3;2;5;4;17
22;22;IV;TERMODINÁMICA;0;3;2;5;4;18
23;23;IV;TOPOGRAFÍA MINERA;0;2;4;6;4;16
24;24;IV;GEOESTADÍSTICA MINERA;0;3;2;5;4;15
25;25;V;MECÁNICA DE FLUIDOS E HIDRÁULICA PARA MINERÍA;0;2;2;4;3;22
26;26;V;MECÁNICA DE MATERIALES Y ESTRUCTURAS;0;3;2;5;4;20
