N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMÁTICA I;0;3;1;2;5;4;Null;
2;1;I;QUÍMICA GENERAL;0;3;1;2;5;4;Null;
3;1;I;DIBUJO PARA INGENIERÍA DE MINAS 2D, 3D;0;1;2;4;5;3;Null;
4;1;I;MINERÍA Y DESARROLLO;0;2;1;2;4;3;Null;
5;1;I;GEOLOGÍA GENERAL;0;3;1;2;5;4;Null;
;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;;
;2;II;MATEMÁTICA II;0;3;1;2;5;4;;
;2;II;FÍSICA I;0;3;1;2;5;4;Null;
;2;II;ANÁLISIS QUÍMICO INSTRUMENTAL;0;3;1;2;5;4;Null;
;2;II;MINERÍA GENERAL;0;3;1;2;5;4;Null;
6;2;II;MINERALOGÍA Y PETROGRAFÍA;0;3;1;2;5;4;Null;
7;2;II;BENEFICIO DE MINERALES;0;2;1;2;4;3;Null;
8;3;III;MATEMÁTICA III;0;3;1;2;5;4;Null;
9;3;III;FISICA II;0;3;1;2;5;4;Null;
10;3;III;ESTADISTICA GENERAL PARA MINERÍA;0;3;1;2;5;4;Null;
11;3;III;TOPOGRAFÍA GENERAL;0;2;2;4;6;4;Null;
;3;III;GEOLOGÍA DE MINAS;0;3;1;2;5;4;Null;
12;3;III;ESTÁTICA Y DINÁMICA;0;2;1;2;4;3;Null;
12;4;IV;MATEMÁTICA IV;0;2;1;2;4;3;Null;
12;4;IV;FÍSICA III;0;3;1;2;5;4;Null;
;4;IV;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE MINERA;0;3;1;2;5;4;Null;
13;4;IV;TERMODINÁMICA;0;3;1;2;5;4;Null;
14;4;IV;TOPOGRAFÍA MINERA;0;2;2;4;6;4;Null;
;4;IV;GEOESTADÍSTICA MINERA;0;3;1;2;5;4;Null;
;5;V;MECÁNICA DE FLUIDOS E HIDRAÚLICA PARA MINERÍA;0;2;1;2;4;3;Null;
15;5;V;MECÁNICA DE MATERIALES Y ESTRUCTURAS;0;3;1;2;5;4;Null;
