N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA SUPERIOR;0;4;0;4;4;NINGUNO
2;2;I;ESTRATEGIAS DE APRENDIZAJE Y DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
3;3;I;GEOMETRIA VECTORIAL;0;4;0;4;4;NINGUNO
4;4;I;INTRODUCCION A LA INGENIERIA DE SISTEMAS Y COMPUTACION;0;2;2;4;3;NINGUNO
5;5;I;FUNDAMENTOS DE PROGRAMACION;0;2;4;6;4;NINGUNO
6;6;I;INTRODUCCION A LA PROGRAMACION WEB;0;2;2;4;3;NINGUNO
7;7;I;ECONOMIA GENERAL;0;2;2;4;3;NINGUNO
8;8;II;CALCULO DIFERENCIAL;0;4;0;4;4;1
9;9;II;TEORIA DEL DISCURSO Y LIDERAZGO;0;2;2;4;3;NINGUNO
10;10;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
11;11;II;FISICA I;0;4;0;4;4;NINGUNO
12;12;II;LENGUAJES Y METODOLOGIAS DE PROGRAMACION;0;2;4;6;4;5
13;13;II;TECNOLOGIAS PARA EL DESARROLLO DE APLICACIONES;0;2;2;4;3;6
14;14;II;INGLES TECNICO I;0;2;2;4;3;NINGUNO
15;15;III;CALCULO INTEGRAL;0;4;0;4;4;8
16;16;III;FISICA II;0;4;0;4;4;11
17;17;III;ESTRUCTURAS DISCRETAS;0;2;2;4;3;NINGUNO
18;18;III;ALGORITMOS Y ESTRUCTURA DE DATOS;0;2;4;6;4;12
19;19;III;ALGEBRA LINEAL;0;2;2;4;3;NINGUNO
20;20;III;TALLER DE DESARROLLO DE APLICACIONES;0;2;2;4;3;13
21;21;III;INGLES TECNICO II;0;2;2;4;3;14
22;22;IV;CÁLCULO AVANZADO;0;4;0;4;4;15
23;23;IV;CIRCUITOS ELÉCTRICOS, ELECTRÓNICOS Y DIGITALES;0;4;2;6;5;16
24;24;IV;TEORÍA DE LENGUAJES Y AUTÓMATAS;0;2;2;4;3;17
25;25;IV;ANÁLISIS Y DISEÑO DE ALGORITMOS;0;2;2;4;3;18
26;26;IV;INVESTIGACIÓN DE OPERACIONES;0;2;2;4;3;19
27;27;IV;INTERFACES HUMANO-COMPUTADOR;0;2;2;4;3;20
28;28;IV;FUNDAMENTOS DE BASE DE DATOS;0;2;2;4;3;NINGUNO
29;29;V;DESARROLLO DE CAPACIDADES, EMPRENDIMIENTO TECNOLÓGICO E INNOVACIÓN;0;2;2;4;3;NINGUNO
30;30;V;MÉTODOS NUMÉRICOS;0;2;2;4;3;22
31;31;V;ARQUITECTURA DE COMPUTADORAS;0;2;2;4;3;23
32;32;V;ESTRUCTURA DE DATOS AVANZADAS;0;4;2;6;5;25
33;33;V;INGENIERÍA DE PROCESOS;0;2;2;4;3;26
34;34;V;INGENIERÍA DE SOFTWARE;0;4;0;4;4;27
35;35;V;GESTIÓN DE BASE DE DATOS;0;2;2;4;3;28
36;36;VI;ESTADÍSTICA Y PROBABILIDADES;0;2;2;4;3;NINGUNO
37;37;VI;FUNDAMENTOS DE REDES DE COMPUTADORES Y COMUNICACIONES;0;2;2;4;3;31
38;38;VI;COMPILADORES;0;4;0;4;4;24
39;39;VI;COMPUTACIÓN GRÁFICA;0;2;2;4;3;32
40;40;VI;FORMULACIÓN DE PROYECTOS;0;2;2;4;3;33
41;41;VI;SISTEMAS DE INFORMACIÓN;0;4;2;6;5;34
42;42;VI;LEGISLACIÓN INFORMÁTICA;0;2;2;4;3;NINGUNO
43;43;VII;ADMINISTRACIÓN DE REDES DE COMPUTADORES Y TELEMÁTICA;0;4;2;6;5;37
44;44;VII;SISTEMAS OPERATIVOS;0;2;2;4;3;38
45;45;VII;PROCESAMIENTO DE IMÁGENES Y VISIÓN COMPUTACIONAL;0;2;2;4;3;39
46;46;VII;GESTIÓN DE PROYECTOS;0;2;2;4;3;40
47;47;VII;COMERCIO ELECTRÓNICO Y NEGOCIOS INTERNACIONALES;0;2;2;4;3;NINGUNO
48;48;VII;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;4;0;4;4;NINGUNO
49;49;VII;ARTE DIGITAL;0;2;2;4;3;NINGUNO
50;50;VIII;SIMULACIÓN;0;2;2;4;3;30
51;51;VIII;PARALELISMO, CONCURRENCIA Y SISTEMAS DISTRIBUIDOS;0;4;2;6;5;44
52;52;VIII;INTELIGENCIA COMPUTACIONAL;0;2;2;4;3;45
53;53;VIII;ANÁLISIS Y DISEÑO DE SISTEMAS;0;2;2;4;3;NINGUNO
54;54;VIII;AUDITORÍA DE SISTEMAS;0;2;2;4;3;NINGUNO
55;55;VIII;CONSTITUCIÓN Y ADMINISTRACIÓN DE EMPRESAS;0;2;2;4;3;NINGUNO
56;56;VIII;PROGRAMACIÓN DE VIDEO JUEGOS;0;2;2;4;3;NINGUNO
57;57;VIII;PROGRAMACIÓN PARA COMPETICIÓN BÁSICO;0;2;2;4;3;NINGUNO
58;58;VIII;REDACCIÓN CIENTÍFICA;0;4;0;4;4;NINGUNO
59;59;IX;TOPICOS AVANZADOS EN INTELIGENCIA COMPUTACIONAL;0;4;2;6;5;52
60;60;IX;CONTABILIDAD EMPRESARIAL;0;2;2;4;3;NINGUNO
61;61;IX;INTERNET DE LAS COSAS;0;2;2;4;3;NINGUNO
62;62;IX;PROGRAMACIÓN PARA COMPETICIÓN INTERMEDIO;0;2;2;4;3;NINGUNO
63;63;IX;PROYECTO DE TESIS;0;2;0;2;2;NINGUNO
64;64;IX;PRACTICA PRE-PROFESIONAL I;0;0;4;4;2;180
65;65;IX;SISTEMAS DE INFORMACIÓN GERENCIAL Y DE APOYO A LA GESTIÓN;1;2;2;4;3;NINGUNO
66;66;IX;PROYECTOS DE SISTEMAS DE INFORMACIÓN;1;4;2;6;5;NINGUNO
67;67;IX;SEGURIDAD DE LA INFORMACIÓN Y GESTIÓN DE RIESGOS;1;2;2;4;3;NINGUNO
68;68;IX;PROYECTOS DE SOFTWARE I;2;2;2;4;3;NINGUNO
69;69;IX;CALIDAD DE SOFTWARE Y USABILIDAD;2;2;2;4;3;NINGUNO
70;70;IX;TALLER DE DESARROLLO DE SOFTWARE;2;4;2;6;5;NINGUNO
71;71;IX;DISEÑO DE REDES DE COMPUTADORES;3;4;2;6;5;NINGUNO
72;72;IX;SEGURIDAD EN REDES DE COMPUTADORES;3;2;2;4;3;NINGUNO
73;73;IX;REDES MÓVILES E INALÁMBRICAS;3;2;2;4;3;NINGUNO
74;74;IX;OPTIMIZACIÓN DE SISTEMAS;4;4;2;6;5;NINGUNO
75;75;IX;DINÁMICA DE SISTEMAS;4;2;2;4;3;NINGUNO
76;76;IX;SISTEMAS LOGÍSTICOS;4;2;2;4;3;NINGUNO
77;77;X;MARKETING Y NEGOCIOS;0;2;2;4;3;NINGUNO
78;78;X;NUEVOS MODELOS DE NEGOCIOS;0;2;2;4;3;NINGUNO
