N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS Y COMPUTACIÓN;0;2;1;2;4;3;Null;
2;1;I;FUNDAMENTOS DE PROGRAMACIÓN;0;2;2;4;6;4;Null;
3;1;I;INTRODUCCIÓN A LA PROGRAMACIÓN WEB;0;2;1;2;4;3;Null;
4;1;I;ECONOMÍA GENERAL;0;2;1;2;4;3;Null;
5;1;I;MATEMÁTICA SUPERIOR;0;4;0;0;4;4;Null;
;1;I;ESTRATEGIAS DE APRENDIZAJE Y DESARROLLO PERSONAL;0;2;1;2;4;3;;
;1;I;GEOMETRÍA VECTORIAL;0;4;0;0;4;4;;
;2;II;LENGUAJES Y METODOLOGÍAS DE PROGRAMACIÓN;0;2;2;4;6;4;Null;
;2;II;TECNOLOGÍAS PARA EL DESARROLLO DE APLICACIONES;0;2;1;2;4;3;Null;
;2;II;INGLÉS TÉCNICO I;0;2;1;2;4;3;Null;
6;2;II;CÁLCULO DIFERENCIAL;0;4;0;0;4;4;Null;
7;2;II;TEORÍA DEL DISCURSO Y LIDERAZGO;0;2;1;2;4;3;Null;
8;2;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;
9;2;II;FÍSICA I;0;4;0;0;4;4;Null;
10;3;III;ESTRUCTURAS DISCRETAS;0;2;1;2;4;3;Null;
11;3;III;ALGORITMOS Y ESTRUCTURA DE DATOS;0;2;2;4;6;4;Null;
;3;III;ALGEBRA LINEAL;0;2;1;2;4;3;Null;
12;3;III;TALLER DE DESARROLLO DE APLICACIONES;0;2;1;2;4;3;Null;
12;3;III;INGLÉS TÉCNICO II;0;2;1;2;4;3;Null;
12;3;III;CÁLCULO INTEGRAL;0;4;0;0;4;4;Null;
;3;III;FÍSICA II;0;4;0;0;4;4;Null;
13;4;IV;CIRCUITOS ELÉCTRICOS, ELECTRÓNICOS Y DIGITALES;0;4;1;2;6;5;Null;
14;4;IV;TEORÍA DE LENGUAJES Y AUTÓMATAS;0;2;1;2;4;3;Null;
;4;IV;ANÁLISIS Y DISEÑO DE ALGORITMOS;0;2;1;2;4;3;Null;
;4;IV;INTERFACES HUMANO-COMPUTADOR;0;2;1;2;4;3;Null;
15;4;IV;FUNDAMENTOS DE BASE DE DATOS;0;2;1;2;4;3;Null;
;4;IV;INVESTIGACIÓN DE OPERACIONES;0;2;1;2;4;3;Null;
16;4;IV;CÁLCULO AVANZADO;0;4;0;0;4;4;Null;
17;5;V;MÉTODOS NUMÉRICOS;0;2;1;2;4;3;Null;
18;5;V;ARQUITECTURA DE COMPUTADORAS;0;2;1;2;4;3;Null;
19;5;V;ESTRUCTURA DE DATOS AVANZADAS;0;4;1;2;6;5;Null;
;5;V;INGENIERÍA DE PROCESOS;0;2;1;2;4;3;Null;
20;5;V;INGENIERÍA DE SOFTWARE;0;4;0;0;4;4;Null;
;5;V;GESTIÓN DE BASE DE DATOS;0;2;1;2;4;3;Null;
21;5;V;DESARROLLO DE CAPACIDADES, EMPRENDIMIENTO TECNOLÓGICO E INNOVACIÓN;0;2;1;2;4;3;Null;
;6;VI;FUNDAMENTOS DE REDES DE COMPUTADORES Y COMUNICACIONES;0;2;1;2;4;3;;
;6;VI;COMPILADORES;0;4;0;0;4;4;;
;6;VI;COMPUTACIÓN GRÁFICA;0;2;1;2;4;3;;
;6;VI;SISTEMAS DE INFORMACIÓN;0;4;1;2;6;5;;
22;6;VI;FORMULACIÓN DE PROYECTOS;0;2;1;2;4;3;Null;
23;6;VI;LEGISLACIÓN INFORMÁTICA;0;2;1;2;4;3;Null;
24;6;VI;ESTADÍSTICA Y PROBABILIDADES;0;2;1;2;4;3;Null;
24;7;VII;ADMINISTRACIÓN DE REDES DE COMPUTADORES Y TELEMÁTICA;0;4;1;2;6;5;Null;
;7;VII;SISTEMAS OPERATIVOS;0;2;1;2;4;3;;
;7;VII;PROCESAMIENTO DE IMÁGENES Y VISIÓN COMPUTACIONAL;0;2;1;2;4;3;;
;7;VII;GESTIÓN DE PROYECTOS;0;2;1;2;4;3;;
;7;VII;COMERCIO ELECTRÓNICO Y NEGOCIOS INTERNACIONALES;0;2;1;2;4;3;;
;7;VII;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;4;0;0;4;4;;
24;7;VII;ARTE DIGITAL;0;2;1;2;4;3;Null;
25;8;VIII;SIMULACIÓN;0;2;1;2;4;3;Null;
;8;VIII;PARALELISMO, CONCURRENCIA Y SISTEMAS DISTRIBUIDOS;0;4;1;2;6;5;;
;8;VIII;INTELIGENCIA COMPUTACIONAL;0;2;1;2;4;3;;
;8;VIII;ANÁLISIS Y DISEÑO DE SISTEMAS;0;2;1;2;4;3;;
;8;VIII;REDACCIÓN CIENTÍFICA;0;4;0;0;4;4;;
;8;VIII;AUDITORIA DE SISTEMAS;0;2;1;2;4;3;;
;;VIII;PROGRAMACIÓN DE VIDEO JUEGOS;0;2;1;2;4;3;;
;;VIII;CONSTITUCIÓN Y ADMINISTRACIÓN DE EMPRESAS;0;2;1;2;4;3;;
;8;VIII;PROGRAMACIÓN PARA COMPETICIÓN BÁSICO;0;2;1;2;4;3;;
;9;IX;TÓPICOS AVANZADOS EN INTELIGENCIA COMPUTACIONAL;0;4;1;2;6;5;;
;9;IX;PROYECTO DE TESIS;0;2;0;0;2;2;;
;9;IX;PRÁCTICA PRE-PROFESIONAL I;0;0;2;4;4;2;;
;;IX;CONTABILIDAD EMPRESARIAL;0;2;1;2;4;3;;
;;IX;INTERNET DE LAS COSAS;0;2;1;2;4;3;;
;9;IX;PROGRAMACIÓN PARA COMPETICIÓN INTERMEDIO;0;2;1;2;4;3;;
;;IX;SISTEMAS DE INFORMACIÓN GERENCIAL Y DE APOYO A LA GESTIÓN;0;2;1;2;4;3;;
;;IX;PROYECTOS DE SOFTWARE I;0;2;1;2;4;3;;
;;IX;DISEÑO DE REDES DE COMPUTADORES;0;4;1;2;6;5;;
;9;IX;OPTIMIZACIÓN DE SISTEMAS;0;4;1;2;6;5;;
;;IX;PROYECTOS DE SISTEMAS DE INFORMACIÓN;0;4;1;2;6;5;Null;
;;IX;CALIDAD DE SOFTWARE Y USABILIDAD;0;2;1;2;4;3;Null;
;;IX;SEGURIDAD EN REDES DE COMPUTADORES;0;2;1;2;4;3;Null;
;9;IX;DINÁMICA DE SISTEMAS;0;2;1;2;4;3;Null;
;;IX;SEGURIDAD DE LA INFORMACIÓN Y GESTIÓN DE RIESGOS;0;2;1;2;4;3;Null;
;;IX;TALLER DE DESARROLLO DE SOFTWARE;0;4;1;2;6;5;Null;
;;IX;REDES MOVILES E INALÁMBRICAS;0;2;1;2;4;3;Null;
;9;IX;SISTEMAS LOGÍSTICOS;0;2;1;2;4;3;Null;
