N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;4;2;6;5;NINGUNO
2;2;I;ESTADÍSTICA GENERAL;0;3;2;5;5;NINGUNO
3;3;I;ECONOMIA MATEMÁTICA I;0;4;2;6;5;NINGUNO
4;4;I;FUNDAMENTOS DE MICROECONOMÍA;0;2;2;4;3;NINGUNO
5;5;I;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
6;6;I;CULTURA Y SOCIEDAD;0;2;2;4;3;NINGUNO
7;7;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;4;2;6;5;1
8;8;II;ESTADÍSTICA INFERENCIAL;0;4;2;6;5;2
9;9;II;ECONOMÍA MATEMÁTICA II;0;4;2;6;5;3
10;10;II;HISTORIA ECONÓMICA DEL PERÚ;0;1;2;3;2;NINGUNO
11;11;II;FUNDAMENTOS DE MACROECONOMÍA;0;2;2;4;3;4
12;12;II;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN;0;3;2;5;4;NINGUNO
13;13;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
14;14;III;ECONOMETRIA I;0;4;2;6;5;8
15;15;III;ECONOMIA MATEMATICA III;0;4;2;6;5;9
16;16;III;MICROECONOMIA I;0;4;2;6;5;10
17;17;III;MACROECONOMIA I;0;4;2;6;5;11
18;18;III;DEPORTES - FITNESS;0;0;2;2;1;NINGUNO
19;19;IV;INVESTIGACION DE MERCADOS Y MARKETING;0;2;2;4;3;8
20;20;IV;ECONOMETRIA II;0;4;2;6;5;14
21;21;IV;ECONOMIA MATEMATICA IV;0;4;2;6;5;15
22;22;IV;MICROECONOMIA II;0;4;2;6;5;16
23;23;IV;MACROECONOMIA II;0;4;2;6;5;17
24;24;IV;ARTE I TALLER DE MUSICA;0;0;2;2;1;NINGUNO
25;25;V;CONTABILIDAD GERENCIAL;0;2;2;4;3;NINGUNO
26;26;V;ECONOMETRIA III;0;4;2;6;5;20
27;27;V;FORMULACION DE PROYECTOS DE INVERSION;0;2;4;6;4;19
28;28;V;MICROECONOMIA III;0;4;2;6;5;22
29;29;V;MACROECONOMIA III;0;4;2;6;5;23
30;30;V;LIDERAZGO;0;2;0;2;2;5
31;31;VI;ADMINISTRACION GENERAL;0;2;2;4;3;NINGUNO
32;32;VI;INVESTIGACION OPERATIVA;0;4;2;6;5;21
33;33;VI;EVALUACION PRIVADA DE PROYECTOS;0;2;4;6;4;27
34;34;VI;INGENIERIA ECONOMICA;0;4;2;6;5;NINGUNO
35;35;VI;ECONOMIA MONETARIA Y BANCARIA;0;2;2;4;3;29
36;36;VI;ECONOMIA AGRARIA;0;2;2;4;3;NINGUNO
37;37;VII;ECONOMIA REGIONAL Y URBANA;0;4;2;6;5;31
38;38;VII;EVALUACION SOCIAL DE PROYECTOS;0;2;4;6;4;27
39;39;VII;DESARROLLO ECONOMICO Y SOCIAL;0;4;2;6;5;31
40;40;VII;FINANZAS CORPORATIVAS;0;2;4;6;4;34
41;41;VII;ETICA Y DEONTOLOGIA;0;2;0;2;2;NINGUNO
42;52;VII;TALLER DE PROYECTOS SANEAMIENTO BASICO;0;2;2;4;3;140
43;53;VII;TIC PARA LA INVESTIGACION ECONOMICA;0;2;2;4;3;140
44;54;VII;TALLER DE RIESGO FINANCIERO Y OPERACIONAL;0;2;2;4;3;140
45;42;VIII;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;2;5;4;NINGUNO
46;43;VIII;ECONOMIA Y POBLACION;0;2;2;4;3;NINGUNO
47;44;VIII;ECONOMIA INTERNACIONAL;0;2;2;4;3;29
48;45;VIII;COSTOS Y PRESUPUESTOS;0;4;2;6;5;31
49;46;VIII;METODOLOGIA DE LA INVESTIGACION;0;4;2;6;5;7
50;55;VIII;TALLER DE PROYECTOS PRODUCTIVO Y SOCIALES;0;2;2;4;3;150
51;56;VIII;EVALUACION DE PROGRAMAS SOCIALES;0;2;2;4;3;150
52;57;VIII;TALLER PLANES DE NEGOCIOS;0;2;2;4;3;150
53;47;IX;TALLER DE INVESTIGACION;0;2;4;6;4;46
54;48;IX;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;3;2;5;4;NINGUNO
55;49;IX;PLANIFICACION ESTRATEGICA;0;4;2;6;5;31
56;50;IX;ECONOMIA AMBIENTAL;0;4;2;6;5;42
57;51;IX;INGLES TECNICO;0;1;2;3;2;NINGUNO
58;58;IX;TALLER DE SIAF, SEACE Y SIGA;0;2;2;4;3;160
59;59;IX;INVESTIGACION CUALITATIVA;0;2;2;4;3;160
60;60;IX;GERENCIA DE PROYECTOS;0;2;2;4;3;160
61;61;X;PRACTICAS PRE PROFESIONALES;0;2;20;22;12;200
62;ECO316;X;TRABAJO DE INVESTIGACION;;1;2;3;2;47
