N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;4;1;2;6;5;Null;
2;1;I;ESTADISTICA GENERAL;0;4;1;2;6;5;Null;
3;1;I;ECONOMIA MATEMATICA I;0;4;1;2;6;5;Null;
4;1;I;FUNDAMENTOS DE MICROECONOMIA;0;2;1;2;4;3;Null;
5;1;I;DESARROLLO PERSONAL;0;2;1;2;4;3;Null;
;1;I;CULTURA Y SOCIEDAD;0;2;1;2;4;3;;
;2;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;0;4;1;2;6;5;;
;2;II;ESTADISTICA INFERENCIAL;0;4;1;2;6;5;Null;
;2;II;ECONOMIA MATEMATICA II;0;4;1;2;6;5;Null;
;2;II;HISTORIA ECONOMICA DEL PERU;0;1;1;2;3;2;Null;
6;2;II;FUNDAMENTOS DE MACROECONOMIA;0;2;1;2;4;3;Null;
7;2;II;TECNOLOGIA DE INFORMACION Y COMUNICACION;0;3;1;2;5;4;Null;
8;3;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;
9;3;III;ECONOMETRIA I;0;4;1;2;6;5;Null;
10;3;III;ECONOMIA MATEMATICA III;0;4;1;2;6;5;Null;
11;3;III;MICROECONOMIA I;0;4;1;2;6;5;Null;
;3;III;MACROECONOMIA I;0;4;1;2;6;5;Null;
12;3;III;DEPORTES - FITNESS;0;0;1;2;2;1;Null;
12;4;IV;INVESTIGACION DE MERCADOS Y MARKETING;0;2;1;2;4;3;Null;
12;4;IV;ECONOMETRIA II;0;4;1;2;6;5;Null;
;4;IV;ECONOMIA MATEMATICA IV;0;4;1;2;6;5;Null;
13;4;IV;MICROECONOMIA II;0;4;1;2;6;5;Null;
14;4;IV;MACROECONOMIA II;0;4;1;2;6;5;Null;
;4;IV;ARTE I TALLER DE MUSICA;0;0;1;2;2;1;Null;
;5;V;CONTABILIDAD GERENCIAL;0;2;1;2;4;3;Null;
15;5;V;ECONOMETRIA III;0;4;1;2;6;5;Null;
;5;V;FORMULACION DE PROYECTOS DE INVERSION;0;2;2;4;6;4;Null;
16;5;V;MICROECONOMIA III;0;4;1;2;6;5;Null;
17;5;V;MACROECONOMIA III;0;4;1;2;6;5;Null;
18;5;V;LIDERAZGO;0;2;0;0;2;2;Null;
19;6;VI;ADMINISTRACION GENERAL;0;2;1;2;4;3;Null;
;6;VI;INVESTIGACION OPERATIVA;0;4;1;2;6;5;Null;
20;6;VI;EVALUACION PRIVADA DE PROYECTOS;0;2;2;4;6;4;Null;
;6;VI;INGENIERIA ECONOMICA;0;4;1;2;6;5;Null;
21;6;VI;ECONOMIA MONETARIA Y BANCARIA;0;2;1;2;4;3;Null;
;6;VI;ECONOMIA AGRARIA;0;2;1;2;4;3;;
;7;VII;ECONOMIA REGIONAL Y URBANA;0;4;1;2;6;5;;
;7;VII;EVALUACION SOCIAL DE PROYECTOS;0;2;2;4;6;4;;
;7;VII;DESARROLLO ECONOMICO Y SOCIAL;0;4;1;2;6;5;;
22;7;VII;FINANZAS CORPORATIVAS;0;2;2;4;6;4;Null;
23;7;VII;ETICA Y DEONTOLOGIA;0;2;0;0;2;2;Null;
;;VII;TALLER DE PROYECTOS SANEAMIENTO BASICO;0;2;1;2;4;3;Null;
;;VII;TIC PARA LA INVESTIGACION ECONOMICA;0;2;1;2;4;3;Null;
24;7;VII;TALLER DE RIESGO FINANCIERO Y OPERACIONAL;0;2;1;2;4;3;Null;
24;8;VIII;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
;8;VIII;ECONOMIA Y POBLACION;0;2;1;2;4;3;;
;8;VIII;ECONOMIA INTERNACIONAL;0;2;1;2;4;3;;
;8;VIII;COSTOS Y PRESUPUESTOS;0;4;1;2;6;5;;
;8;VIII;METODOLOGIA DE LA INVESTIGACION;0;4;1;2;6;5;;
;;VIII;TALLER DE PROYECTOS PRODUCTIVO Y SOCIALES;0;2;1;2;4;3;;
;;VIII;EVALUACION DE PROGRAMAS SOCIALES;0;2;1;2;4;3;;
;8;VIII;TALLER PLANES DE NEGOCIOS;0;2;1;2;4;3;;
24;9;IX;TALLER DE INVESTIGACION;0;2;2;4;6;4;Null;
25;9;IX;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;3;1;2;5;4;Null;
;9;IX;PLANIFICACION ESTRATEGICA;0;4;1;2;6;5;;
;9;IX;ECONOMIA AMBIENTAL;0;4;1;2;6;5;;
;9;IX;INGLES TECNICO;0;1;1;2;3;2;;
;;IX;TALLER DE SIAF, SEACE Y SIGA;0;2;1;2;4;3;;
;;IX;INVESTIGACION CUALITATIVA;0;2;1;2;4;3;;
;9;IX;GERENCIA DE PROYECTOS;0;2;1;2;4;3;;
;10;X;PRACTICAS PRE PROFESIONALES;0;2;10;20;22;12;;
;10;X;TRABAJO DE INVESTIGACIÓN;;1;1;2;3;2;;
