N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA I;0;4;2;6;5;NINGUNO
2;2;I;CALCULO APLICADO A LA INGENIERIA ELECTRONICA I;0;4;2;6;5;NINGUNO
3;3;I;TALLER DE COMPRENSION Y REDACCION;0;2;2;4;3;NINGUNO
4;4;I;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
5;5;I;DISEÑO DE INGENIERIA;0;3;2;5;4;NINGUNO
6;6;I;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
7;7;II;MATEMATICAS BASICAS II;0;4;2;6;5;1
8;8;II;CALCULO APLICADO A LA INGENIERIA ELECTRONICA II;0;4;2;6;5;2
9;9;II;FISICA I;0;3;2;5;4;NINGUNO
10;10;II;LENGUAJES DE PROGRAMACION I;0;3;2;5;4;NINGUNO
11;11;II;TECNOLOGIA ELECTRONICA;0;2;2;4;3;5
12;12;II;ESTADISTICA Y PROBABILIDADES;0;2;2;4;3;NINGUNO
13;13;III;CALCULO APLICADO A LA INGENIERIA ELECTRONICA III;0;3;2;5;4;8
14;14;III;FISICA II;0;3;2;5;4;9
15;15;III;LENGUAJES DE PROGRAMACION II;0;2;2;4;3;10
16;16;III;ANALISIS DE CIRCUITOS ELECTRICOS I;0;4;2;6;5;7
17;17;III;DISPOSITIVOS ELECTRONICOS;0;4;2;6;5;11
18;18;III;METODOLOGIA DE LA INVESTIGACION;0;2;2;4;3;3
19;19;IV;CAMPOS ELECTROMAGNETICOS;0;3;2;5;4;NINGUNO
20;20;IV;FISICA APLICADA A LA INGENIERIA ELECTRONICA;0;3;2;5;4;14
21;21;IV;ANALISIS DE CIRCUITOS ELECTRICOS II;0;4;2;6;5;16
22;22;IV;CIRCUITOS ELECTRONICOS I;0;4;2;6;5;17
23;23;IV;SISTEMAS DIGITALES I;0;4;2;6;5;15
24;24;IV;LABORATORIO DE ELECTRONICA I;0;0;2;2;1;18
25;25;V;MAQUINAS ELECTRICAS;0;3;2;5;4;13
26;26;V;CIRCUITOS ELECTRONICOS II;0;4;2;6;5;22
27;27;V;SISTEMAS DIGITALES II;0;4;2;6;5;23
28;28;V;TELECOMUNICACIONES ANALOGICAS;0;4;2;6;5;20
29;29;V;PROPAGACION Y RADIACION ELECTROMAGNETICA;0;3;2;5;4;19
30;30;V;LABORATORIO DE ELECTRONICA II;0;0;2;2;1;24
31;31;VI;CIRCUITOS DE RADIO FRECUENCIA;0;3;2;5;4;26
32;32;VI;TEORIA DE CONTROL AUTOMATICO I;0;4;2;6;5;25
33;33;VI;MICROPROCESADORES Y MICROCONTRLADORES;0;4;2;6;5;27
34;34;VI;TELECOMUNICACIONES DIGITALES;0;4;2;6;5;28
35;35;VI;INSTALACION Y SUMINISTRO ELECTRICO;0;3;2;5;4;NINGUNO
36;36;VI;LABORATORIO DE TELECOMUNICACIONES;0;0;2;2;1;30
37;37;VII;MEDIOS DE TRANSMISION Y ANTENAS;0;3;2;5;4;34
38;38;VII;ELECTRONICA DE POTENCIA;0;3;2;5;4;32
39;39;VII;AUTOMATAS PROGRAMABLES;0;3;2;5;4;33
40;40;VII;TEORIA DE LA INFORMACION;1;3;2;5;4;NINGUNO
41;41;VII;SISTEMAS TELEMATICOS I;1;3;2;5;4;NINGUNO
42;42;VII;INGENIERIA DE ANTENAS;1;3;2;5;4;31
43;43;VII;GESTION DE SERVIDORES Y DATA CENTER;1;3;2;5;4;31
44;44;VII;SISTEMAS DE MANDO Y POTENCIA;2;3;2;5;4;33
45;45;VII;TEORIA DE CONTROL AUTOMATICO II;2;3;2;5;4;32
46;46;VII;MEDICIONES ELECTRICAS Y ELECTRONICAS;2;3;2;5;4;35
47;47;VII;INSTALACIONES ELECTRONICAS E INDUSTRIALES;2;3;2;5;4;35
48;48;VIII;ARQUITECTURA DE REDES DE COMUNICACIONES;0;4;2;6;5;37
49;49;VIII;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
50;50;VIII;INGENIERIA DE PROYECTOS;0;3;2;5;4;38
51;51;VIII;SISTEMAS DE TELEFONIA FIJA;1;3;2;5;4;40
52;52;VIII;SISTEMAS TELEMATICOS II;1;3;2;5;4;41
53;53;VIII;SISTEMAS DE TELEVISION Y RADIODIFUSION;1;3;2;5;4;42,43
54;54;VIII;INGENIERIA DE TRAFICO;1;3;2;5;4;42,43
55;55;VIII;INSTRUMENTACION INDUSTRIAL;2;3;2;5;4;44
56;56;VIII;TEORIA DE CONTROL AUTOMATICO III;2;3;2;5;4;45
57;57;VIII;SEGURIDAD INDUSTRIAL Y CONFIABILIDAD;2;3;2;5;4;46,47
58;58;VIII;MANTENIMIENTO ELECTRONICO INDUSTRIAL;2;3;2;5;4;46,47
59;59;IX;TECNOLOGIAS DE INFORMACION Y TELECOMUNICACION (TIT);0;3;2;5;4;48
60;60;IX;INGLES TECNICO;0;3;2;5;4;NINGUNO
61;61;IX;TALLER DE TESIS;0;3;2;5;4;50
62;62;IX;SEGURIDAD EN REDES DE DATOS;1;3;2;5;4;52
63;63;IX;SISTEMAS DE TELEFONIA MOVIL;1;3;2;5;4;51
64;64;IX;TELEVISION DIGITAL;1;3;2;5;4;53,54
65;65;IX;BASE DE DATOS Y SEGURIDAD DE LA INFORMACION;1;3;2;5;4;53,54
66;66;IX;INTELIGENCIA ARTIFICIAL;1;3;2;5;4;53,54
67;67;IX;TEORIA DE CONTROL AUTOMATICO AVANZADO;2;3;2;5;4;56
68;68;IX;ACTUADORES Y ACCIONAMIENTOS I;2;3;2;5;4;55
69;69;IX;SISTEMAS DE CONTROL DISTRIBUIDO;2;3;2;5;4;57,58
70;70;IX;SISTEMAS DE CONTROL NUMÉRICO;2;3;2;5;4;57,58
71;71;IX;LABORATORIO LÓGICO INDUSTRIAL;2;3;2;5;4;57,58
72;72;X;PROCESAMIENTO DIGITAL DE SEÑALES;0;4;2;6;5;NINGUNO
73;73;X;PRÁCTICA SUPERVISADA PRE PROFESIONAL;0;2;2;4;3;192
74;74;X;GESTIÓN Y ADMINISTRACIÓN DE EMPRESAS TECNOLÓGICAS;0;3;2;5;4;61
75;75;X;GESTIÓN DE PROYECTOS Y LEGISLACIÓN DE TELECOMUNICACIONES;1;3;2;5;4;63
76;76;X;COMUNICACIONES ÓPTICAS;1;3;2;5;4;62
77;77;X;COMUNICACIONES INALÁMBRICAS;1;3;2;5;4;64,65,66
78;78;X;TECNOLOGÍAS AVANZADAS DE TELECOMUNICACIONES;1;3;2;5;4;64,65,66
79;79;X;SISTEMAS DE MICROONDAS Y SATÉLITES;1;3;2;5;4;64,65,66
80;80;X;ROBÓTICA INDUSTRIAL;2;3;2;5;4;67
81;81;X;AUTOMATIZACIÓN INDUSTRIAL;2;3;2;5;4;68
82;82;X;SISTEMAS DE CONTROL INTELIGENTE;2;3;2;5;4;71,70,69
83;83;X;REDES INDUSTRIALES;2;3;2;5;4;71,70,69
84;84;X;ACTUADORES Y ACCIONAMIENTOS II;2;3;2;5;4;71,70,69
85;ELE337;X;TRABAJO DE INVESTIGACION;;1;2;3;2;61
