N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMATICA BASICA I;0;4;1;2;6;5;Null;
2;1;I;CALCULO APLICADO A LA INGENIERIA ELECTRONICA I;0;4;1;2;6;5;Null;
3;1;I;TALLER DE COMPRENSION Y REDACCION;0;2;1;2;4;3;Null;
4;1;I;QUIMICA GENERAL;0;3;1;2;5;4;Null;
5;1;I;DISEÑO DE INGENIERIA;0;3;1;2;5;4;Null;
;1;I;DESARROLLO PERSONAL;0;2;1;2;4;3;;
;2;II;MATEMATICAS BASICAS II;0;4;1;2;6;5;;
;2;II;CALCULO APLICADO A LA INGENIERIA ELECTRONICA II;0;4;1;2;6;5;Null;
;2;II;FISICA I;0;3;1;2;5;4;Null;
;2;II;LENGUAJES DE PROGRAMACION I;0;3;1;2;5;4;Null;
6;2;II;TECNOLOGIA ELECTRONICA;0;2;1;2;4;3;Null;
7;2;II;ESTADISTICA Y PROBABILIDADES;0;2;1;2;4;3;Null;
8;3;III;CALCULO APLICADO A LA INGENIERIA ELECTRONICA III;0;3;1;2;5;4;Null;
9;3;III;FISICA II;0;3;1;2;5;4;Null;
10;3;III;LENGUAJES DE PROGRAMACION II;0;2;1;2;4;3;Null;
11;3;III;ANALISIS DE CIRCUITOS ELECTRICOS I;0;4;1;2;6;5;Null;
;3;III;DISPOSITIVOS ELECTRONICOS;0;4;1;2;6;5;Null;
12;3;III;METODOLOGIA DE LA INVESTIGACION;0;2;1;2;4;3;Null;
12;4;IV;CAMPOS ELECTROMAGNETICOS;0;3;1;2;5;4;Null;
12;4;IV;FISICA APLICADA A LA INGENIERIA ELECTRONICA;0;3;1;2;5;4;Null;
;4;IV;ANALISIS DE CIRCUITOS ELECTRICOS II;0;4;1;2;6;5;Null;
13;4;IV;CIRCUITOS ELECTRONICOS I;0;4;1;2;6;5;Null;
14;4;IV;SISTEMAS DIGITALES I;0;4;1;2;6;5;Null;
;4;IV;LABORATORIO DE ELECTRONICA I;0;0;1;2;2;1;Null;
;5;V;MAQUINAS ELECTRICAS;0;3;1;2;5;4;Null;
15;5;V;CIRCUITOS ELECTRONICOS II;0;4;1;2;6;5;Null;
;5;V;SISTEMAS DIGITALES II;0;4;1;2;6;5;Null;
16;5;V;TELECOMUNICACIONES ANALOGICAS;0;4;1;2;6;5;Null;
17;5;V;PROPAGACION Y RADIACION ELECTROMAGNETICA;0;3;1;2;5;4;Null;
18;5;V;LABORATORIO DE ELECTRONICA II;0;0;1;2;2;1;Null;
19;6;VI;CIRCUITOS DE RADIO FRECUENCIA;0;3;1;2;5;4;Null;
;6;VI;TEORIA DE CONTROL AUTOMATICO I;0;4;1;2;6;5;Null;
20;6;VI;MICROPROCESADORES Y MICROCONTROLADORES;0;4;1;2;6;5;Null;
;6;VI;TELECOMUNICACIONES DIGITALES;0;4;1;2;6;5;Null;
21;6;VI;INSTALACION Y SUMINISTRO ELECTRICO;0;3;1;2;5;4;Null;
;6;VI;LABORATORIO DE TELECOMUNICACIONES;0;0;1;2;2;1;;
;7;VII;MEDIOS DE TRANSMISION Y ANTENAS;0;3;1;2;5;4;;
;7;VII;ELECTRONICA DE POTENCIA;0;3;1;2;5;4;;
;7;VII;AUTOMATAS PROGRAMABLES;0;3;1;2;5;4;;
;;VII;TEORIA DE LA INFORMACION;0;3;1;2;5;4;Null;
22;7;VII;SISTEMAS DE MANDO Y POTENCIA;0;3;1;2;5;4;Null;
;;VII;TEORIA DE CONTROL AUTOMATICO II;0;3;1;2;5;4;Null;
23;7;VII;SISTEMAS TELEMATICOS I;0;3;1;2;5;4;Null;
;;VII;INGENIERIA DE ANTENAS;0;3;1;2;5;4;Null;
;;VII;GESTION DE SERVIDORES Y DATA CENTER;0;3;1;2;5;4;Null;
;;VII;MEDICIONES ELECTRICAS Y ELECTRONICAS;0;3;1;2;5;4;Null;
;7;VII;INSTALACIONES ELECTRONICAS E INDUSTRIALES;0;3;1;2;5;4;Null;
;8;VIII;ARQUITECTURA DE REDES DE COMUNICACIONES;0;4;1;2;6;5;Null;
24;8;VIII;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;
24;8;VIII;INGENIERIA DE PROYECTOS;0;3;1;2;5;4;Null;
;;VIII;SISTEMAS DE TELEFONIA FIJA;0;3;1;2;5;4;;
;8;VIII;INSTRUMENTACION INDUSTRIAL;0;3;1;2;5;4;;
;;VIII;SISTEMAS TELEMATICOS II;0;3;1;2;5;4;;
;8;VIII;TEORIA DE CONTROL AUTOMATICO III;0;3;1;2;5;4;;
;;VIII;SISTEMAS DE TELEVISION Y RADIODIFUSION;0;3;1;2;5;4;;
;;VIII;INGENIERIA DE TRAFICO;0;3;1;2;5;4;;
;;VIII;SEGURIDAD INDUSTRIAL Y CONFIABILIDAD;0;3;1;2;5;4;;
;8;VIII;MANTENIMIENTO ELECTRONICO INDUSTRIAL;0;3;1;2;5;4;;
;9;IX;TECNOLOGIAS DE INFORMACION Y TELECOMUNICACION (TIT);0;3;1;2;5;4;;
;9;IX;INGLES TECNICO;0;3;1;2;5;4;;
;9;IX;TALLER DE TESIS;0;3;1;2;5;4;;
;;IX;SEGURIDAD EN REDES DE DATOS;0;3;1;2;5;4;;
;9;IX;TEORIA DE CONTROL AUTOMATICO AVANZADO;0;3;1;2;5;4;;
;;IX;SISTEMAS DE TELEFONIA MOVIL;0;3;1;2;5;4;Null;
24;9;IX;ACTUADORES Y ACCIONAMIENTOS I;0;3;1;2;5;4;Null;
;;IX;TELEVISION DIGITAL;0;3;1;2;5;4;Null;
;;IX;BASE DE DATOS Y SEGURIDAD DE LA INFORMACION;0;3;1;2;5;4;Null;
;;IX;INTELIGENCIA ARTIFICIAL;0;3;1;2;5;4;Null;
;;IX;SISTEMAS DE CONTROL DISTRIBUIDO;0;3;1;2;5;4;Null;
;;IX;LABORATORIO LÓGICO INDUSTRIAL;0;3;1;2;5;4;Null;
25;9;IX;SISTEMAS DE CONTROL NUMERICO;0;3;1;2;5;4;Null;
;10;X;PROCESAMIENTO DIGITAL DE SEÑALES;0;4;1;2;6;5;;
;10;X;PRÁCTICA SUPERVISADA PRE PROFESIONAL;0;2;1;2;4;3;;
;10;X;GESTIÓN Y ADMINISTRACIÓN DE EMPRESAS TECNOLÓGICAS;0;3;1;2;5;4;;
;;X;GESTIÓN DE PROYECTOS Y LEGISLACIÓN DE TELECOMUNICACIONES;0;3;1;2;5;4;;
;10;X;ROBÓTICA INDUSTRIAL;0;3;1;2;5;4;;
