N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZA;0;1;2;3;2;NINGUNO
2;2;I;SEGURIDAD Y DEFENSA NACIONAL;0;3;0;3;3;NINGUNO
3;3;I;MATEMATICA BASICA;0;2;2;4;3;NINGUNO
4;4;I;DISEÑO DE INSTRUMENTOS PARA LA INVESTIGACION;0;2;2;4;3;NINGUNO
5;5;I;ESTADISTICA COMPUTACIONAL;0;4;2;6;5;NINGUNO
6;6;I;TEORIA COMPUTACIONAL;0;3;2;5;4;NINGUNO
7;7;I;FUNDAMENTOS DE PROGRAMACIÓN;0;3;2;5;4;NINGUNO
8;8;II;FÍSICA PARA INFORMÁTICA;0;2;2;4;3;NINGUNO
9;9;II;CÁLCULO DIFERENCIAL E INTEGRAL;0;3;2;5;4;3
10;10;II;INTRODUCCIÓN A LA INVESTIGACIÓN;0;2;2;4;3;NINGUNO
11;11;II;ANÁLISIS Y DISEÑO DE SISTEMAS DE INFORMACIÓN;0;2;4;6;4;6
12;12;II;MÉTODOS DE PROGRAMACIÓN;0;3;2;5;4;7
13;13;II;FUNDAMENTOS DE ESTRUCTURAS DE DATOS;0;3;2;5;4;20Creds
14;14;III;GEOMETRIA VECTORIAL;0;2;2;4;3;35Creds
15;15;III;ECUACIONES DIFERENCIALES;0;2;2;4;3;9
16;16;III;CALCULO DE PROBABILIDADES;0;2;4;6;4;5
17;17;III;FUNDAMENTOS DE BASE DE DATOS;0;2;2;4;3;11
18;18;III;MICROINFORMATICA;0;2;2;4;3;35Creds
19;19;III;ESTRUCTURA DE DATOS AVANZADAS;0;3;2;5;4;13
20;20;III;INGLES TECNICO ACADEMICO;0;1;2;3;2;35Creds
21;21;IV;PROGRAMACION NUMERICA;0;2;2;4;3;50Creds
22;22;IV;PROYECTOS DE INVERSION;0;2;2;4;3;50Creds
23;23;IV;METODOS ESTADISTICOS;0;3;2;5;4;16
24;24;IV;ANALISIS DE POBLACIONES;0;2;2;4;3;50Creds
25;25;IV;BASE DE DATOS AVANZADAS;0;2;2;4;3;17
26;26;IV;ANALISIS Y DISEÑOS DE ALGORITMOS;0;3;2;5;4;19
27;27;IV;SISTEMAS OPERATIVOS MODERNOS;0;2;2;4;3;50Creds
28;28;V;GESTION DE PROYECTOS TICS;0;3;2;5;4;22
29;29;V;MUESTREO;0;3;2;5;4;75Creds
30;30;V;MODELOS LINEALES;0;3;2;5;4;23
31;31;V;METODOS ESTADISTICOS AVANZADOS;0;3;2;5;4;75
32;32;V;INGENIERIA DE SOFTWARE;0;3;2;5;4;26
33;33;V;PROGRAMACION AVANZADA;0;3;2;5;4;12
34;34;VI;MUESTREO AVANZADO;0;3;2;5;4;29
35;35;VI;MODELOS LINEALES AVANZADOS;0;3;2;5;4;30
36;36;VI;INVESTIGACION OPERATIVA;0;3;2;5;4;21
37;37;VI;COMPUTACION GRAFICA;0;3;2;5;4;90
38;38;VI;ARQUITECTURA DE REDES Y PROTOCOLOS;0;3;2;5;4;27
39;39;VI;INGENIERIA WEB;0;3;2;5;4;32
40;40;VII;INVESTIGACION DE MERCADOS;0;3;2;5;4;28
41;41;VII;REGRESION AVANZADA;0;3;2;5;4;31
42;42;VII;DISEÑOS EXPERIMENTALES;0;3;2;5;4;35
43;43;VII;LABORATORIO DE DESARROLLO DE SOFTWARE;0;3;2;5;4;39
44;44;VII;ADMINISTRACION DE REDES;0;3;2;5;4;38
45;45;VII;TALLER DE PROYECTOS DE TESIS;0;3;2;5;4;120
46;46;VIII;INGENIERIA FINANCIERA;0;3;2;5;4;40
47;47;VIII;FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION PUBLICA;0;3;2;5;4;40
48;48;VIII;SERIES DE TIEMPO;0;3;2;5;4;34
49;49;VIII;DISEÑO EXPERIMENTALES AVANZADOS;0;3;2;5;4;42
50;50;VIII;SIMULACION;0;3;2;5;4;140
51;51;VIII;ESTADISTICA BAYESIANA;0;3;2;5;4;140
52;52;VIII;SISTEMAS DISTRIBUIDOS CONCURRENTES;0;3;2;5;4;44
53;53;VIII;COMPUTACION PARALELA;0;3;2;5;4;33
54;54;IX;INTELIGENCIA DE MERCADOS;0;1;2;3;2;47,46
55;55;IX;ESTADISTICA INDUSTRIAL;0;3;2;5;4;48
56;56;IX;TECNICAS ESTADISTICAS MULTIVARIADAS;0;2;2;4;3;41
57;57;IX;SEGURIDAD Y AUDITORIA INFORMATICA;0;2;2;4;3;43
58;58;IX;PROGRAMACION UBICUA Y MOVIL;0;3;2;5;4;52
59;59;IX;TECNOLOGIA E-BUSINESS - COMPUTACION EN NUBE;0;3;2;5;4;52
60;60;IX;INTELIGENCIA ARTIFICIAL;0;3;2;5;4;53
61;61;IX;TALLER DE TESIS;0;2;2;4;3;45
62;62;X;MINERIA DE DATOS;0;4;2;6;5;56
63;63;X;PRACTICAS PRE PROFESIONALES;0;0;24;24;12;204
64;EST322;X;TRABAJO DE INVESTIGACIÓN;;1;2;3;2;NINGUNO
