N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;1;1;2;3;2;NINGUNO
2;1;I;SEGURIDAD Y DEFENSA NACIONAL;0;3;0;0;3;3;NINGUNO
3;1;I;MATEMÁTICA BÁSICA;0;2;1;2;4;3;NINGUNO
4;1;I;DISEÑO DE INSTRUMENTOS PARA LA INVESTIGACIÓN;0;2;1;2;4;3;NINGUNO
5;1;I;ESTADÍSTICA COMPUTACIONAL;0;4;1;2;6;5;NINGUNO
6;1;I;TEORÍA COMPUTACIONAL;0;3;1;2;5;4;NINGUNO
7;1;I;FUNDAMENTOS DE PROGRAMACIÓN;0;3;1;2;5;4;NINGUNO
8;2;II;FÍSICA PARA INFORMÁTICA;0;2;1;2;4;3;NINGUNO
9;2;II;CALCULO DIFERENCIAL E INTEGRAL;0;3;1;2;5;4;3
10;2;II;INTRODUCCIÓN A LA INVESTIGACIÓN;0;2;1;2;4;3;NINGUNO
11;2;II;ANÁLISIS Y DISEÑO DE SISTEMAS DE INFORMACIÓN;0;2;2;4;6;4;6
12;2;II;MÉTODOS DE PROGRAMACIÓN;0;3;1;2;5;4;7
13;2;II;FUNDAMENTOS DE ESTRUCTURAS DE DATOS;0;3;1;2;5;4;20Creds
14;3;III;GEOMETRÍA VECTORIAL;0;2;1;2;4;3;35Creds
15;3;III;ECUACIONES DIFERENCIALES;0;2;1;2;4;3;9
16;3;III;CÁLCULO DE PROBABILIDADES;0;2;2;4;6;4;5
17;3;III;FUNDAMENTOS DE BASE DE DATOS;0;2;1;2;4;3;11
18;3;III;MICROINFORMÁTICA;0;2;1;2;4;3;35Creds
19;3;III;ESTRUCTURA DE DATOS AVANZADAS;0;3;1;2;5;4;13
20;3;III;INGLÉS TÉCNICO ACADÉMICO;0;1;1;2;3;2;35Creds
21;4;IV;PROGRAMACIÓN NUMÉRICA;0;2;1;2;4;3;50Creds
22;4;IV;PROYECTOS DE INVERSIÓN;0;2;1;2;4;3;50Creds
23;4;IV;MÉTODOS ESTADÍSTICOS;0;3;1;2;5;4;16
24;4;IV;ANÁLISIS DE POBLACIONES;0;2;1;2;4;3;50Creds
25;4;IV;BASE DE DATOS AVANZADAS;0;2;1;2;4;3;17
26;4;IV;ANÁLISIS Y DISEÑOS DE ALGORITMOS;0;3;1;2;5;4;19
27;4;IV;SISTEMAS OPERATIVOS MODERNOS;0;2;1;2;4;3;50Creds
28;5;V;GESTIÓN DE PROYECTOS TICS;0;3;1;2;5;4;22
29;5;V;MUESTREO;0;3;1;2;5;4;75Creds
30;5;V;MODELOS LINEALES;0;3;1;2;5;4;23
31;5;V;MÉTODOS ESTADÍSTICOS AVANZADOS;0;3;1;2;5;4;75
32;5;V;INGENIERÍA DE SOFTWARE;0;3;1;2;5;4;26
33;5;V;PROGRAMACIÓN AVANZADA;0;3;1;2;5;4;12
34;6;VI;MUESTREO AVANZADO;0;3;1;2;5;4;29
35;6;VI;MODELOS LINEALES AVANZADOS;0;3;1;2;5;4;30
36;6;VI;INVESTIGACIÓN OPERATIVA;0;3;1;2;5;4;21
37;6;VI;COMPUTACIÓN GRÁFICA;0;3;1;2;5;4;90
38;6;VI;ARQUITECTURA DE REDES Y PROTOCOLOS;0;3;1;2;5;4;27
39;6;VI;INGENIERÍA WEB;0;3;1;2;5;4;32
40;7;VII;INVESTIGACIÓN DE MERCADOS;0;3;1;2;5;4;28
41;7;VII;REGRESIÓN AVANZADA;0;3;1;2;5;4;31
42;7;VII;DISEÑOS EXPERIMENTALES;0;3;1;2;5;4;35
43;7;VII;LABORATORIO DE DESARROLLO DE SOFTWARE;0;3;1;2;5;4;39
44;7;VII;ADMINISTRACIÓN DE REDES;0;3;1;2;5;4;38
45;7;VII;TALLER DE PROYECTOS DE TESIS;0;3;1;2;5;4;120
;8;VIII;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA;0;3;1;2;5;4;40
46;8;VIII;INGENIERÍA FINANCIERA;0;3;1;2;5;4;40
47;8;VIII;SERIES DE TIEMPO;0;3;1;2;5;4;40
48;8;VIII;DISEÑOS EXPERIMENTALES AVANZADOS;0;3;1;2;5;4;34
;;VIII;ESTADÍSTICA BAYESIANA;0;3;1;2;5;4;42
49;8;VIII;SIMULACIÓN;0;3;1;2;5;4;42
50;8;VIII;SISTEMAS DISTRIBUIDOS CONCURRENTES;0;3;1;2;5;4;140
51;8;VIII;COMPUTACIÓN PARALELA;0;3;1;2;5;4;140
52;9;IX;INTELIGENCIA DE MERCADOS;0;1;1;2;3;2;44
53;9;IX;ESTADÍSTICA INDUSTRIAL;0;3;1;2;5;4;33
54;9;IX;TÉCNICAS ESTADÍSTICAS MULTIVARIADAS;0;2;1;2;4;3;47,46
55;9;IX;SEGURIDAD Y AUDITORIA INFORMÁTICA;0;2;1;2;4;3;48
;;IX;TECNOLOGÍA E-BUSINESS - COMPUTACIÓN EN NUBE;0;3;1;2;5;4;41
56;9;IX;PROGRAMACIÓN UBICUA Y MÓVIL;0;3;1;2;5;4;41
57;9;IX;INTELIGENCIA ARTIFICIAL;0;3;1;2;5;4;43
58;9;IX;TALLER DE TESIS;0;2;1;2;4;3;52
59;10;X;MINERÍA DE DATOS;0;4;1;2;6;5;52
60;10;X;PRACTICAS PRE PROFESIONALES;0;0;12;24;24;12;53
61;10;X;TRABAJO DE INVESTIGACION;0;1;1;2;3;2;45
