N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
2;2;I;GEOMETRIA DESCRIPTIVA Y DIBUJO GEOLOGICO;0;2;2;4;3;NINGUNO
3;3;I;FISICA I;0;3;2;5;4;NINGUNO
4;4;I;GEOESTADISTICA;0;2;2;4;3;NINGUNO
5;5;I;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
6;6;I;REDACCION Y COMUNICACIÓN;0;2;0;2;2;NINGUNO
7;7;I;GEOLOGIA GENERAL;0;3;2;5;4;NINGUNO
8;8;II;FISICO-QUIMICA;0;2;2;4;3;5
9;9;II;CALCULO I;0;3;2;5;4;1
10;10;II;FISICA II;0;3;2;5;4;3
11;11;II;SEGURIDAD Y SALUD EN EL TRABAJO;0;2;2;4;3;7
12;12;II;ETICA Y DEONTOLOGIA;0;3;0;3;3;NINGUNO
13;13;II;INGLES;0;3;2;5;4;NINGUNO
14;14;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
15;15;III;RESISTENCIA DE GEOMATERIALES;0;3;2;5;4;10
16;16;III;CALCULO II;0;3;2;5;4;9
17;17;III;CARTOGRAFIA GEOLOGICA I;0;2;4;6;4;2
18;18;III;GEOLOGIA AMBIENTAL;0;2;2;4;3;14
19;19;III;PALEONTOLOGIA;0;3;2;5;4;7
20;20;III;CRISTALOGRAFIA Y MINERALOGIA;0;4;2;6;5;8
21;21;IV;METEOROLOGIA E HIDROLOGIA;0;2;2;4;3;NINGUNO
22;22;IV;PETROLOGIA IGNEA;0;3;2;5;4;20
23;23;IV;SEDIMENTOLOGIA Y ESTRATIGRAFIA;0;3;2;5;4;19
24;24;IV;GEOMORFOLOGIA;0;3;2;5;4;7
25;25;IV;CARTOGRAFIA GEOLOGICA II;0;2;4;6;4;17
26;27;IV;GEOPOLITICA Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
27;68;IV;RELACIONES COMUNITARIA Y RESOLUCION DE CONFLICTOS;0;2;2;4;3;NINGUNO
28;28;V;GEOLOGIA HISTORICA Y DEL PERU;0;3;2;5;4;19
29;29;V;GEOQUIMICA;0;3;2;5;4;22
30;30;V;PETROLOGIA SEDIMENTARIA Y METAMORFICA;0;3;2;5;4;22
31;31;V;GEOFISICA;0;3;2;5;4;15
32;32;V;GEOLOGIA ESTRUCTURAL;0;3;2;5;4;25
33;33;V;METALURGIA EXTRACTIVA;0;2;2;4;3;20
34;34;V;VULCANOLOGIA;0;2;2;4;3;22
35;35;VI;GEOMECANICA DE SUELOS;0;3;2;5;4;24
36;36;VI;HIDROGEOLOGIA;0;4;2;6;5;32
37;37;VI;FOTOGEOLOGIA Y SENSORES REMOTOS;0;3;2;5;4;24
38;38;VI;TECTONICA;0;3;2;5;4;32
39;39;VI;MINERALOGIA OPTICA;0;3;2;5;4;30
40;40;VI;ANALISIS ESTRUCTURAL;0;2;2;4;3;32
41;41;VI;PROSPECCION GEOFISICA;0;2;2;4;3;31
42;42;VII;GEOMECANICA DE ROCAS;0;3;2;5;4;32
43;43;VII;EVALUACION DE IMPACTO AMBIENTAL;0;3;2;5;4;18
44;44;VII;PETROGRAFIA;0;2;2;4;4;39
45;45;VII;YACIMIENTOS MINERALES I;0;3;2;5;4;22
46;46;VII;GEOLOGIA DEL PETROLEO;0;3;2;5;4;23
47;47;VII;MICROSCOPIA DE MINERALES OPACOS;0;3;2;5;4;39
48;48;VII;PROSPECCION GEOQUIMICA;0;3;2;5;4;29
49;49;VIII;GEOTECNIA I;0;3;2;5;4;35
50;50;VIII;GEOLOGIA DE CAMPO I;0;2;6;8;5;37
51;51;VIII;GEOLOGIA DE MINAS;0;3;2;5;4;45
52;52;VIII;INVESTIGACION GEOLOGICA I;0;2;2;4;3;6
53;53;VIII;YACIMIENTOS MINERALES II;0;3;2;5;4;45
54;54;VIII;GEOESTADISTICA APLICADA;0;2;2;4;3;45
55;55;VIII;EXPLOTACION DE PETROLEO;0;2;2;4;3;46
56;56;IX;GEOTECNIA II;0;3;2;5;4;49
57;57;IX;GEOLOGIA DE CAMPO II;0;2;6;8;5;50
58;58;IX;GESTION EMPRESARIAL;0;3;2;5;4;NINGUNO
59;59;IX;METALOGENIA;0;2;2;4;3;53
60;60;IX;INVESTIGACION GEOLOGICA II;0;2;2;4;3;52
61;61;IX;ALTERACIONES HIDROTERMALES;0;2;2;4;3;51
62;26;X;MICROPALEONTOLOGIA;0;2;2;4;3;19
63;62;X;PERFORACIONES Y SONDEOS;0;2;2;4;3;51
64;63;X;RIESGOS GEOLOGICOS;0;3;2;5;4;56
65;64;X;MODELOS GEOLOGICOS UTILIZANDO ORDENADOR;0;2;4;6;4;57
66;65;X;PROYECTOS GEOLOGICOS;0;3;2;5;4;58
67;66;X;PRACTICAS PRE-PROFESIONALES;0;0;6;6;3;NINGUNO
68;67;X;EXPLOTACION DE MINAS;0;2;2;4;3;59
69;GEO219;X;TRABAJO DE INVESTIGACIÓN;;1;2;3;2;60
