N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;NINGUNO
2;1;I;GEOMETRÍA DESCRIPTIVA Y DIBUJO GEOLÓGICO;0;2;1;2;4;3;NINGUNO
3;1;I;FISICA I;0;3;1;2;5;4;NINGUNO
4;1;I;GEOESTADISTICA;0;2;1;2;4;3;NINGUNO
5;1;I;QUÍMICA GENERAL;0;3;1;2;5;4;NINGUNO
6;1;I;REDACCIÓN Y COMUNICACIÓN;0;2;0;0;2;2;NINGUNO
7;1;I;GEOLOGÍA GENERAL;0;3;1;2;5;4;NINGUNO
8;2;II;FÍSICO-QUÍMICA;0;2;1;2;4;3;NINGUNO
9;2;II;CÁLCULO I;0;3;1;2;5;4;3
10;2;II;FÍSICA II;0;3;1;2;5;4;NINGUNO
11;2;II;SEGURIDAD Y SALUD EN EL TRABAJO;0;2;1;2;4;3;6
12;2;II;ÉTICA Y DEONTOLOGÍA;0;3;0;0;3;3;7
13;2;II;INGLÉS;0;3;1;2;5;4;20Creds
14;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;35Creds
15;3;III;RESISTENCIA DE GEOMATERIALES;0;3;1;2;5;4;9
16;3;III;CÁLCULO II;0;3;1;2;5;4;5
17;3;III;CARTOGRAFÍA GEOLÓGICA I;0;2;2;4;6;4;11
18;3;III;GEOLOGÍA AMBIENTAL;0;2;1;2;4;3;35Creds
19;3;III;PALEONTOLOGÍA;0;3;1;2;5;4;13
20;3;III;CRISTALOGRAFÍA Y MINERALOGÍA;0;4;1;2;6;5;35Creds
21;4;IV;METEOROLOGÍA É HIDROLOGÍA;0;2;1;2;4;3;50Creds
22;4;IV;PETROLOGÍA IGNEA;0;3;1;2;5;4;50Creds
23;4;IV;SEDIMENTOLOGÍA Y ESTRATIGRAFÍA;0;3;1;2;5;4;16
24;4;IV;GEOMORFOLOGÍA;0;3;1;2;5;4;50Creds
25;4;IV;CARTOGRAFÍA GEOLÓGICA II;0;2;2;4;6;4;17
;;IV;RELACIONES COMUNITARIA Y RESOLUCIÓN DE CONFLICTOS;0;2;1;2;4;3;19
26;4;IV;GEOPOLÍTICA Y DEFENSA NACIONAL;0;2;1;2;4;3;19
27;5;V;GEOLOGÍA HISTÓRICA Y DEL PERÚ;0;3;1;2;5;4;50Creds
28;5;V;GEOQUÍMICA;0;3;1;2;5;4;22
29;5;V;PETROLOGÍA SEDIMENTARIA Y METAMÓRFICA;0;3;1;2;5;4;75Creds
30;5;V;GEOFÍSICA;0;3;1;2;5;4;23
31;5;V;GEOLOGÍA ESTRUCTURAL;0;3;1;2;5;4;75
;;V;METALURGIA EXTRACTIVA;0;2;1;2;4;3;26
32;5;V;VULCANOLOGÍA;0;2;1;2;4;3;26
33;6;VI;GEOMECÁNICA DE SUELOS;0;3;1;2;5;4;12
34;6;VI;HIDROGEOLOGÍA;0;4;1;2;6;5;29
35;6;VI;FOTOGEOLOGÍA Y SENSORES REMOTOS;0;3;1;2;5;4;30
36;6;VI;TECTÓNICA;0;3;1;2;5;4;21
37;6;VI;MINERALOGÍA ÓPTICA;0;3;1;2;5;4;90
;;VI;PROSPECCIÓN GEOFÍSICA;0;2;1;2;4;3;27
38;6;VI;ANÁLISIS ESTRUCTURAL;0;2;1;2;4;3;27
39;7;VII;GEOMECÁNICA DE ROCAS;0;3;1;2;5;4;32
40;7;VII;EVALUACIÓN DE IMPACTO AMBIENTAL;0;3;1;2;5;4;28
41;7;VII;PETROGRAFÍA;0;3;1;2;5;4;31
42;7;VII;YACIMIENTOS MINERALES I;0;3;1;2;5;4;35
43;7;VII;GEOLOGÍA DEL PETRÓLEO;0;3;1;2;5;4;39
;;VII;PROSPECCIÓN GEOQUÍMICA;0;3;1;2;5;4;38
44;7;VII;MICROSCOPÍA DE MINERALES OPACOS;0;3;1;2;5;4;38
45;8;VIII;GEOTECNIA I;0;3;1;2;5;4;120
;8;VIII;GEOLOGÍA DE CAMPO I;0;2;3;6;8;5;40
46;8;VIII;GEOLOGÍA DE MINAS;0;3;1;2;5;4;40
47;8;VIII;INVESTIGACIÓN GEOLÓGICA I;0;2;1;2;4;3;40
48;8;VIII;YACIMIENTOS MINERALES II;0;3;1;2;5;4;34
;;VIII;EXPLOTACIÓN DE PETRÓLEO;0;2;1;2;4;3;42
;8;VIII;GEOESTADÍSTICA APLICADA;0;2;1;2;4;3;42
49;9;IX;GEOTECNIA II;0;3;1;2;5;4;42
50;9;IX;GEOLOGÍA DE CAMPO II;0;2;3;6;8;5;140
51;9;IX;GESTIÓN EMPRESARIAL;0;3;1;2;5;4;140
52;9;IX;METALOGENIA;0;2;1;2;4;3;44
53;9;IX;INVESTIGACIÓN GEOLÓGICA II;0;2;1;2;4;3;33
54;9;IX;ALTERACIONES HIDROTERMALES;0;2;1;2;4;3;47,46
55;10;X;PERFORACIONES Y SONDEOS;0;2;1;2;4;3;48
;10;X;RIESGOS GEOLÓGICOS;0;3;1;2;5;4;41
56;10;X;MODELOS GEOLÓGICOS UTILIZANDO ORDENADOR;0;2;2;4;6;4;41
57;10;X;PROYECTOS GEOLÓGICOS;0;3;1;2;5;4;43
58;10;X;PRÁCTICAS PRE-PROFESIONALES;0;0;3;6;6;3;52
;10;X;MICROPALEONTOLOGÍA;0;2;1;2;4;3;52
59;10;X;EXPLOTACIÓN DE MINAS;0;2;1;2;4;3;52
;;X;TRABAJO DE INVESTIGACIÓN;;1;1;2;3;2;
