N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;FISICA I;0;3;1;2;5;4;NINGUNO
2;2;I;ANALISIS MATEMATICO I;0;3;1;2;5;4;NINGUNO
3;3;I;MATEMATICA BASICA;0;3;1;2;5;4;NINGUNO
4;4;I;DEONTOLOGIA DE LA INGENIERIA;0;2;0;0;2;2;NINGUNO
5;5;I;CIENCIA DE LOS MATERIALES;0;3;1;2;5;4;NINGUNO
6;6;I;DIBUJO ELECTROMECANICO;0;2;1;2;4;3;NINGUNO
7;7;I;REDACCION CIENTIFICA;0;2;1;2;4;3;NINGUNO
8;8;II;FISICA II;0;3;1;2;5;4;1
9;9;II;ANALISIS MATEMATICO II;0;3;1;2;5;4;2
10;10;II;GEOMETRIA DESCRIPTIVA;0;2;1;2;4;3;3
11;11;II;ESTADISTICA PROBABILIDADES;0;3;1;2;5;4;NINGUNO
12;12;II;TECNOLOGIA Y MEDIO AMBIENTE;0;2;0;0;2;2;4
13;13;II;ESTATICA;0;3;1;2;5;4;NINGUNO
14;14;II;MATERIALES Y PROCESOS DE FABRICACION;0;2;1;2;4;3;5
15;15;III;FISICA III;0;3;1;2;5;4;8
16;16;III;ANALISIS MATEMATICO III;0;3;1;2;5;4;9
17;17;III;PROGRAMACION I;0;3;1;2;5;4;11
18;18;III;INGENIERIA ECONOMICA;0;2;1;2;4;3;NINGUNO
19;19;III;DINAMICA;0;3;1;2;5;4;14
20;20;III;TERMODINAMICA I;0;3;1;2;5;4;NINGUNO
21;21;III;INGLES TECNICO I;0;0;1;2;2;1;NINGUNO
22;22;IV;ECUACIONES DIFERENCIALES;0;2;1;2;4;3;16
23;23;IV;RESISTENCIA DE MATERIALES;0;3;1;2;5;4;13
24;24;IV;MAQUINAS HERRAMIENTAS;0;3;1;2;5;4;NINGUNO
25;25;IV;MECANICA DE FLUIDOS;0;3;1;2;5;4;19
26;26;IV;TERMODINAMICA II;0;3;1;2;5;4;20
27;27;IV;ANALISIS DE CIRCUITOS ELECTRICOS I;0;3;1;2;5;4;NINGUNO
28;28;IV;INGLES TECNICO II;0;0;1;2;2;1;21
29;29;V;COSTOS Y PRESUPUESTOS;0;2;1;2;4;3;NINGUNO
30;31;V;METODOS NUMERICOS;0;3;1;2;5;4;22
31;32;V;DINAMICA DE GASES;0;3;1;2;5;4;24
32;33;V;DISEÑO DE ELEMENTOS DE MAQUINAS I;0;3;1;2;5;4;23
33;34;V;ANALISIS DE CIRCUITOS ELECTRICOS II;0;3;1;2;5;4;27
34;35;V;DISEÑO MECANICO Y ELECTRICO;0;2;1;2;4;3;NINGUNO
35;36;V;LABORATORIO DE CIRCUITOS ELECTRICOS I;0;0;1;2;2;1;NINGUNO
36;37;V;LABORATORIO DE INGENIERIA MECANICA I;0;0;1;2;2;1;24
37;38;VI;DISPOSITIVOS ELECTRONICOS Y DIGITALES;0;2;1;2;4;3;NINGUNO
38;39;VI;TRANSFERENCIA DE CALOR;0;3;1;2;5;4;NINGUNO
39;40;VI;DISEÑO DE ELEMENTOS DE MAQUINAS II;0;3;1;2;5;4;33
