N;CODIGO;CICLO;CURSO;ESP;HT;S;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA;51;3;34;2;5;4;NINGUNO
2;2;I;QUIMICA DE LOS MINERALES Y METALES;68;4;34;2;6;5;NINGUNO
3;3;I;INTRODUCCION A LA INGENIERIA METALURGICA Y SU REALIDAD NACIONAL;85;5;0;0;5;5;NINGUNO
4;4;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;51;3;34;2;5;4;NINGUNO
5;5;I;DIBUJO DE INGENIERIA CAD;17;1;68;4;5;3;NINGUNO
6;6;I;GEOLOGIA Y MINERALOGIA GENERAL;34;2;34;2;4;3;NINGUNO
7;7;II;CALCULO I;51;3;34;2;5;4;1
8;8;II;FISICA I;51;3;34;2;5;4;NINGUNO
9;9;II;PROBABILIDADES Y ESTADISTICA;51;3;34;2;5;4;NINGUNO
10;10;II;DESARROLLO DE CAPACIDADES Y EMPRENDIMIENTO PERSONAL;51;3;34;2;5;4;NINGUNO
11;11;II;ORGANOMETALURGIA;34;2;68;4;6;4;2
12;12;II;MINERIA GENERAL;34;2;34;2;4;3;6
13;13;III;CALCULO II;51;3;34;2;5;4;7
14;14;III;FISICA II;51;3;34;2;5;4;8
15;15;III;FISICOQUIMICA DE PROCESOS METALURGICOS;51;3;34;2;5;4;2
16;16;III;ANALISIS DE MINERALES Y METALES I;34;2;68;4;6;4;11
17;17;III;DESARROLLO PERSONAL;51;3;34;2;5;4;NINGUNO
18;18;III;ELECTROMECANICA METALURGICA;34;2;34;2;4;3;NINGUNO
19;19;IV;CALCULO III;51;3;34;2;5;4;13
20;20;IV;ANALISIS DE MINERALES Y METALES II;34;2;68;4;6;4;16
21;21;IV;TERMODINAMICA Y CINETICA METALURGICA;51;3;34;2;5;4;15
22;22;IV;METALURGIA FISICA;51;3;34;2;5;4;NINGUNO
23;23;IV;MEDIO AMBIENTE EN PROCESOS METALURGICOS;51;3;34;2;5;4;NINGUNO
24;24;IV;SEGURIDAD INDUSTRIAL MINERO-METALURGICO;34;2;34;2;4;3;NINGUNO
25;25;V;TRANSFERENCIA DE MASA Y CALOR;68;4;34;2;6;5;21
26;26;V;METALURGIA MECANICA;51;3;34;2;5;4;22
27;27;V;ANALISIS METALURGICO INSTRUMENTAL;51;3;34;2;5;4;20
28;28;V;SOLIDIFICACION DE METALES Y ALEACIONES;51;3;34;2;5;4;22
29;29;V;GESTION AMBIENTAL Y DESARROLLO SOSTENIBLE;51;3;34;2;5;4;23
30;30;V;MECANICA DE FLUIDOS;34;2;34;2;4;3;NINGUNO
31;31;V;TOPOGRAFIA;34;2;34;2;4;3;NINGUNO
32;32;VI;MINERALURGIA;51;3;34;2;5;4;12
33;33;VI;HIDROMETALURGIA;51;3;34;2;5;4;NINGUNO
34;34;VI;TECNOLOGIA Y METALURGIA DE LA SOLDADURA;34;2;68;4;6;4;28
35;35;VI;METALURGIA DEL ORO Y PLATA I;51;3;34;2;5;4;NINGUNO
36;36;VI;INGLES TECNICO METALURGICO;51;3;34;2;5;4;NINGUNO
37;37;VI;INGENIERIA Y CIENCIA DE LOS MATERIALES;34;2;34;2;4;3;NINGUNO
38;38;VI;MATERIALES COMPUESTOS;34;2;34;2;4;3;NINGUNO
39;39;VII;CONCENTRACION DE MINERALES I;51;3;34;2;5;4;32
40;40;VII;ELECTROMETALURGIA;34;2;68;4;6;4;33
41;41;VII;METALURGIA DEL ORO Y PLATA II;51;3;34;2;5;4;NINGUNO
42;42;VII;CONFORMADO DE METALES POR DEFORMACION PLASTICA;51;3;34;2;5;4;26
43;43;VII;INSPECCION Y EVALUACION EN SOLDADURA;51;3;34;2;5;4;34
44;44;VII;VALORACION Y COMERCIALIZACION DE PRODUCTOS MINEROS METALURGICOS;34;2;34;2;4;3;NINGUNO
45;45;VII;ENSAYOS NO DESTRUCTIVOS;34;2;34;2;4;3;NINGUNO
46;46;VIII;CONCENTRACION DE MINERALES II;51;3;34;2;5;4;39
47;47;VIII;PIROMETALURGIA;51;3;34;2;5;4;NINGUNO
48;48;VIII;REFINACION DEL ORO Y PLATA;51;3;34;2;5;4;41
49;49;VIII;CORROSION Y RECUBRIMIENTOS ELECTROLITICOS;34;2;68;4;6;4;40
50;50;VIII;FUNDICION Y MOLDEO;51;3;34;2;5;4;NINGUNO
51;51;VIII;CERAMICA Y REFRACTARIOS;34;2;34;2;4;3;NINGUNO
52;52;VIII;METALURGIA DE LOS NO METALICOS;34;2;34;2;4;3;NINGUNO
53;53;IX;OPERACIONES Y PROCESOS AUXILIARES EN PLANTAS CONCENTRADORAS;34;2;34;2;4;3;46
54;54;IX;METODOLOGIA DE INVESTIGACION;34;2;34;2;4;3;NINGUNO
55;55;IX;PROCESOS DE REDUCCION Y ACERIA;51;3;34;2;5;4;50
56;56;IX;MODELAMIENTO Y SIMULACION DE PROCESOS METALURGICOS;34;2;34;2;4;3;9
57;57;IX;DISEÑO Y CONSTRUCCION DE EQUIPO Y MAQUINARIA METALURGICA;51;3;34;2;5;4;34
58;58;IX;GESTION EMPRESARIAL DE LA PRODUCCION METALURGICA;34;2;34;2;4;3;NINGUNO
59;59;IX;LIDERAZGO Y FORMACION PROFESIONAL;34;2;34;2;4;3;NINGUNO
60;60;X;TRATAMIENTOS TERMICOS;34;2;34;2;4;3;55
61;61;X;MECANIZACION DE METALES;51;3;34;2;5;4;55
62;62;X;PROYECTOS DE INGENIERIA METALURGICA;34;2;34;2;4;3;54
63;63;X;JOYERIA;34;2;68;4;6;4;48
64;64;X;DISEÑOS EXPERIMENTALES;17;1;68;4;5;3;56
65;65;X;PRACTICAS PRE PROFESIONALES;17;1;34;2;3;2;186
66;66;X;GEOMETALURGIA;17;1;34;2;3;2;NINGUNO
67;67;X;MICROSCOPIA DE MINERALES;17;1;34;2;3;2;NINGUNO
68;MET219;X;TRABAJO DE INVESTIGACIÓN;17;1;34;2;3;2;54
