N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
2;2;I;QUIMICA GENERAL I;0;3;2;5;4;NINGUNO
3;3;I;QUIMICA ORGANICA I;0;3;2;5;4;NINGUNO
4;4;I;INTRODUCCION A LA INGENIERIA QUIMICA;0;2;2;4;3;NINGUNO
5;5;I;TECNOLOGIA DE INFORMACION Y COMUNICACION;0;1;2;3;2;NINGUNO
6;6;I;DESARROLLO DE CAPACIDADES Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
7;7;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;1;2;3;2;NINGUNO
8;8;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;1
9;9;II;FÍSICA I;0;3;2;5;4;NINGUNO
10;10;II;QUÍMICA GENERAL II;0;3;2;5;4;2
11;11;II;QUÍMICA ORGÁNICA II;0;3;2;5;4;3
12;12;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;2;4;3;4
13;13;II;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;2;0;2;2;7
14;14;II;INGLÉS;0;2;2;4;3;NINGUNO
15;15;III;FISICA II;0;3;2;5;4;9
16;16;III;CALCULO INTEGRAL;0;3;2;5;4;8
17;17;III;QUIMICA INORGANICA;0;4;2;6;5;10
18;18;III;BIOQUIMICA APLICADA;0;3;2;5;4;11
19;19;III;GRAFICA PARA INGENIERIA;0;2;2;4;3;4
20;20;III;CONTAMINACION AMBIENTAL;0;2;2;4;3;12
21;21;IV;MATERIALES DE INGENIERIA QUIMICA;0;2;2;4;3;50Creds
22;22;IV;QUIMICA ANALITICA;0;4;2;6;5;17
23;23;IV;ECUACIONES DIFERENCIALES APLICADAS;0;3;2;5;4;16
24;24;IV;FISICOQUIMICA I;0;3;2;5;4;16
25;25;IV;ESTADISTICA GENERAL;0;2;2;4;3;50Creds
26;26;IV;MINERALOGIA;0;2;2;4;3;17
27;27;IV;GESTION AMBIENTAL;0;2;2;4;3;20
28;28;V;ANÁLISIS QUÍMICO INSTRUMENTAL;0;2;4;6;4;22
29;29;V;BALANCE DE MATERIA Y ENERGIA;0;3;2;5;4;21
30;30;V;FISICOQUIMICA II;0;3;2;5;4;24
31;31;V;FENOMENOS DE TRANSPORTE;0;4;2;6;5;23
32;32;V;MATEMÁTICAS APLICADAS EN INGENIERÍA QUÍMICA;0;4;0;4;4;23
33;33;V;TECNOLOGÍA DE PRODUCTOS NATURALES;0;2;2;4;3;60Creds
34;34;V;GENERACIÓN DE MODELOS DE NEGOCIOS;0;2;2;4;3;60Creds
35;40;VI;MECANICA DE FLUIDOS;0;3;2;5;4;30
36;41;VI;TERMODINÁMICA PARA INGENIERÍA QUÍMICA;0;4;2;6;5;31
37;42;VI;OPERACIONES EN INGENIERÍA QUÍMICA;0;3;2;5;4;29
38;43;VI;TRATAMIENTO DE AGUAS;0;3;2;5;4;28
39;44;VI;INFORMATICA PARA INGENIERÍA QUÍMICA;0;3;2;5;4;32
40;45;VI;ANALISIS QUÍMICO DE MINERALES;0;2;2;4;3;90
41;46;VI;BROMATOLOGIA;0;2;2;4;3;90
42;47;VII;TRANSFERENCIA DE CALOR;0;3;2;5;4;41
43;48;VII;CINETICA QUIMICA Y CATALISIS;0;3;2;5;4;42
44;49;VII;TRANSFERENCIA DE MASA I;0;3;2;5;4;40
45;50;VII;TECNOLOGIA DEL CEMENTO;0;1;2;3;2;42
46;51;VII;TECNOLOGIA DEL CUERO;0;1;2;3;2;42
47;52;VII;ELECTROQUIMICA Y CORROSION;0;2;2;4;3;120
48;53;VII;INDUSTRIA TEXTIL;0;2;2;4;3;120
49;54;VII;GESTION DE EFLUENTES URBANAS E INDUSTRIALES;0;3;2;5;4;43
51;56;VII;SEGURIDAD E HIGIENE INDUSTRIAL;2;3;2;5;4;120
52;57;VIII;DISEÑO DE REACTORES QUIMICOS;0;3;2;5;4;48
53;58;VIII;TRANSFERENCIA DE MASA II;0;3;2;5;4;49
54;59;VIII;INGENIERIA DEL GAS NATURAL;0;2;2;4;3;150
55;60;VIII;DISEÑOS EXPERIMENTALES;0;2;2;4;3;44
56;61;VIII;TECNOLOGIA DE ALIMENTOS;0;2;2;4;3;47
57;62;VIII;PLANEAMIENTO Y CONTROL DE LA PRODUCCION;0;2;2;4;3;150
58;63;VIII;INSTRUMENTACION Y CONTROL DE PROCESOS;0;2;2;4;3;150
59;64;VIII;SISTEMA DE GESTION DE RESIDUOS SOLIDOS;1;3;2;5;4;43
60;65;VIII;SALUD OCUPACIONAL;2;3;2;5;4;56
61;66;IX;MAQUINARIA INDUSTRIAL Y SELECCION DE EQUIPOS;0;3;2;5;4;47
62;67;IX;TESIS I;0;2;2;4;3;60
63;68;IX;OPERACIONES Y PROCESOS QUIMICO-METALURGICOS;0;3;2;5;4;180
64;69;IX;ECONOMIA DE LOS PROCESOS QUIMICOS;0;2;2;4;3;NINGUNO
65;70;IX;SIMULACION DE PROCESOS QUIMIICOS;0;2;2;4;3;180
66;71;IX;INGENIERIA DE ALIMENTOS;0;2;2;4;3;61
67;72;IX;SISTEMAS INTEGRADOS DE GESTION;0;2;2;4;3;180
68;73;IX;GESTION DE LA CALIDAD DEL AIRE;1;3;2;5;4;64
69;74;IX;ANALISIS Y EVALUACION DE RIESGOS;2;3;2;5;4;65
70;75;X;DISEÑO DE PLANTAS INDUSTRIALES;0;3;2;5;4;66
71;76;X;FORMULACION DE PROYECTOS INDUSTRIALES Y AMBIENTALES;0;3;2;5;4;69
72;77;X;CONTROL AUTOMATICO DE PROCESOS;0;2;2;4;3;180
73;78;X;TESIS II;0;2;2;4;3;67
74;79;X;PRACTICAS PRE PROFESIONALES;0;0;4;4;2;180
75;80;X;BIOPROCESOS;0;2;2;4;3;180
76;81;X;OPERACIONES MULTICOMPONENTES;0;2;2;4;3;57
77;82;X;EVALUACION DE IMPACTO AMBIENTAL;1;3;2;5;4;73
78;83;X;SISTEMAS DE GESTION EN SEGURIDAD;2;3;2;5;4;74
79;"QUI-
334";X;TRABAJO DE INVESTIGACIÓN;;2;2;4;3;NINGUNO
