N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;NINGUNO
2;1;I;QUÍMICA GENERAL I;0;3;1;2;5;4;NINGUNO
3;1;I;QUÍMICA ORGÁNICA I;0;3;1;2;5;4;NINGUNO
4;1;I;INTRODUCCIÓN A LA INGENIERÍA QUÍMICA;0;2;1;2;4;3;NINGUNO
5;1;I;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN;0;1;1;2;3;2;NINGUNO
6;1;I;DESARROLLO DE CAPACIDADES Y EMPRENDIMIENTO;0;2;1;2;4;3;NINGUNO
7;1;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;1;1;2;3;2;NINGUNO
8;2;II;CÁLCULO DIFERENCIAL;0;3;1;2;5;4;1
9;2;II;FÍSICA I;0;3;1;2;5;4;2
10;2;II;QUÍMICA GENERAL II;0;3;1;2;5;4;3
11;2;II;QUÍMICA ORGÁNICA II;0;3;1;2;5;4;NINGUNO
12;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;4
13;2;II;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;2;0;0;2;2;NINGUNO
14;2;II;INGLES;0;2;1;2;4;3;5
15;3;III;FÍSICA II;0;3;1;2;5;4;8
16;3;III;CALCULO INTEGRAL;0;3;1;2;5;4;9
17;3;III;QUÍMICA INORGÁNICA;0;4;1;2;6;5;11
18;3;III;BIOQUÍMICA APLICADA;0;3;1;2;5;4;NINGUNO
19;3;III;GRAFICA PARA INGENIERÍA;0;2;1;2;4;3;14
20;3;III;CONTAMINACIÓN AMBIENTAL;0;2;1;2;4;3;NINGUNO
21;4;IV;MATERIALES DE INGENIERÍA QUÍMICA;0;2;1;2;4;3;NINGUNO
22;4;IV;QUÍMICA ANALÍTICA;0;4;1;2;6;5;16
23;4;IV;ECUACIONES DIFERENCIALES APLICADAS;0;3;1;2;5;4;13
24;4;IV;FISICOQUÍMICA I;0;3;1;2;5;4;NINGUNO
25;4;IV;ESTADÍSTICA GENERAL;0;2;1;2;4;3;19
26;4;IV;MINERALOGIA;0;2;1;2;4;3;20
27;4;IV;GESTIÓN AMBIENTAL;0;2;1;2;4;3;NINGUNO
28;5;V;ANÁLISIS QUÍMICO INSTRUMENTAL;0;2;2;4;6;4;21
29;5;V;BALANCE DE MATERIA Y ENERGÍA;0;3;1;2;5;4;NINGUNO
30;5;V;FISICOQUÍMICA II;0;3;1;2;5;4;22
31;5;V;FENÓMENOS DE TRANSPORTE;0;4;1;2;6;5;24
32;5;V;MATEMÁTICAS APLICADAS EN INGENIERÍA QUÍMICA;0;4;0;0;4;4;23
33;5;V;TECNOLOGÍA DE PRODUCTOS NATURALES;0;2;1;2;4;3;27
34;5;V;GENERACIÓN DE MODELOS DE NEGOCIOS;0;2;1;2;4;3;NINGUNO
35;6;VI;MECÁNICA DE FLUIDOS;0;3;1;2;5;4;NINGUNO
36;6;VI;TERMODINÁMICA PARA INGENIERÍA QUÍMICA;0;4;1;2;6;5;24
37;6;VI;OPERACIONES EN INGENIERÍA QUÍMICA;0;3;1;2;5;4;NINGUNO
38;6;VI;TRATAMIENTO DE AGUAS;0;3;1;2;5;4;NINGUNO
39;6;VI;INFORMÁTICA PARA INGENIERÍA QUÍMICA;0;3;1;2;5;4;33
40;6;VI;ANÁLISIS QUÍMICO DE MINERALES;0;2;1;2;4;3;34
41;6;VI;BROMATOLOGIA;0;2;1;2;4;3;35
42;7;VII;TRANSFERENCIA DE CALOR;0;3;1;2;5;4;36
43;7;VII;CINÉTICA QUÍMICA Y CATÁLISIS;0;3;1;2;5;4;NINGUNO
44;7;VII;TRANSFERENCIA DE MASA I;0;3;1;2;5;4;39
45;7;VII;TECNOLOGÍA DEL CEMENTO;0;1;1;2;3;2;NINGUNO
46;7;VII;TECNOLOGÍA DEL CUERO;0;1;1;2;3;2;41
47;7;VII;ELECTROQUÍMICA Y CORROSIÓN;0;2;1;2;4;3;42
48;7;VII;INDUSTRIA TEXTIL;0;2;1;2;4;3;NINGUNO
49;7;VII;GESTIÓN DE EFLUENTES URBANAS E INDUSTRIALES;0;3;1;2;5;4;NINGUNO
50;7;VII;SEGURIDAD E HIGIENE INDUSTRIAL;0;3;1;2;5;4;37
51;8;VIII;DISEÑO DE REACTORES QUÍMICOS;0;3;1;2;5;4;NINGUNO
52;8;VIII;TRANSFERENCIA DE MASA II;0;3;1;2;5;4;NINGUNO
53;8;VIII;INGENIERÍA DEL GAS NATURAL;0;2;1;2;4;3;45
54;8;VIII;DISEÑOS EXPERIMENTALES;0;2;1;2;4;3;46
55;8;VIII;TECNOLOGÍA DE ALIMENTOS;0;2;1;2;4;3;47
56;8;VIII;PLANEAMIENTO Y CONTROL DE LA PRODUCCIÓN;0;2;1;2;4;3;48
57;8;VIII;INSTRUMENTACIÓN Y CONTROL DE PROCESOS;0;2;1;2;4;3;49
58;8;VIII;SISTEMA DE GESTIÓN DE RESIDUOS SÓLIDOS;0;3;1;2;5;4;50
59;8;VIII;SALUD OCUPACIONAL;0;3;1;2;5;4;51
60;9;IX;MAQUINARIA INDUSTRIAL Y SELECCIÓN DE EQUIPOS;0;3;1;2;5;4;52
61;9;IX;TESIS I;0;2;1;2;4;3;54
62;9;IX;OPERACIONES Y PROCESOS QUÍMICO-METALÚRGICOS;0;3;1;2;5;4;NINGUNO
63;9;IX;ECONOMÍA DE LOS PROCESOS QUÍMICOS;0;2;1;2;4;3;NINGUNO
64;9;IX;SIMULACIÓN DE PROCESOS QUÍMICOS;0;2;1;2;4;3;NINGUNO
65;9;IX;INGENIERÍA DE ALIMENTOS;0;2;1;2;4;3;56
66;9;IX;SISTEMAS INTEGRADOS DE GESTIÓN;0;2;1;2;4;3;55
67;9;IX;GESTIÓN DE LA CALIDAD DEL AIRE;0;3;1;2;5;4;NINGUNO
68;9;IX;ANÁLISIS Y EVALUACIÓN DE RIESGOS;0;3;1;2;5;4;NINGUNO
69;10;X;DISEÑO DE PLANTAS INDUSTRIALES;0;3;1;2;5;4;7
70;10;X;FORMULACIÓN DE PROYECTOS INDUSTRIALES Y AMBIENTALES;0;3;1;2;5;4;62
71;10;X;CONTROL AUTOMÁTICO DE PROCESOS;0;2;1;2;4;3;NINGUNO
72;10;X;TRABAJO DE INVESTIGACIÓN;0;2;1;2;4;3;NINGUNO
73;10;X;PRÁCTICAS PRE PROFESIONALES;0;0;2;4;4;2;NINGUNO
74;10;X;BIOPROCESOS;0;2;1;2;4;3;66
75;10;X;OPERACIONES MULTICOMPONENTES;0;2;1;2;4;3;67
76;10;X;EVALUACIÓN DE IMPACTO AMBIENTAL;0;3;1;2;5;4;NINGUNO
77;10;X;SISTEMAS DE GESTIÓN EN SEGURIDAD;0;3;1;2;5;4;69
