N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;INTRODUCCION A LA INGENIERIA;0;2;2;4;3;NINGUNO
2;2;I;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
3;3;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;1;4;5;3;NINGUNO
4;4;I;FISICA I;0;3;2;5;4;NINGUNO
5;5;I;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
6;6;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
7;7;I;TALLER DE ESTRATEGIAS COGNITIVAS;0;1;4;5;3;NINGUNO
8;8;II;TOPOGRAFIA I;0;3;4;7;5;1
9;9;II;GEOMETRIA DESCRIPTIVA;0;2;2;4;3;NINGUNO
10;10;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
11;11;II;FISICA II;0;3;2;5;4;4
12;12;II;INGENIERIA GRAFICA;0;2;2;4;3;NINGUNO
13;13;II;CALCULO DIFERENCIAL;0;3;2;5;4;6
14;14;II;INFORMATICA PARA INGENIEROS;0;2;2;4;3;NINGUNO
15;15;III;TOPOGRAFIA II;0;3;4;7;5;8
16;16;III;ASTRONOMIA DE POSICION;0;2;2;4;3;9
17;17;III;GEOLOGIA Y GEOMORFOLOGIA;0;2;2;4;3;10
18;18;III;TECNOLOGIA DE MATERIALES;0;2;2;4;3;11
19;19;III;ACTIVIDADES INTEGRADORAS;0;1;2;3;2;NINGUNO
20;20;III;CALCULO INTEGRAL;0;3;2;5;4;13
21;21;III;INGLES TECNICO;0;2;2;4;3;NINGUNO
22;22;IV;TOPOGRAFIA DE VIAS;0;2;4;6;4;15
23;23;IV;GEODESIA;0;2;4;6;4;16
24;24;IV;GEOTECNIA I;0;3;2;5;4;17
25;25;IV;TECNOLOGIA DEL CONCRETO;0;3;2;5;4;18
26;26;IV;METODOS NUMERICOS;0;3;2;5;4;20
27;27;IV;HIDROLOGIA;0;2;2;4;3;NINGUNO
28;28;V;HIDROGRAFIA;0;2;4;6;4;22
29;29;V;CARTOGRAFIA I;0;3;2;5;4;23
30;30;V;GEOTECNIA II;0;3;2;5;4;24
31;31;V;CONSTRUCCIONES;0;3;2;5;4;25
32;32;V;HIDRAULICA I;0;2;2;4;3;27
33;33;V;ESTUDIO Y EVALUACION DEL EMPACTO AMBIENTAL;0;2;2;4;3;NINGUNO
34;34;VI;TOPOGRAFIA DE YACIMIENTOS MINEROS;0;2;4;6;4;28
35;35;VI;CARTOGRAFIA II;0;2;2;4;3;29
36;36;VI;INGENIERIA DE TRANSPORTE;0;3;2;5;4;30
37;37;VI;COSTOS Y PRESUPUESTOS;0;2;2;4;3;31
38;38;VI;FOTOGRAMETRIA Y FOTOINTERPRETACION;0;2;2;4;3;NINGUNO
