N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;INTRODUCCION A LA INGENIERIA;0;2;1;2;4;3;NINGUNO
2;1;I;DESARROLLO PERSONAL;0;2;1;2;4;3;NINGUNO
3;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;1;2;4;5;3;NINGUNO
4;1;I;FISICA I;0;3;1;2;5;4;NINGUNO
5;1;I;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;NINGUNO
6;1;I;MATEMATICA BASICA;0;3;1;2;5;4;NINGUNO
7;1;I;TALLER DE ESTRATEGIAS COGNITIVAS;0;1;2;4;5;3;NINGUNO
8;2;II;TOPOGRAFIA I;0;3;2;4;7;5;1
9;2;II;INGENIERIA GRAFICA;0;2;1;2;4;3;2
10;2;II;GEOMETRIA DESCRIPTIVA;0;2;1;2;4;3;3
11;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;NINGUNO
12;2;II;FISICA II;0;3;1;2;5;4;4
13;2;II;CALCULO DIFERENCIAL;0;3;1;2;5;4;NINGUNO
14;2;II;INFORMATICA PARA INGENIEROS;0;2;1;2;4;3;5
15;3;III;TOPOGRAFIA II;0;3;2;4;7;5;8
16;3;III;ASTRONOMIA DE POSICION;0;2;1;2;4;3;9
17;3;III;GEOLOGIA Y GEOMORFOLOGIA;0;2;1;2;4;3;11
18;3;III;CALCULO INTEGRAL;0;3;1;2;5;4;NINGUNO
19;3;III;TECNOLOGIA DE MATERIALES;0;2;1;2;4;3;14
20;3;III;INGLES TECNICO;0;2;1;2;4;3;NINGUNO
21;3;III;ACTIVIDADES INTEGRADORAS;0;1;1;2;3;2;NINGUNO
22;4;IV;TOPOGRAFIA DE VIAS;0;2;2;4;6;4;16
23;4;IV;GEODESIA;0;2;2;4;6;4;13
24;4;IV;GEOTECNIA I;0;3;1;2;5;4;NINGUNO
25;4;IV;TECNOLOGIA DEL CONCRETO;0;3;1;2;5;4;19
26;4;IV;METODOS NUMÉRICOS;0;3;1;2;5;4;20
27;4;IV;HIDROLOGIA;0;2;1;2;4;3;NINGUNO
28;5;V;HIDROGRAFIA;0;2;2;4;6;4;21
29;5;V;CARTOGRAFIA I;0;3;1;2;5;4;NINGUNO
30;5;V;GEOTECNIA II;0;3;1;2;5;4;22
31;5;V;CONSTRUCCIONES;0;3;1;2;5;4;24
32;5;V;HIDRAULICA I;0;2;1;2;4;3;23
33;5;V;ESTUDIO Y EVALUACIÓN DEL IMPACTO AMBIENTAL;0;2;1;2;4;3;27
34;6;VI;TOPOGRAFIA DE YACIMIENTOS MINEROS;0;2;2;4;6;4;NINGUNO
35;6;VI;CARTOGRAFIA II;0;2;1;2;4;3;NINGUNO
36;6;VI;INGENIERIA DE TRANSPORTE;0;3;1;2;5;4;24
37;6;VI;COSTOS Y PRESUPUESTOS;0;2;1;2;4;3;NINGUNO
38;6;VI;FOTOGRAMETRIA Y FOTOINTERPRETACION;0;2;1;2;4;3;NINGUNO
39;6;VI;HIDRAULICA II;0;2;1;2;4;3;33
40;6;VI;SANEAMIENTO AMBIENTAL;0;2;1;2;4;3;34
41;7;VII;TOPOGRAFIA DE OBRAS;0;2;2;4;6;4;35
42;7;VII;SISTEMAS DE INFORMACION GEOGRAFICA I;0;2;1;2;4;3;36
43;7;VII;INGENIERIA DE TRANSITO I;0;3;1;2;5;4;NINGUNO
44;7;VII;TOPOGRAFIA Y ABASTECIMIENTO DE AGUA - ALCANTARILLADO;0;2;2;4;6;4;39
45;7;VII;TELEDETECCION I;0;2;1;2;4;3;NINGUNO
46;7;VII;ESTADISTICA GENERAL;0;3;1;2;5;4;41
47;8;VIII;INGENIERIA DE CATASTRO I;0;2;2;4;6;4;42
48;8;VIII;SISTEMA DE INFORMACION GEOGRAFICA II;0;2;1;2;4;3;NINGUNO
49;8;VIII;INGENIERIA DE TRANSITO II;0;2;1;2;4;3;NINGUNO
50;8;VIII;INGENIERIA DE DRENAJE;0;2;1;2;4;3;37
51;8;VIII;AGRIMENSURA LEGAL;0;2;1;2;4;3;NINGUNO
52;8;VIII;METODOS ESTADISTICOS;0;2;1;2;4;3;NINGUNO
;8;VIII;COSTOS Y TIEMPOS DE MAQUINARIAS EN OBRAS;0;2;1;2;4;3;45
53;8;VIII;GEODESIA APLICADA;0;2;1;2;4;3;45
54;9;IX;INGENIERIA DE CATASTRO II;0;2;1;2;4;3;46
55;9;IX;ORDENACION TERRITORIAL;0;2;1;2;4;3;47
56;9;IX;DISEÑO GEOMETRICO;0;1;2;4;5;3;48
