N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;BIOLOGÍA CELULAR Y MOLECULAR;00;3.0;2.0;5.0;4.0;NINGUNO
2;002;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
3;003;I;ANTROPOLOGÍA CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
4;004;I;QUÍMICA ORGÁNICA;00;3.0;2.0;5.0;4.0;NINGUNO
5;005;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;00;3.0;2.0;5.0;4.0;NINGUNO
6;006;I;NUTRICIÓN BÁSICA;00;2.0;2.0;4.0;3.0;NINGUNO
7;008;II;BIOSEGURIDAD Y PROCEDIMIENTOS MEDICOS BASICOS;00;2.0;2.0;4.0;3.0;NINGUNO
8;009;II;DESARROLLO PERSONAL;00;1.0;2.0;3.0;2.0;NINGUNO
9;010;II;BIOQUIMICA;00;5.0;4.0;9.0;7.0;004
10;011;II;BIOFISICA;00;2.0;2.0;4.0;3.0;NINGUNO
11;012;II;EMBRIOLOGIA Y GENETICA;00;3.0;2.0;5.0;4.0;001
12;013;II;ANATOMIA I;00;3.0;4.0;7.0;5.0;001
13;014;III;ANATOMIA II;00;3.0;4.0;7.0;5.0;013
14;015;III;HISTOLOGIA HUMANA;00;4.0;6.0;10.0;7.0;012
15;016;III;BIOESTADISTICA;00;3.0;2.0;5.0;4.0;002
16;017;III;PSICOLOGIA;00;2.0;2.0;4.0;3.0;NINGUNO
17;018;III;MICROBIOLOGIA;00;3.0;4.0;7.0;5.0;008
18;019;IV;FISIOLOGIA HUMANA;00;6.0;4.0;10.0;8.0;014
19;020;IV;PARASITOLOGIA MEDICA;00;3.0;2.0;5.0;4.0;018
20;021;IV;TECNOLOGIA DE INFORMACION Y COMUNICACION;00;1.0;4.0;5.0;3.0;NINGUNO
21;023;IV;SALUD PUBLICA I;00;3.0;4.0;7.0;5.0;NINGUNO
22;028;IV;TALLER DE ARTE Y CULTURA;00;1.0;4.0;5.0;3.0;NINGUNO
23;029;IV;TALLER DE DEPORTES;00;1.0;4.0;5.0;3.0;NINGUNO
24;022;V;PATOLOGIA GENERAL Y ESPECIAL;00;3.0;2.0;5.0;4.0;015
25;024;V;FISIOPATOLOGIA;00;5.0;4.0;9.0;7.0;019
26;025;V;FARMACOLOGIA;00;5.0;4.0;9.0;7.0;019
27;026;V;INMUNOLOGIA BASICA;00;2.0;2.0;4.0;3.0;020
28;027;V;SALUD PUBLICA II;00;2.0;2.0;4.0;3.0;023
29;030;VI;SEMIOLOGIA MEDICA;00;5.0;10.0;15.0;10.0;024
