N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA;0;3;1;2;5;4;NINGUNO
2;1;I;ANTROPOLOGIA CULTURAL;0;2;1;2;4;3;NINGUNO
3;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;3;1;2;5;4;NINGUNO
4;1;I;NUTRICION BASICA;0;2;1;2;4;3;NINGUNO
5;1;I;BIOLOGIA CELULAR Y MOLECULAR;0;3;1;2;5;4;NINGUNO
6;1;I;QUIMICA ORGANICA;0;3;1;2;5;4;NINGUNO
7;2;II;BIOSEGURIDAD Y PROCEDIMIENTOS MEDICOS BASICOS;0;2;1;2;4;3;NINGUNO
8;2;II;BIOFISICA;0;2;1;2;4;3;1
9;2;II;DESARROLLO PERSONAL;0;1;1;2;3;2;2
10;2;II;BIOQUIMICA;0;5;2;4;9;7;3
11;2;II;EMBRIOLOGIA Y GENETICA;0;3;1;2;5;4;NINGUNO
12;2;II;ANATOMIA I;0;3;2;4;7;5;4
13;3;III;BIOESTADISTICA;0;3;1;2;5;4;NINGUNO
14;3;III;PSICOLOGIA;0;2;1;2;4;3;5
15;3;III;ANATOMIA II;0;3;2;4;7;5;8
16;3;III;HISTOLOGIA HUMANA;0;4;3;6;10;7;9
17;3;III;MICROBIOLOGIA;0;3;2;4;7;5;11
18;4;IV;TECNOLOGIA DE INFORMACION Y COMUNICACIÓN;0;1;2;4;5;3;NINGUNO
19;4;IV;SALUD PUBLICA I;0;3;2;4;7;5;14
20;4;IV;FISIOLOGIA HUMANA;0;6;2;4;10;8;NINGUNO
21;4;IV;PARASITOLOGIA MEDICA;0;3;1;2;5;4;NINGUNO
;;IV;TALLER DE ARTE Y CULTURA;0;1;2;4;5;3;16
22;4;IV;TALLER DE DEPORTES;0;1;2;4;5;3;16
23;5;V;SALUD PUBLICA II;0;2;1;2;4;3;13
24;5;V;FARMACOLOGIA;0;5;2;4;9;7;NINGUNO
25;5;V;FISIOPATOLOGIA;0;5;2;4;9;7;19
26;5;V;INMUNOLOGIA BASICA;0;2;1;2;4;3;20
27;5;V;PATOLOGIA GENERAL Y ESPECIAL;0;3;1;2;5;4;NINGUNO
28;6;VI;SEMIOLOGIA MEDICA;0;5;5;10;15;10;21
29;6;VI;DIAGNOSTICO POR IMÁGENES;0;2;1;2;4;3;NINGUNO
30;6;VI;LABORATORIO CLINICO;0;2;1;2;4;3;22
31;6;VI;PSICOPATOLOGIA MEDICA;0;3;1;2;5;4;24
32;6;VI;INGLES TECNICO;0;2;1;2;4;3;23
33;7;VII;REALIDAD NACIONAL Y POLITICAS PUBLICAS;0;2;1;2;4;3;27
34;7;VII;SALUD PUBLICA III;0;5;5;10;15;10;NINGUNO
35;7;VII;CLINICA MEDICA I;0;5;5;10;15;10;NINGUNO
36;8;VIII;CLINICA QUIRURGICA I;0;5;5;10;15;10;24
37;8;VIII;PSIQUIATRIA;0;3;1;2;5;4;NINGUNO
38;8;VIII;METODOLOGIA DE LA INVESTIGACION Y DISEÑO EXPERIMENTAL;0;3;1;2;5;4;NINGUNO
39;8;VIII;EPIDEMIOLOGIA;0;3;1;2;5;4;33
40;9;IX;CLINICA PEDIATRICA I;0;5;5;10;15;10;34
41;9;IX;CLINICA GINECOLOGICA Y OBSTETRICA I;0;5;5;10;15;10;35
42;9;IX;NUTRICION Y DIETOTERAPIA;0;3;1;2;5;4;36
43;10;X;CLINICA MEDICA II;0;5;5;10;15;10;NINGUNO
44;10;X;CLINICA QUIRURGICA II;0;5;5;10;15;10;39
45;10;X;ETICA Y DEONTOLOGIA MEDICA;0;2;1;2;4;3;NINGUNO
46;11;XI;CLINICA MEDICA III;0;5;5;10;15;10;41
47;11;XI;CLINICA QUIRURGICA III;0;5;5;10;15;10;42
48;11;XI;EMERGENCIA Y URGENCIA MEDICA;0;3;2;4;7;5;NINGUNO
49;12;XII;MEDICINA LEGAL Y PATOLOGIA FORENSE;0;1;1;2;3;2;NINGUNO
;12;XII;CLINICA PEDIATRICA II;;5;5;10;15;10;54
;12;XII;CLINICA GINECOLOGICA Y OBSTETRICA II;;5;5;10;15;10;
;12;XII;PROYECTO DE INVESTIGACION;;2;1;2;4;3;
;;XIII;ROTACIÓN DE MEDICINA;;0;10;20;20;10;
;;XIII;ROTACIÓN DE CIRUGÍA;;0;10;20;20;10;
;;XIV;ROTACIÓN DE GINECOLOGÍA Y OBSTETRICIA;;0;10;20;20;10;
;;XIV;ROTACIÓN DE PEDIATRÍA;;0;10;20;20;10;
;;XIV;TRABAJO DE INVESTIGACIÓN;;1;1;2;3;2;
