N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA;0;3;2;5;4;NINGUNO
2;2;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;0;4;4;2;NINGUNO
3;3;I;QUIMICA APLICADA;0;3;2;5;4;NINGUNO
4;4;I;BIOLOGIA CELULAR Y MOLECULAR;0;3;2;5;4;NINGUNO
5;5;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;2;4;1;NINGUNO
6;6;I;ANATOMIA VETERINARIA I;0;2;4;6;4;NINGUNO
7;7;I;INTRODUCCION A LA MEDICINA VETERINARIA Y ZOOTECNIA;0;2;2;4;3;NINGUNO
8;8;II;ECOLOGIA Y RECURSOS NATURALES;0;3;2;5;4;NINGUNO
9;9;II;REALIDAD NACIONAL Y POLITICAS AGRARIAS;0;2;2;4;3;NINGUNO
10;10;II;ANATOMIA VETERINARIA II;0;2;4;6;4;6
11;11;II;ANÁLISIS MATEMÁTICO;0;3;2;5;4;1
12;12;II;HISTOLOGIA Y EMBRIOLOGIA I;0;3;2;5;4;NINGUNO
13;13;II;TALLER DE DESARROLLO PERSONAL Y LIDERAZGO;0;2;2;4;3;NINGUNO
14;14;II;TALLER DE DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;1;2;3;2;NINGUNO
15;15;III;BIOQUIMICA;0;3;2;5;4;3
16;16;III;HISTOLOGIA Y EMBRIOLOGIA II;0;3;2;5;4;12
17;17;III;BIOESTADISTICA;0;3;2;5;4;11
18;18;III;ETICA MEDICA VETERINARIA;0;2;0;2;2;NINGUNO
19;19;III;PARASITOLOGIA VETERINARIA I;0;3;2;5;4;4
20;20;III;MICROBIOLOGIA VETERINARIA I;0;3;2;5;4;4
21;21;III;INGLÉS TÉCNICO;0;1;2;3;2;2
22;22;IV;ECONOMIA AGROPECUARIA;0;2;2;4;3;11
23;23;IV;FISIOLOGIA VETERINARIA I;0;3;2;5;4;12
24;24;IV;PARASITOLOGIA VETERINARIA II;0;3;2;5;4;19
25;25;IV;MICROBIOLOGIA VETERINARIA II;0;3;2;5;4;20
26;26;IV;PATOLOGIA VETERINARIA GENERAL;0;3;2;5;4;16
27;27;IV;DISEÑOS EXPERIMENTALES;0;3;2;5;4;17
28;28;V;ENFERMEDADES PARASITARIAS;0;2;2;4;3;24
29;29;V;ENFERMEDADES INFECCIOSAS;0;2;2;4;3;25
30;30;V;FISIOLOGIA VETERINARIA II;0;3;2;5;4;23
31;31;V;GENETICA ANIMAL;0;3;2;5;4;15
32;32;V;PATOLOGIA VETERINARIA ESPECIAL;0;3;2;5;4;26
33;33;V;PROCESAMIENTOS CÁRNICOS;0;2;2;4;3;24
34;34;VI;TECNOLOGIA DE FIBRAS Y PIELES ANIMALES;0;1;2;3;2;16
35;35;VI;MEJORAMIENTO GENÉTICO ANIMAL;0;2;2;4;3;31
36;36;VI;FARMACOLOGIA Y TERAPEUTICA I;0;3;2;5;4;30
37;37;VI;SANIDAD ALIMENTARIA;0;2;2;4;3;29
38;38;VI;DIAGNOSTICO CLINICO VETERINARIO I;0;2;2;4;3;30
39;39;VI;NUTRICION ANIMAL;0;3;2;5;4;30
40;40;VI;PATOLOGIA CLINICA;0;3;2;5;4;32
41;41;VII;DIAGNOSTICO CLINICO VETERINARIO II;0;2;2;4;3;38
42;42;VII;FARMACOLOGIA Y TERAPEUTICA II;0;3;2;5;4;36
43;43;VII;REPRODUCCIÓN ANIMAL;0;3;2;5;4;30
44;44;VII;CIRUGIA VETERINARIA I;0;1;4;5;3;36
45;45;VII;SALUD PUBLICA;0;2;2;4;3;29
46;46;VII;ALIMENTACION ANIMAL;0;3;2;5;4;39
47;68;VII;AGROMARKETING;0;1;2;3;2;137
48;69;VII;ANIMALES DE COMPAÑIA;0;1;2;3;2;137
49;70;VII;ANATOMIA TOPOGRAFICA;0;1;2;3;2;137
50;71;VII;ZOONOSIS Y ENFERMEDADES TRANSMISIBLES;0;1;2;3;2;137
51;72;VII;BROMATOLOGIA;0;1;2;3;2;137
53;47;VIII;PRODUCCION DE CUYES Y CONEJOS;0;2;2;4;3;46
54;48;VIII;MEDICINA INTERNA I;0;3;2;5;4;41
55;49;VIII;PRODUCCION Y ENFERMEDADES DE AVES;0;3;2;5;4;46
56;50;VIII;CIRUGIA VETERINARIA II;0;1;4;5;3;44
57;51;VIII;METODOLOGIA DE LA INVESTIGACION;0;2;2;4;3;27
58;52;VIII;FORMULACION Y EVALUACION DE PROYECTOS AGROPECUARIOS;0;3;2;5;4;22
59;73;VIII;ANESTESIOLOGIA;0;1;2;3;2;160
60;74;VIII;IMAGENOLOGIA;0;1;2;3;2;160
61;75;VIII;TRUCHICULTURA;0;1;2;3;2;160
62;76;VIII;INMUNOLOGIA;0;1;2;3;2;160
63;53;IX;TALLER DE INVESTIGACION APLICADA;0;0;2;2;1;51
64;54;IX;EPIDEMIOLOGIA VETERINARIA;0;2;2;4;3;40
65;55;IX;PROCESAMIENTO DE LECHE Y DERIVADOS LACTEOS;0;2;2;4;3;37
66;56;IX;MEDICINA INTERNA II;0;3;2;5;4;48
67;57;IX;GINECOLOGIA Y OBSTETRICIA VETERINARIA;0;2;2;4;3;43
68;58;IX;BIOTECNOLOGIA DE LA REPRODUCCION;0;1;2;3;2;43
69;59;IX;CONSTRUCCIONES RURALES;0;1;2;3;2;NINGUNO
70;60;IX;PRODUCCION Y MANEJO DE PASTOS Y FORRAJES;0;2;2;4;3;46
71;77;IX;NUTRICION Y ALIMENTACION DE MONOGASTRICOS;0;1;2;3;2;183
72;78;IX;SOCIOLOGIA RURAL;0;1;2;3;2;183
73;79;IX;GANADERIA TROPICAL;0;1;2;3;2;183
74;80;IX;EXTENSION RURAL;0;1;2;3;2;183
75;61;X;PRODUCCION DE CAMELIDOS SUDAMERICANOS DOMESTICOS;0;3;2;5;4;35
76;62;X;PRODUCCION DE PORCINOS;0;2;2;4;3;35
77;63;X;PRODUCCION DE OVINOS;0;3;2;5;4;35
78;64;X;PRODUCCION DE BOVINOS;0;3;2;5;4;35
79;65;X;GESTION Y ADMINISTRACION DE EMPRESAS AGROPECUARIAS;0;2;2;4;3;52
80;66;X;TALLER DE TRATAMIENTO MEDICO-QUIRURGICO;0;0;2;2;1;42
81;67;X;TALLER DE PREVISION SOCIAL Y SALUD PUBLICA;0;0;2;2;1;45
82;81;X;JUZGAMIENTO DE GANADO;0;1;2;3;2;NINGUNO
83;82;X;PRODUCCION Y ENFERMEDADES DE EQUINOS;0;1;2;3;2;NINGUNO
84;83;X;PRODUCCION DE GANADO LECHERO;0;1;2;3;2;NINGUNO
85;84;X;NUTRICION Y ALIMENTACION DE POLIGASTRICOS;0;1;2;3;2;NINGUNO
86;85;X;PRACTICAS PRE PROFESIONALES;0;0;10;10;5;206
87;MVZ339;X;TRABAJO DE INVESTIGACIÓN;;1;2;3;2;53
