N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;MATEMATICA;0;3;1;2;5;4;NINGUNO
2;1;I;TALLER DE COMPRENSION DE TEXTOS ACADÉMICOS;0;0;2;4;4;2;NINGUNO
3;1;I;QUIMICA APLICADA;0;3;1;2;5;4;NINGUNO
4;1;I;BIOLOGIA CELULAR Y MOLECULAR;0;3;1;2;5;4;NINGUNO
5;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;0;1;2;2;1;NINGUNO
6;1;I;INTRODUCCION A LA MEDICINA VETERINARIA Y ZOOTECNIA;0;2;1;2;4;3;NINGUNO
7;1;I;ANATOMIA VETERINARIA I;0;2;2;4;6;4;NINGUNO
8;2;II;ANALISIS MATEMATICO;0;3;1;2;5;4;1
9;2;II;ECOLOGIA Y RECURSOS NATURALES;0;3;1;2;5;4;2
10;2;II;REALIDAD NACIONAL Y POLITICAS AGRARIAS;0;2;1;2;4;3;3
11;2;II;ANATOMIA VETERINARIA II;0;2;2;4;6;4;NINGUNO
12;2;II;HISTOLOGIA Y EMBRIOLOGIA I;0;3;1;2;5;4;4
13;2;II;TALLER DE DESARROLLO PERSONAL Y LIDERAZGO;0;2;1;2;4;3;NINGUNO
14;2;II;TALLER DE DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;1;1;2;3;2;5
15;3;III;BIOQUIMICA;0;3;1;2;5;4;8
16;3;III;BIOESTADISTICA;0;3;1;2;5;4;9
17;3;III;ETICA MEDICA VETERINARIA;0;2;0;0;2;2;11
18;3;III;HISTOLOGIA Y EMBRIOLOGIA II;0;3;1;2;5;4;NINGUNO
19;3;III;PARASITOLOGIA VETERINARIA I;0;3;1;2;5;4;14
20;3;III;MICROBIOLOGIA VETERINARIA I;0;3;1;2;5;4;NINGUNO
21;3;III;INGLES TECNICO;0;1;1;2;3;2;NINGUNO
;4;IV;ECONOMIA AGROPECUARIA;0;2;1;2;4;3;16
22;4;IV;FISIOLOGIA VETERINARIA I;0;3;1;2;5;4;16
23;4;IV;PARASITOLOGIA VETERINARIA II;0;3;1;2;5;4;13
24;4;IV;MICROBIOLOGIA VETERINARIA II;0;3;1;2;5;4;NINGUNO
25;4;IV;PATOLOGIA VETERINARIA GENERAL;0;3;1;2;5;4;19
26;4;IV;DISEÑOS EXPERIMENTALES;0;3;1;2;5;4;20
27;5;V;ENFERMEDADES PARASITARIAS;0;2;1;2;4;3;NINGUNO
28;5;V;ENFERMEDADES INFECCIOSAS;0;2;1;2;4;3;21
29;5;V;FISIOLOGIA VETERINARIA II;0;3;1;2;5;4;NINGUNO
30;5;V;GENETICA ANIMAL;0;3;1;2;5;4;22
31;5;V;PATOLOGIA VETERINARIA ESPECIAL;0;3;1;2;5;4;24
32;5;V;PROCESAMIENTOS CARNICOS;0;2;1;2;4;3;23
33;6;VI;TECNOLOGIA DE FIBRAS Y PIELES ANIMALES;0;1;1;2;3;2;27
34;6;VI;MEJORAMIENTO GENETICO ANIMAL;0;2;1;2;4;3;NINGUNO
35;6;VI;FARMACOLOGIA Y TERAPEUTICA I;0;3;1;2;5;4;NINGUNO
36;6;VI;SANIDAD ALIMENTARIA;0;2;1;2;4;3;24
37;6;VI;DIAGNOSTICO CLINICO VETERINARIO I;0;2;1;2;4;3;NINGUNO
38;6;VI;NUTRICIÓN ANIMAL;0;3;1;2;5;4;NINGUNO
39;6;VI;PATOLOGIA CLINICA;0;3;1;2;5;4;33
40;7;VII;DIAGNOSTICO CLINICO VETERINARIO II;0;2;1;2;4;3;34
41;7;VII;FARMACOLOGIA Y TERAPEUTICA II;0;3;1;2;5;4;35
42;7;VII;REPRODUCCIÓN ANIMAL;0;3;1;2;5;4;36
43;7;VII;CIRUGIA VETERINARIA I;0;1;2;4;5;3;NINGUNO
44;7;VII;SALUD PUBLICA;0;2;1;2;4;3;39
45;7;VII;ALIMENTACIÓN ANIMAL;0;3;1;2;5;4;NINGUNO
;;VII;AGROMARKETING;0;1;1;2;3;2;41
;;VII;ANIMALES DE COMPAÑÍA;0;1;1;2;3;2;41
;;VII;ANATOMIA TOPOGRAFICA;0;1;1;2;3;2;41
;;VII;ZOONOSIS Y ENFERMEDADES TRANSMISIBLES;0;1;1;2;3;2;41
46;7;VII;BROMATOLOGIA;0;1;1;2;3;2;41
47;8;VIII;PRODUCCIÓN DE CUYES Y CONEJOS;0;2;1;2;4;3;42
48;8;VIII;MEDICINA INTERNA I;0;3;1;2;5;4;NINGUNO
49;8;VIII;PRODUCCIÓN Y ENFERMEDADES DE AVES;0;3;1;2;5;4;NINGUNO
;8;VIII;CIRUGIA VETERINARIA II;;1;2;4;5;3;54
;8;VIII;METODOLOGIA DE LA INVESTIGACIÓN;;2;1;2;4;3;
;8;VIII;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS AGROPECUARIOS;;3;1;2;5;4;
;;VIII;ANESTESIOLOGIA;;1;1;2;3;2;
;;VIII;IMAGENOLOGIA;;1;1;2;3;2;
