N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;TALLER DE COMPRENSION Y PRODUCCION DE TEXTOS ACADEMICOS;00;1.0;2.0;3.0;2.0;NINGUNO
2;002;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;00;1.0;2.0;3.0;2.0;NINGUNO
3;003;I;MATEMATICA BASICA;00;4.0;0.0;4.0;4.0;NINGUNO
4;004;I;DESARROLLO PERSONAL;00;1.0;2.0;3.0;2.0;NINGUNO
5;005;I;BIOLOGIA CELULAR Y MOLECULAR;00;3.0;2.0;5.0;4.0;NINGUNO
6;006;I;ANATOMIA HUMANA;00;4.0;2.0;6.0;5.0;NINGUNO
7;007;I;FUNDAMENTOS DE NUTRICION HUMANA;00;4.0;2.0;6.0;5.0;NINGUNO
8;008;II;ANTROPOLOGIA CULTURAL;00;1.0;2.0;3.0;2.0;NINGUNO
9;009;II;SALUD, MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
10;010;II;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO EMPRESARIAL;00;3.0;0.0;3.0;3.0;004
11;011;II;BIOQUIMICA;00;4.0;2.0;6.0;5.0;005
12;012;II;FISIOLOGIA DE LA NUTRICION;00;5.0;2.0;7.0;6.0;006
13;013;II;LABORATORIO DE TECNICA DIETETICA I;00;1.0;4.0;5.0;3.0;007
14;014;II;TALLER DE DANZA PARA LA SALUD;00;0.0;2.0;2.0;1.0;NINGUNO
15;015;III;MICROBIOLOGIA;00;2.0;2.0;4.0;3.0;NINGUNO
16;016;III;PARASITOLOGIA;00;2.0;2.0;4.0;3.0;NINGUNO
17;017;III;ESTADISTICA APLICADA;00;2.0;2.0;4.0;3.0;003
18;018;III;BIOQUIMICA NUTRICIONAL;00;3.0;2.0;5.0;4.0;011
19;019;III;LABORATORIO DE ANALISIS DE LOS ALIMENTOS;00;2.0;4.0;6.0;4.0;NINGUNO
20;020;III;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;00;3.0;0.0;3.0;3.0;001
21;021;III;LABORATORIO DE TECNICA DIETETICA II;00;1.0;4.0;5.0;3.0;013
22;022;IV;REALIDAD NACIONAL Y POLITICAS PUBLICAS EN SALUD;00;3.0;0.0;3.0;3.0;NINGUNO
23;023;IV;SEMIOLOGIA Y FISIOPATOLOGIA DE LA NUTRICION;00;4.0;2.0;6.0;5.0;012
24;024;IV;BIOQUIMICA DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;019
25;025;IV;MICROBIOLOGIA DE LOS ALIMENTOS;00;2.0;2.0;4.0;3.0;015
26;026;IV;EPIDEMIOLOGIA DE LA NUTRICION;00;3.0;2.0;5.0;4.0;017
27;027;IV;TALLER DE NUTRICION Y MACRONUTRIENTES;00;2.0;4.0;6.0;4.0;021
28;028;IV;INGLES TECNICO;00;2.0;0.0;2.0;2.0;NINGUNO
29;029;V;NUTRICIÓN EN EL CRECIMIENTO Y DESARROLLO;00;3.0;2.0;5.0;4.0;NINGUNO
30;030;V;TALLER DE NUTRICIÓN Y MICRONUTRIENTES;00;2.0;4.0;6.0;4.0;027
31;031;V;EDUCACIÓN EN ALIMENTACIÓN NUTRICIÓN Y SALUD;00;2.0;2.0;4.0;3.0;NINGUNO
32;032;V;TOXICOLOGÍA DE LOS ALIMENTOS;00;1.0;2.0;3.0;2.0;025
33;033;V;PLANIFICACIÓN EN PROGRAMAS DE ALIMENTACIÓN, NUTRICIÓN Y SALUD;00;3.0;2.0;5.0;4.0;022
34;034;V;LABORATORIO DE INVESTIGACIÓN EN NUTRICIÓN;00;2.0;4.0;6.0;4.0;020
35;035;V;TALLER DE NUTRICIÓN Y ACTIVIDAD FÍSICA;00;2.0;2.0;4.0;3.0;NINGUNO
36;036;VI;FARMACOLOGIA APLICADA A LA NUTRICION;00;2.0;2.0;4.0;3.0;018
37;037;VI;REDACCION Y COMUNICACION CIENTIFICA;00;3.0;0.0;3.0;3.0;034
38;038;VI;EVALUACION NUTRICIONAL;00;3.0;2.0;5.0;4.0;029
39;039;VI;NUTRICION Y MEDICINA ALTERNATIVA Y COMPLEMENTARIA;00;2.0;2.0;4.0;3.0;NINGUNO
40;040;VI;CONTROL DE CALIDAD DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;032
41;041;VI;ADMINISTRACION DE SERVICIOS DE ALIMENTACION, NUTRICION Y SALUD;00;3.0;2.0;5.0;4.0;010
42;042;VI;TALLER DE TECNICAS DE COMUNICACION EN ALIMENTACIÓN, NUTRICIÓN Y SALUD;00;2.0;2.0;4.0;3.0;031
43;043;VII;DIETOTERAPIA DEL ADULTO;00;3.0;2.0;5.0;4.0;023
44;044;VII;NUTRICION Y SALUD PUBLICA;00;3.0;2.0;5.0;4.0;026
45;045;VII;SISTEMAS DE GESTION DE LA CALIDAD ALIMENTARIA;00;2.0;2.0;4.0;3.0;040
46;046;VII;PROYECTOS DE INVERSION SOCIAL EN SALUD;00;2.0;2.0;4.0;3.0;033
47;047;VII;TALLER DE PLAN DE NEGOCIOS Y MARKETING NUTRICIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
48;048;VII;TALLER DE EVALUACION NUTRICIONAL;00;2.0;2.0;4.0;3.0;038
49;049;VII;ETICA PROFESIONAL;00;4.0;0.0;4.0;4.0;NINGUNO
50;050;VIII;PRIMEROS AUXILIOS;00;2.0;2.0;4.0;3.0;NINGUNO
51;051;VIII;PROYECTO DE INVESTIGACION;00;2.0;2.0;4.0;3.0;037
52;052;VIII;DIETOTERAPIA DEL NIÑO Y DEL ADOLESCENTE;00;3.0;2.0;5.0;4.0;048
