N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;TALLER DE COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;1;1;2;3;2;NINGUNO
2;1;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;1;1;2;3;2;NINGUNO
3;1;I;MATEMÁTICA BÁSICA;0;4;0;0;4;4;NINGUNO
4;1;I;DESARROLLO PERSONAL;0;1;1;2;3;2;NINGUNO
5;1;I;BIOLOGÍA CELULAR Y MOLECULAR;0;3;1;2;5;4;NINGUNO
6;1;I;ANATOMIA HUMANA;0;4;1;2;6;5;NINGUNO
7;1;I;FUNDAMENTOS DE NUTRICIÓN HUMANA;0;4;1;2;6;5;NINGUNO
8;2;II;ANTROPOLOGÍA CULTURAL;0;1;1;2;3;2;1
9;2;II;SALUD, MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;2
10;2;II;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO EMPRESARIAL;0;3;0;0;3;3;3
11;2;II;BIOQUÍMICA;0;4;1;2;6;5;NINGUNO
12;2;II;FISIOLOGÍA DE LA NUTRICIÓN;0;5;1;2;7;6;4
13;2;II;LABORATORIO DE TÉCNICA DIETÉTICA I;0;1;2;4;5;3;NINGUNO
;;II;TALLER DE DANZA PARA LA SALUD;0;0;1;2;2;1;5
;;II;TALLER DE MUSICA;0;0;1;2;2;1;5
14;2;II;TALLER DE TEATRO;0;0;1;2;2;1;5
15;3;III;MICROBIOLOGÍA;0;2;1;2;4;3;8
16;3;III;PARASITOLOGÍA;0;2;1;2;4;3;9
17;3;III;ESTADÍSTICA APLICADA;0;2;1;2;4;3;11
18;3;III;BIOQUÍMICA NUTRICIONAL;0;3;1;2;5;4;NINGUNO
19;3;III;LABORATORIO DE ANÁLISIS DE LOS ALIMENTOS;0;2;2;4;6;4;14
20;3;III;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;3;0;0;3;3;NINGUNO
21;3;III;LABORATORIO DE TECNICA DIETÉTICA II;0;1;2;4;5;3;NINGUNO
;4;IV;REALIDAD NACIONAL Y POLÍTICAS PÚBLICAS EN SALUD;0;3;0;0;3;3;16
22;4;IV;SEMIOLOGÍA Y FISIOPATOLOGÍA DE LA NUTRICIÓN;0;4;1;2;6;5;16
23;4;IV;BIOQUÍMICA DE LOS ALIMENTOS;0;3;1;2;5;4;13
24;4;IV;MICROBIOLOGÍA DE LOS ALIMENTOS;0;2;1;2;4;3;NINGUNO
25;4;IV;EPIDEMIOLOGÍA DE LA NUTRICIÓN;0;3;1;2;5;4;19
26;4;IV;TALLER DE NUTRICIÓN Y MACRONUTRIENTES;0;2;2;4;6;4;20
27;4;IV;INGLES TÉCNICO;0;2;0;0;2;2;NINGUNO
28;5;V;NUTRICIÓN EN EL CRECIMIENTO Y DESARROLLO;0;3;1;2;5;4;21
29;5;V;TALLER DE NUTRICIÓN Y MICRONUTRIENTES;0;2;2;4;6;4;NINGUNO
30;5;V;EDUCACIÓN EN ALIMENTACIÓN NUTRICIÓN Y SALUD;0;2;1;2;4;3;22
31;5;V;TOXICOLOGÍA DE LOS ALIMENTOS;0;1;1;2;3;2;24
32;5;V;PLANIFICACION EN PROGRAMAS DE ALIMENTACIÓN, NUTRICIÓN Y SALUD;0;3;1;2;5;4;23
33;5;V;LABORATORIO DE INVESTIGACIÓN EN NUTRICIÓN;0;2;2;4;6;4;27
34;5;V;TALLER DE NUTRICIÓN Y ACTIVIDAD FÍSICA;0;2;1;2;4;3;NINGUNO
35;6;VI;FARMACOLOGÍA APLICADA A LA NUTRICIÓN;0;2;1;2;4;3;NINGUNO
36;6;VI;REDACCIÓN Y COMUNICACIÓN CIENTÍFICA;0;3;0;0;3;3;24
37;6;VI;EVALUACIÓN NUTRICIONAL;0;3;1;2;5;4;NINGUNO
38;6;VI;NUTRICIÓN Y MEDICINA ALTERNATIVA Y COMPLEMENTARÍA;0;2;1;2;4;3;NINGUNO
39;6;VI;CONTROL DE CALIDAD DE LOS ALIMENTOS;0;3;1;2;5;4;33
40;6;VI;ADMINISTRACIÓN DE SERVICIOS DE ALIMENTACIÓN, NUTRICIÓN Y SALUD;0;3;1;2;5;4;34
41;6;VI;TALLER DE TÉCNICAS DE COMUNICACIÓN EN ALIMENTACIÓN, NUTRICIÓN Y SALUD;0;2;1;2;4;3;35
42;7;VII;DIETOTERAPIA DEL ADULTO;0;3;1;2;5;4;36
43;7;VII;NUTRICIÓN Y SALUD PÚBLICA;0;3;1;2;5;4;NINGUNO
44;7;VII;SISTEMAS DE GESTIÓN DE LA CALIDAD ALIMENTARIA;0;2;1;2;4;3;39
45;7;VII;PROYECTOS DE INVERSIÓN SOCIAL EN SALUD;0;2;1;2;4;3;NINGUNO
;7;VII;TALLER DE PLAN DE NEGOCIOS Y MARKETING NUTRICIONAL;0;2;1;2;4;3;41
;7;VII;TALLER DE EVALUACIÓN NUTRICIONAL;0;2;1;2;4;3;41
;7;VII;ETICA PROFESIONAL;0;4;0;0;4;4;41
;8;VIII;PRIMEROS AUXILIOS;0;2;1;2;4;3;41
46;8;VIII;PROYECTO DE INVESTIGACIÓN;0;2;1;2;4;3;41
47;8;VIII;DIETOTERAPIA DEL NIÑO Y DEL ADOLESCENTE;0;3;1;2;5;4;42
48;8;VIII;TECNOLOGÍA DE LOS ALIMENTOS;0;3;1;2;5;4;NINGUNO
49;8;VIII;TALLER DE GESTIÓN EN PROGRAMAS Y PROYECTOS SOCIALES;0;2;1;2;4;3;NINGUNO
;8;VIII;LABORATORIO DE SOPORTE NUTRICIONAL;;2;1;2;4;3;54
;8;VIII;TALLER DE EDUCACIÓN EN ALIMENTACIÓN, NUTRICIÓN Y SALUD;;3;1;2;5;4;
