N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;00;3.0;4.0;7.0;5.0;NINGUNO
2;002;I;MATEMATICA BASICA;00;3.0;2.0;5.0;4.0;NINGUNO
3;003;I;BIOLOGIA GENERAL;00;2.0;2.0;4.0;3.0;NINGUNO
4;004;I;QUIMICA GENERAL;00;2.0;2.0;4.0;3.0;NINGUNO
5;005;I;ANATOMIA HUMANA I;00;3.0;2.0;5.0;4.0;NINGUNO
6;006;I;EMBRIOLOGIA GENERAL Y APLICADA;00;2.0;2.0;4.0;3.0;NINGUNO
7;007;I;DEONTOLOGIA PROFESIONAL;00;1.0;2.0;3.0;2.0;NINGUNO
8;008;II;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;00;2.0;4.0;6.0;4.0;NINGUNO
9;009;II;ANATOMIA HUMANA II;00;3.0;2.0;5.0;4.0;005
10;010;II;DESARROLLO PERSONAL Y LIDERAZGO Y GESTION PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
11;011;II;BIOQUIMICA GENERAL Y APLICADA;00;3.0;2.0;5.0;4.0;004
12;012;II;BIOFISICA;00;2.0;2.0;4.0;3.0;003
13;013;II;HISTOLOGIA GENERAL Y ESPECIALIZADA;00;2.0;2.0;4.0;3.0;003,006
14;014;II;TECNICA DE INFORMACION Y COMUNICACION;00;2.0;2.0;4.0;3.0;NINGUNO
15;015;III;ANATOMIA HUMANA DE CABEZA Y CUELLO;00;3.0;4.0;7.0;5.0;009
16;016;III;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;00;2.0;4.0;6.0;4.0;008
17;017;III;REALIDAD NACIONAL Y POLITICAS PUBLICAS EN SALUD;00;1.0;2.0;3.0;2.0;010
18;019;III;MICROBIOLOGIA;00;3.0;2.0;5.0;4.0;013
19;020;III;FISIOLOGIA;00;3.0;4.0;7.0;5.0;009
20;021;III;BIOMATERIALES DENTALES;00;3.0;2.0;5.0;4.0;011
21;022;IV;SEMIOLOGIA GENERAL Y ESTOMATOLOGIA;00;4.0;4.0;8.0;6.0;020
22;023;IV;BIOSEGURIDAD Y ERGONOMIA;00;1.0;2.0;3.0;2.0;019
