N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;2;4;7;5;NINGUNO
2;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;NINGUNO
3;1;I;BIOLOGIA GENERAL;0;2;1;2;4;3;NINGUNO
4;1;I;QUIMICA GENERAL;0;2;1;2;4;3;NINGUNO
5;1;I;ANATOMIA HUMANA I;0;3;1;2;5;4;NINGUNO
6;1;I;EMBRIOLOGIA GENERAL Y APLICADA;0;2;1;2;4;3;NINGUNO
7;1;I;DEONTOLOGÍA PROFESIONAL;0;1;1;2;3;2;NINGUNO
8;2;II;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;2;4;6;4;1
9;2;II;ANATOMIA HUMANA II;0;3;1;2;5;4;2
10;2;II;DESARROLLO PERSONAL Y LIDERAZGO Y GESTIÓN PERSONAL;0;2;1;2;4;3;3
11;2;II;BIOQUÍMICA GENERAL Y APLICADA;0;3;1;2;5;4;NINGUNO
12;2;II;BIOFÍSICA;0;2;1;2;4;3;4
13;2;II;HISTOLOGIA GENERAL Y ESPECIALIZADA;0;2;1;2;4;3;NINGUNO
;2;II;TÉCNICA DE INFORMACIÓN Y COMUNICACIÓN;0;2;1;2;4;3;5
;3;III;ANATOMIA HUMANA DE CABEZA Y CUELLO;0;3;2;4;7;5;5
14;3;III;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;6;4;5
15;3;III;REALIDAD NACIONAL Y POLITICAS PÚBLICAS EN SALUD;0;1;1;2;3;2;8
16;3;III;MICROBIOLOGIA;0;3;1;2;5;4;9
17;3;III;FISIOLOGIA;0;3;2;4;7;5;11
18;3;III;BIOMATERIALES DENTALES;0;3;1;2;5;4;NINGUNO
19;4;IV;SEMIOLOGIA GENERAL Y ESTOMATOLOGÍA;0;4;2;4;8;6;14
20;4;IV;BIOSEGURIDAD Y ERGONOMIA;0;1;1;2;3;2;NINGUNO
21;4;IV;ANATOMIA DENTAL;0;3;1;2;5;4;NINGUNO
;4;IV;PATOLOGIA BUCAL;0;3;1;2;5;4;16
22;4;IV;PATOLOGIA Y FISIOPATOLOGIA GENERAL;0;3;2;4;7;5;16
23;4;IV;METODOLOGIA DE LA INVESTIGACION;0;2;1;2;4;3;13
24;5;V;MEDICINA ESTOMATOLOGICA;0;3;1;2;5;4;NINGUNO
25;5;V;ANESTESIOLOGIA Y EMERGENCIAS EN ODONTOLOGÍA;0;3;1;2;5;4;19
26;5;V;FARMACOLOGIA Y TERAPEUTICA;0;3;2;4;7;5;20
27;5;V;IMAGENOLOGIA ESTOMATOLOGÍCA;0;2;2;4;6;4;NINGUNO
28;5;V;OCLUSION;0;2;1;2;4;3;21
29;5;V;PSICOLOGIA CLINICA Y APLICADA;0;1;1;2;3;2;NINGUNO
30;6;VI;CIRUGIA BUCAL;0;3;1;2;5;4;22
31;6;VI;ORTODONCIA Y ORTOPEDIA MAXILAR;0;2;2;4;6;4;24
32;6;VI;PERIODONCIA;0;3;1;2;5;4;23
33;6;VI;OPERATORIA DENTAL;0;2;2;4;6;4;27
34;6;VI;ELABORACION DE PROYECTO DE INVESTIGACION;0;2;2;4;6;4;NINGUNO
35;6;VI;PROTESIS DENTAL FIJA;0;2;1;2;4;3;NINGUNO
36;7;VII;PROTESIS TOTAL REMOVIBLE;0;2;1;2;4;3;24
37;7;VII;ENDODONCIA;0;2;1;2;4;3;NINGUNO
38;7;VII;CLINICA DE OPERATORIA DENTAL I;0;0;3;6;6;3;NINGUNO
39;7;VII;CLINICA DE PERIODONCIA;0;0;3;6;6;3;33
40;7;VII;CLINICA DEL DIAGNOSTICO I;0;0;3;6;6;3;34
41;7;VII;CLINICA DE IMAGENOLOGIA I;0;0;3;6;6;3;35
42;7;VII;CLINICA DE CIRUGIA BUCAL I;0;0;3;6;6;3;36
43;8;VIII;PROTESIS PARCIAL REMOVIBLE;0;2;1;2;4;3;NINGUNO
44;8;VIII;ODONTOPEDIATRIA;0;2;1;2;4;3;39
45;8;VIII;BIOESTADISTICA;0;2;1;2;4;3;NINGUNO
;8;VIII;CLINICA DE CIRUGIA BUCAL II;0;0;3;6;6;3;41
;8;VIII;CLINICA DE OPERATORIA DENTAL II;0;0;3;6;6;3;41
;8;VIII;CLINICA DEL DIAGNOSTICO II;0;0;3;6;6;3;41
