N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;TALLER DE COMPRENSION DE TEXTOS ACADÉMICOS;00;4.0;2.0;6.0;5.0;NINGUNO
2;002;I;MATEMATICA BÁSICA;00;4.0;2.0;6.0;5.0;NINGUNO
3;003;I;TECNOLOGIA DEL PROCESAMIENTO DE LA INFORMACION;00;2.0;2.0;4.0;3.0;NINGUNO
4;004;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
5;005;I;GESTION Y EMPRENDIMIENTO EN SOCIOLOGIA;00;4.0;2.0;6.0;5.0;NINGUNO
6;006;I;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
7;007;II;ARGUMENTACION;00;4.0;2.0;6.0;5.0;NINGUNO
8;008;II;PSICOLOGIA SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
9;009;II;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
10;010;II;REGION Y NACION EN EL PERU MODERNO;00;2.0;2.0;4.0;3.0;NINGUNO
11;011;II;MUNDO MODERNO;00;2.0;2.0;4.0;3.0;NINGUNO
12;012;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;00;4.0;2.0;6.0;5.0;NINGUNO
13;013;III;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;00;4.0;2.0;6.0;5.0;NINGUNO
14;014;III;ESTADISTICA GENERAL;00;4.0;2.0;6.0;5.0;NINGUNO
15;015;III;FUNDAMENTOS DE MICROECONOMIA;00;2.0;2.0;4.0;3.0;NINGUNO
16;016;III;PERU CONTEMPORANEO;00;2.0;2.0;4.0;3.0;NINGUNO
17;017;III;MUNDO CONTEMPORANEO;00;2.0;2.0;4.0;3.0;NINGUNO
18;018;III;EPISTEMOLOGIA DE LAS CIENCIAS SOCIALES;00;4.0;2.0;6.0;5.0;NINGUNO
19;019;IV;CULTURA Y SOCIEDAD;00;2.0;2.0;4.0;3.0;NINGUNO
20;020;IV;ESTADISTICA INFERENCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
21;021;IV;FUNDAMENTOS DE MACROECONOMIA;00;2.0;2.0;4.0;3.0;NINGUNO
22;022;IV;TEORIA SOCIOLOGICA CLASICA;00;4.0;2.0;6.0;5.0;NINGUNO
