N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;TALLER DE COMPRENSION DE TEXTOS ACADÉMICOS;0;4;1;2;6;5;NINGUNO
2;1;I;MATEMÁTICA BÁSICA;0;4;1;2;6;5;NINGUNO
3;1;I;TECNOLOGIA DEL PROCESAMIENTO DE LA INFORMACION;0;2;1;2;4;3;NINGUNO
4;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;NINGUNO
5;1;I;GESTIÓN Y EMPRENDIMIENTO EN SOCIOLOGIA;0;4;1;2;6;5;NINGUNO
6;1;I;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;NINGUNO
7;2;II;ARGUMENTACION;0;4;1;2;6;5;NINGUNO
8;2;II;PSICOLOGÍA SOCIAL;0;4;1;2;6;5;1
9;2;II;DESARROLLO PERSONAL;0;2;1;2;4;3;2
10;2;II;REGIÓN Y NACIÓN EN EL PERÚ MODERNO;0;2;1;2;4;3;3
11;2;II;MUNDO MODERNO;0;2;1;2;4;3;NINGUNO
12;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;4;1;2;6;5;4
13;3;III;TALLER DE PRODUCCIÓN DE TEXTOS ACADEMICOS;0;4;1;2;6;5;NINGUNO
;3;III;ESTADÍSTICA GENERAL;0;4;1;2;6;5;5
;3;III;FUNDAMENTOS DE MICROECONOMÍA;0;2;1;2;4;3;5
14;3;III;PERÚ CONTEMPORÁNEO;0;2;1;2;4;3;5
15;3;III;MUNDO CONTEMPORÁNEO;0;2;1;2;4;3;8
16;3;III;EPISTEMOLOGÍA DE LAS CIENCIAS SOCIALES;0;4;1;2;6;5;9
17;4;IV;CULTURA Y SOCIEDAD;0;2;1;2;4;3;11
18;4;IV;ESTADÍSTICA INFERENCIAL;0;4;1;2;6;5;NINGUNO
19;4;IV;FUNDAMENTOS DE MACROECONOMÍA;0;2;1;2;4;3;14
20;4;IV;TEORÍA SOCIOLÓGICA CLÁSICA;0;4;1;2;6;5;NINGUNO
21;4;IV;ANÁLISIS SOCIOLÓGICO DEMOGRÁFICO;0;2;1;2;4;3;NINGUNO
;4;IV;INVESTIGACIÓN SOCIAL CUALITATIVA I;0;4;1;2;6;5;16
22;5;V;ANÁLISIS SOCIOLÓGICO URBANO;0;2;1;2;4;3;16
23;5;V;ANÁLISIS SOCIOLÓGICO AGRARIO;0;2;1;2;4;3;13
24;5;V;ANÁLISIS SOCIOLÓGICO POLÍTICO;0;2;1;2;4;3;NINGUNO
25;5;V;TEORÍA SOCIOLÓGICA MODERNA;0;4;1;2;6;5;19
26;5;V;SOCIOLOGÍA DE LOS CONFLICTOS Y MOVIMIENTOS SOCIALES;0;4;1;2;6;5;20
27;5;V;INVESTIGACIÓN SOCIAL CUANTITATIVA I;0;4;1;2;6;5;NINGUNO
28;6;VI;PROCESOS Y PROPUESTAS URBANAS;0;2;1;2;4;3;21
29;6;VI;PROCESOS Y PROPUESTAS RURALES;0;2;1;2;4;3;NINGUNO
30;6;VI;SOCIOLOGÍA DE LA INTERCULTURALIDAD;0;2;1;2;4;3;22
31;6;VI;TEORÍA SOCIOLÓGICA CONTEMPORÁNEA;0;4;1;2;6;5;24
;;VI;IDIOMA NATIVO QUECHUA;0;4;1;2;6;5;23
;;VI;INGLÉS BÁSICO;0;4;1;2;6;5;23
32;6;VI;IDIOMA NATIVO AIMARA;0;4;1;2;6;5;23
33;6;VI;INVESTIGACÍON SOCIAL CUALITATIVA II;0;4;1;2;6;5;27
34;7;VII;FORMULACIÓN DE PROGRAMAS Y PROYECTOS SOCIALES;0;4;1;2;6;5;NINGUNO
35;7;VII;HERRAMIENTAS INFORMÁTICAS PARA LA INTERVENCIÓN SOCIAL;0;2;1;2;4;3;NINGUNO
36;7;VII;ANÁLISIS Y DISEÑO DE POLÍTICAS PÚBLICAS;0;2;1;2;4;3;24
;;VII;SOCIOLOGÍA DE LAS PÓLITICAS PÚBLICAS;0;2;1;2;4;3;NINGUNO
37;7;VII;PROCESOS SOCIALES REGIONALES;0;2;1;2;4;3;NINGUNO
38;7;VII;ANÁLISIS SOCIOLÓGICO DE LAS ORGANIZACIONES;0;4;1;2;6;5;NINGUNO
39;7;VII;INVESTIGACIÓN SOCIAL CUANTITATIVA II;0;4;1;2;6;5;33
40;8;VIII;MONITOREO DE PROGRAMAS Y PROYECTOS SOCIALES;0;2;1;2;4;3;34
41;8;VIII;ESTUDIOS DE LÍNEA DE BASE;0;2;1;2;4;3;35
42;8;VIII;GESTIÓN PÚBLICA Y PLANIFICACIÓN Y ESTRATÉGICA;0;4;1;2;6;5;36
43;8;VIII;GESTIÓN DEL POTENCIAL HUMANO Y SOCIAL;0;2;1;2;4;3;NINGUNO
44;8;VIII;MÉTODOS Y TÉCNICAS PARTICIPATIVAS DE INTERVENCION SOCIAL;0;4;1;2;6;5;39
45;8;VIII;TALLER DE FORMULACIÓN DEL PROYECTO DE TESIS;0;4;1;2;6;5;NINGUNO
;9;IX;EVALUACIÓN DE PROGRAMAS Y PROYECTOS SOCIALES;0;2;1;2;4;3;41
;9;IX;MEDICIONES DE POBREZA, INEQUIDAD Y VULNERABILIDAD;0;2;1;2;4;3;41
;9;IX;GESTIÓN Y DESARROLLO ORGANIZACIONAL;0;2;1;2;4;3;41
;9;IX;ANÁLISIS DE RELACIONES COMUNITARIA Y RESOLUCION DE CONFLICTOS SOCIALES;0;4;1;2;6;5;41
46;9;IX;DIAGNÓSTICO SOCIAL PARTICIPATIVO Y ANÁLISIS DE ACTORES;0;4;1;2;6;5;41
47;9;IX;TALLER DE EJECUCIÓN DEL PROYECTO DE TESIS;0;4;1;2;6;5;42
48;10;X;SISTEMATIZACIÓN DE EXPERIENCIAS DE INTERVENCIÓN SOCIAL;0;2;1;2;4;3;NINGUNO
49;10;X;ÉTICA EN LA GESTIÓN PÚBLICA;0;2;1;2;4;3;NINGUNO
;10;X;GERENCIA Y DIRECCIÓN ESTRATÉGICA DE LA GESTION PÚBLICA;;4;1;2;6;5;54
;10;X;GESTIÓN DE RELACIONES COMUNITARIAS Y RESOLUCION DE CONFLICTOS SOCIALES;;4;1;2;6;5;
;10;X;PRACTICAS PRE PROFESIONALES EN PROGRAMAS Y PROYECTOS SOCIALES;;0;3;6;6;3;
;10;X;TRABAJO DE INVESTIGACIÓN;;4;1;2;6;5;
