N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;TALLER DE COMPRENSION DE TEXTOS;00;3.0;2.0;5.0;4.0;NINGUNO
1;002;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZA;00;3.0;2.0;5.0;4.0;NINGUNO
1;003;I;MATEMATICA BASICA;00;3.0;2.0;5.0;4.0;NINGUNO
1;004;I;DESARROLLO PERSONAL Y HABILIDADES SOCIALES;00;3.0;2.0;5.0;4.0;NINGUNO
1;005;I;IDIOMA NATIVO QUECHUA;00;2.0;2.0;4.0;3.0;NINGUNO
1;006;I;FUNDAMENTOS TEORICOS DEL TRABAJO SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
1;007;I;IDIOMA NATIVO AYMARA;00;2.0;2.0;4.0;3.0;NINGUNO
1;008;II;ANTROPOLOGIA CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
1;009;II;PSICOLOGIA SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;010;II;LEGISLACIÓN LABORAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;011;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;3.0;2.0;5.0;4.0;NINGUNO
1;012;II;ADMINISTRACIÓN SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;013;II;TRABAJO SOCIAL CONTEMPORANEO;00;4.0;2.0;6.0;5.0;006
1;014;III;ESTADISTICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;015;III;DEMOGRAFIA;00;2.0;2.0;4.0;3.0;NINGUNO
1;016;III;DEONTOLOGIA DEL TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;017;III;EPISTEMOLOGIA Y TRABAJO SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
1;018;III;TEORIA SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;019;III;PROTECCION SOCIAL Y TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;020;IV;CUESTION SOCIAL Y TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;021;IV;FAMILIA Y TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;022;IV;TEORIA DEL ESTADO;00;3.0;2.0;5.0;4.0;NINGUNO
1;023;IV;DIAGNOSTICO PARA LA INTERVENCION EN TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;024;IV;GESTION SOCIAL Y PRESTACIONES SOCIALES;00;3.0;2.0;5.0;4.0;010
1;025;IV;PLANIFICACION SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;026;V;PEDAGOGIA SOCIAL EN TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;027;V;METODOLOGIA DEL TRABAJO SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
1;028;V;PROBLEMAS SOCIALES CONTEMPORANEOS;00;3.0;2.0;5.0;4.0;NINGUNO
1;029;V;RESOLUCION DE CONFLICTOS;00;2.0;2.0;4.0;3.0;NINGUNO
1;030;V;SISTEMATIZACION EN TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;031;V;TEORIA DEL DESARROLLO;00;3.0;2.0;5.0;4.0;NINGUNO
1;032;VI;INVESTIGACION CUANTITATIVA;00;3.0;2.0;5.0;4.0;017
1;033;VI;POLITICA SOCIAL;00;2.0;2.0;4.0;3.0;NINGUNO
1;034;VI;POLITICA SOCIAL;00;2.0;2.0;4.0;3.0;NINGUNO
1;035;VI;PROMOCION SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;036;VI;ESTRATEGIAS DE INTERVENCION INDIVIDUAL Y FAMILIAR;00;4.0;2.0;6.0;5.0;021
1;037;VI;DISEÑO DE PROYECTOS SOCIALES;00;4.0;2.0;6.0;5.0;NINGUNO
1;038;VI;DISEÑO DE PROYECTOS DE CAPACITACION;00;2.0;2.0;4.0;3.0;026
1;039;VII;INVESTIGACION CUALITATIVA;00;3.0;2.0;5.0;4.0;032
1;040;VII;POLITICAS SOCIALES SECTORIALES;00;3.0;2.0;5.0;4.0;034, 033
1;041;VII;METODOLOGIA DE INTERVENCION COMUNITARIA;00;3.0;2.0;5.0;4.0;NINGUNO
1;042;VII;TALLER DE DISEÑO DE PROMOCION SOCIAL;00;2.0;2.0;4.0;3.0;035
1;043;VII;TECNICAS DE CAPACITACION;00;3.0;2.0;5.0;4.0;038
1;044;VII;TALLER DE INSERCION I;00;4.0;2.0;6.0;5.0;NINGUNO
1;045;VIII;SEMINARIO DE TESIS;00;3.0;2.0;5.0;4.0;039,032
1;046;VIII;EVALUACION DE PROYECTOS SOCIALES;00;3.0;2.0;5.0;4.0;037
1;047;VIII;SALUD PUBLICA Y TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;048;VIII;TALLER DE INSERCION II;00;6.0;4.0;10.0;8.0;044
1;049;VIII;TRABAJO SOCIAL EMPRESARIAL;00;3.0;2.0;5.0;4.0;NINGUNO
1;050;VIII;TRABAJO SOCIAL Y DERECHOS HUMANOS;00;3.0;2.0;5.0;4.0;NINGUNO
1;051;IX;PRACTICA INSTITUCIONAL I;00;18.0;12.0;30.0;24.0;048
1;052;X;PRACTICA INSTITUCIONAL II;00;18.0;12.0;30.0;24.0;051
1;"TSO
217";X;TRABAJO DE INVESTIGACION;00;1.0;2.0;3.0;2.0;045
