N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;TALLER DE COMPRENSION DE TEXTOS;0;3;1;2;5;4;NINGUNO
2;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;1;2;5;4;NINGUNO
3;1;I;MATEMATICA BASICA;0;3;1;2;5;4;NINGUNO
4;1;I;DESARROLLO PERSONAL Y HABILIDADES SOCIALES;0;3;1;2;5;4;NINGUNO
;1;I;IDIOMA NATIVO QUECHUA;0;2;1;2;4;3;NINGUNO
5;1;I;IDIOMA NATIVO AYMARA;0;2;1;2;4;3;NINGUNO
6;1;I;FUNDAMENTOS TEORICOS DEL TRABAJO SOCIAL;0;4;1;2;6;5;NINGUNO
7;2;II;ANTROPOLOGIA CULTURAL;0;2;1;2;4;3;NINGUNO
8;2;II;PSICOLOGIA SOCIAL;0;3;1;2;5;4;1
9;2;II;LEGISLACION LABORAL;0;3;1;2;5;4;2
10;2;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;0;3;1;2;5;4;3
11;2;II;ADMINISTRACION SOCIAL;0;3;1;2;5;4;NINGUNO
12;2;II;TRABAJO SOCIAL CONTEMPORANEO;0;4;1;2;6;5;4
13;3;III;ESTADISTICA GENERAL;0;3;1;2;5;4;NINGUNO
;3;III;DEMOGRAFIA;0;2;1;2;4;3;5
;3;III;TEORIA SOCIAL;0;3;1;2;5;4;5
14;3;III;DEONTOLOGIA DEL TRABAJO SOCIAL;0;3;1;2;5;4;5
15;3;III;EPISTEMOLOGIA Y TRABAJO SOCIAL;0;4;1;2;6;5;8
16;3;III;PROTECCION SOCIAL Y TRABAJO SOCIAL;0;3;1;2;5;4;9
17;4;IV;PLANIFICACION SOCIAL;0;3;1;2;5;4;11
18;4;IV;TEORIA DEL ESTADO;0;3;1;2;5;4;NINGUNO
21;4;IV;CUESTION SOCIAL Y TRABAJO SOCIAL;0;3;1;2;5;4;NINGUNO
;4;IV;DIAGNOSTICO PARA LA INTERVENCION EN TRABAJO SOCIAL;0;3;1;2;5;4;16
22;4;IV;GESTION SOCIAL Y PRESTACIONES SOCIALES;0;3;1;2;5;4;16
23;4;IV;FAMILIA Y TRABAJO SOCIAL;0;3;1;2;5;4;13
24;5;V;RESOLUCION DE CONFLICTOS;0;2;1;2;4;3;NINGUNO
19;5;V;TEORIA DEL DESARROLLO;0;3;1;2;5;4;14
20;5;V;PROBLEMAS SOCIALES CONTEMPORANEOS;0;3;1;2;5;4;NINGUNO
25;5;V;PEDAGOGIA SOCIAL EN TRABAJO SOCIAL;0;3;1;2;5;4;19
26;5;V;METODOLOGIA DEL TRABAJO SOCIAL;0;4;1;2;6;5;20
27;5;V;SISTEMATIZACION EN TRABAJO SOCIAL;0;3;1;2;5;4;NINGUNO
28;6;VI;INVESTIGACION CUANTITATIVA;0;3;1;2;5;4;21
29;6;VI;POLITICA SOCIAL;0;2;1;2;4;3;NINGUNO
30;6;VI;PROMOCION SOCIAL;0;3;1;2;5;4;22
31;6;VI;DISEÑO DE PROYECTOS SOCIALES;0;4;1;2;6;5;24
32;6;VI;DISEÑO DE PROYECTOS DE CAPACITACION;0;2;1;2;4;3;23
33;6;VI;ESTRATEGIAS DE INTERVENCION INDIVIDUAL Y FAMILIAR;0;4;1;2;6;5;27
34;7;VII;INVESTIGACION CUALITATIVA;0;3;1;2;5;4;NINGUNO
35;7;VII;TALLER DE DISEÑO DE PROMOCION SOCIAL;0;2;1;2;4;3;NINGUNO
36;7;VII;POLITICAS SOCIALES SECTORIALES;0;3;1;2;5;4;24
37;7;VII;TECNICAS DE CAPACITACION;0;3;1;2;5;4;NINGUNO
38;7;VII;METODOLOGIA DE INTERVENCION COMUNITARIA;0;3;1;2;5;4;NINGUNO
39;7;VII;TALLER DE INSERCION I;0;4;1;2;6;5;33
40;8;VIII;SEMINARIO DE TESIS;0;3;1;2;5;4;34
41;8;VIII;EVALUACION DE PROYECTOS SOCIALES;0;3;1;2;5;4;35
;;VIII;TRABAJO SOCIAL EMPRESARIAL;0;3;1;2;5;4;36
42;8;VIII;TRABAJO SOCIAL Y DERECHOS HUMANOS;0;3;1;2;5;4;36
43;8;VIII;SALUD PUBLICA Y TRABAJO SOCIAL;0;3;1;2;5;4;NINGUNO
44;8;VIII;TALLER DE INSERCION II;0;6;2;4;10;8;39
45;9;IX;PRACTICA INSTITUCIONAL I;0;18;6;12;30;24;NINGUNO
;10;X;PRACTICA INSTITUCIONAL II;0;18;6;12;30;24;41
;10;X;TRABAJO DE INVESTIGACIÓN;0;1;1;2;3;2;41
