N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;MATEMATICA BASICA;00;2.0;2.0;4.0;3.0;NINGUNO
2;002;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
3;003;I;TALLER DE LECTURA Y ESCRITURA;00;2.0;2.0;4.0;3.0;NINGUNO
4;004;I;FILOSOFIA DE LA CIENCIA;00;2.0;2.0;4.0;3.0;NINGUNO
5;005;I;DESARROLLO PERSONAL Y ORGANIZACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
6;006;I;INTRODUCCION AL TURISMO;00;3.0;2.0;5.0;4.0;NINGUNO
7;007;I;INGLES TURISTICO I;00;3.0;2.0;5.0;4.0;NINGUNO
8;008;II;ESTADISTICA GENERAL;00;2.0;2.0;4.0;3.0;001
9;009;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
10;010;II;CULTURA Y SOCIEDAD;00;2.0;2.0;4.0;3.0;NINGUNO
11;011;II;TALLER DE PRODUCCION DE TEXTOS (PRODUCCION INTELECTUAL);00;2.0;2.0;4.0;3.0;NINGUNO
12;012;II;LEGISLACION TURISTICA;00;3.0;2.0;5.0;4.0;NINGUNO
13;013;II;INGLES TURISTICO II;00;3.0;2.0;5.0;4.0;007
14;014;II;TEORIA DEL TURISMO;00;3.0;2.0;5.0;4.0;006
15;015;III;CONTABILIDAD GERENCIAL DE SERVICIOS TURISTICOS;00;2.0;2.0;4.0;3.0;NINGUNO
16;016;III;PATRIMONIO TURISTICO;00;3.0;2.0;5.0;4.0;NINGUNO
17;017;III;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;00;3.0;2.0;5.0;4.0;NINGUNO
18;018;III;INGLES TURISTICO III;00;3.0;2.0;5.0;4.0;013
19;019;III;PLANIFICACION DEL ESPACIO TURISTICO;00;3.0;2.0;5.0;4.0;NINGUNO
20;020;III;INVESTIGACION APLICADA AL TURISMO (CUALITATIVA);00;3.0;2.0;5.0;4.0;NINGUNO
21;021;IV;RENTABILIDAD TURISTICA;00;3.0;2.0;5.0;4.0;NINGUNO
22;022;IV;ECOTURISMO;00;3.0;2.0;5.0;4.0;017
23;023;IV;GESTION DEL TURISMO RURAL;00;3.0;2.0;5.0;4.0;NINGUNO
24;024;IV;INGLES TURISTICO IV;00;3.0;2.0;5.0;4.0;018
25;025;IV;INVESTIGACION APLICADA AL TURISMO II (CUANTITATIVA);00;3.0;2.0;5.0;4.0;020
26;026;IV;TALLER DE ALIMENTOS;00;3.0;2.0;5.0;4.0;NINGUNO
27;027;IV;TALLER DE BEBIDAS;00;3.0;2.0;5.0;4.0;NINGUNO
28;028;V;GESTION Y EMPRENDIMIENTO DE NEGOCIOS TURISTICOS;00;3.0;2.0;5.0;4.0;NINGUNO
29;029;V;SEMINARIO DE PLANIFICACION ESTRATEGICA DEL TURISMO;00;3.0;2.0;5.0;4.0;019
30;030;V;TECNICA DE GUIAR;00;3.0;2.0;5.0;4.0;NINGUNO
31;031;V;SEMINARIO DE INNOVACION Y CREATIVIDAD TURISTICA;00;3.0;2.0;5.0;4.0;NINGUNO
32;032;V;INGLES TURISTICO V;00;3.0;2.0;5.0;4.0;NINGUNO
33;033;V;SEMINARIO DE INVESTIGACION DE MERCADOS TURISTICOS;00;3.0;2.0;5.0;4.0;NINGUNO
34;034;VI;GESTION ESTRATEGICA DE RESTAURANTES Y AFINES;00;3.0;2.0;5.0;4.0;NINGUNO
35;035;VI;TECNOLOGIA DE INFORMACION Y COMUNICACION TURISTICA;00;3.0;2.0;5.0;4.0;NINGUNO
36;036;VI;GESTION PUBLICA DEL TURISMO;00;3.0;2.0;5.0;4.0;NINGUNO
37;037;VI;INGLES TURISTICO VI;00;3.0;2.0;5.0;4.0;032
38;038;VI;GESTION HOTELERA;00;3.0;2.0;5.0;4.0;NINGUNO
39;039;VI;ADMINISTRACION ESTRATEGICA DEL TURISMO;00;3.0;2.0;5.0;4.0;030
40;040;VII;MARKETING TURISTICO;00;3.0;2.0;5.0;4.0;029
41;041;VII;CIRCUITOS TURISTICOS;00;3.0;2.0;5.0;4.0;NINGUNO
42;042;VII;GESTION DE RECURSOS HUMANOS;00;3.0;2.0;5.0;4.0;NINGUNO
43;043;VII;DIRECCION ESTRATEGICA DE EMPRESAS HOTELERAS;00;3.0;2.0;5.0;4.0;036
44;044;VII;GESTION DE AGENCIAS DE VIAJES Y TURISMO;00;3.0;2.0;5.0;4.0;NINGUNO
45;045;VII;GESTION DE DESTINOS TURISTICOS;00;3.0;2.0;5.0;4.0;NINGUNO
46;046;VIII;TALLER DE MUSICA;00;1.0;2.0;3.0;2.0;NINGUNO
47;047;VIII;TALLER DE DANZA;00;1.0;2.0;3.0;2.0;NINGUNO
48;048;VIII;SEMINARIO DE PROYECTOS DE DESARROLLO TURISTICOS I;00;3.0;2.0;5.0;4.0;NINGUNO
49;049;VIII;DIRECCION ESTRATEGICA DE AGENCIAS DE VIAJES Y TURISMO;00;3.0;2.0;5.0;4.0;044
50;050;VIII;PRACTICAS PRE PROFESIONALES I HOTELES – AGENCIAS – INSTITUCIONES;00;2.0;8.0;10.0;6.0;036
51;051;VIII;SEMINARIO DE TESIS I;00;3.0;2.0;5.0;4.0;033
52;052;VIII;ECONOMETRIA TURISTICA;00;3.0;2.0;5.0;4.0;NINGUNO
