N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
1;1;I;MATEMÁTICA BÁSICA;0;2;1;2;4;3;NINGUNO
2;1;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;NINGUNO
3;1;I;TALLER DE LECTURA Y ESCRITURA;0;2;1;2;4;3;NINGUNO
4;1;I;FILOSOFÍA DE LA CIENCIA;0;2;1;2;4;3;NINGUNO
5;1;I;DESARROLLO PERSONAL Y ORGANIZACIONAL;0;2;1;2;4;3;NINGUNO
6;1;I;INTRODUCCIÓN AL TURISMO;0;3;1;2;5;4;NINGUNO
7;1;I;INGLES TURÍSTICO I;0;3;1;2;5;4;NINGUNO
8;2;II;ESTADÍSTICA GENERAL;0;2;1;2;4;3;1
9;2;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;NINGUNO
10;2;II;CULTURA Y SOCIEDAD;0;2;1;2;4;3;NINGUNO
11;2;II;TALLER DE PRODUCCIÓN DE TEXTOS (PRODUCCIÓN INTELECTUAL);0;2;1;2;4;3;NINGUNO
12;2;II;LEGISLACIÓN TURÍSTICA;0;3;1;2;5;4;NINGUNO
13;2;II;INGLES TURÍSTICO II;0;3;1;2;5;4;7
14;2;II;TEORÍA DEL TURISMO;0;3;1;2;5;4;6
15;3;III;CONTABILIDAD GERENCIAL DE SERVICIOS TURÍSTICOS;0;2;1;2;4;3;NINGUNO
16;3;III;PATRIMONIO TURÍSTICO;0;3;1;2;5;4;NINGUNO
17;3;III;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;NINGUNO
18;3;III;INGLES TURÍSTICO III;0;3;1;2;5;4;13
19;3;III;PLANIFICACIÓN DEL ESPACIO TURÍSTICO;0;3;1;2;5;4;NINGUNO
20;3;III;INVESTIGACIÓN APLICADA AL TURISMO (CUALITATIVA);0;3;1;2;5;4;NINGUNO
21;4;IV;RENTABILIDAD TURÍSTICA;0;3;1;2;5;4;NINGUNO
22;4;IV;ECOTURISMO;0;3;1;2;5;4;17
23;4;IV;GESTIÓN DEL TURISMO RURAL;0;3;1;2;5;4;NINGUNO
24;4;IV;INGLES TURÍSTICO IV;0;3;1;2;5;4;18
25;4;IV;INVESTIGACIÓN APLICADA AL TURISMO II (CUANTITATIVA);0;3;1;2;5;4;20
26;4;IV;TALLER DE ALIMENTOS;0;3;1;2;5;4;NINGUNO
;;IV;TALLER DE BEBIDAS;0;3;1;2;5;4;NINGUNO
27;5;V;GESTIÓN Y EMPRENDIMIENTO DE NEGOCIOS TURÍSTICOS;0;3;1;2;5;4;NINGUNO
28;5;V;SEMINARIO DE PLANIFICACIÓN ESTRATÉGICA DEL TURISMO;0;3;1;2;5;4;NINGUNO
29;5;V;TÉCNICA DE GUIAR;0;3;1;2;5;4;19
30;5;V;SEMINARIO DE INNOVACIÓN Y CREATIVIDAD TURÍSTICA;0;3;1;2;5;4;NINGUNO
31;5;V;INGLES TURÍSTICO V;0;3;1;2;5;4;NINGUNO
32;5;V;SEMINARIO DE INVESTIGACIÓN DE MERCADOS TURÍSTICOS;0;3;1;2;5;4;NINGUNO
33;6;VI;GESTIÓN ESTRATÉGICA DE RESTAURANTES Y AFINES;0;3;1;2;5;4;NINGUNO
34;6;VI;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN TURÍSTICA;0;3;1;2;5;4;NINGUNO
35;6;VI;GESTIÓN PÚBLICA DEL TURISMO;0;3;1;2;5;4;NINGUNO
36;6;VI;INGLES TURÍSTICO VI;0;3;1;2;5;4;NINGUNO
37;6;VI;GESTIÓN HOTELERA;0;3;1;2;5;4;32
38;6;VI;ADMINISTRACIÓN ESTRATÉGICA DEL TURISMO;0;3;1;2;5;4;NINGUNO
39;7;VII;MARKETING TURÍSTICO;0;3;1;2;5;4;30
40;7;VII;CIRCUITOS TURÍSTICOS;0;3;1;2;5;4;29
41;7;VII;GESTIÓN DE RECURSOS HUMANOS;0;3;1;2;5;4;NINGUNO
42;7;VII;DIRECCIÓN ESTRATÉGICA DE EMPRESAS HOTELERAS;0;3;1;2;5;4;NINGUNO
43;7;VII;GESTIÓN DE AGENCIAS DE VIAJES Y TURISMO;0;3;1;2;5;4;36
44;7;VII;GESTIÓN DE DESTINOS TURÍSTICOS;0;3;1;2;5;4;NINGUNO
;;VIII;TALLER DE MÚSICA;0;1;1;2;3;2;NINGUNO
45;8;VIII;TALLER DE DANZA;0;1;1;2;3;2;NINGUNO
46;8;VIII;SEMINARIO DE PROYECTOS DE DESARROLLO TURÍSTICOS I;0;3;1;2;5;4;NINGUNO
47;8;VIII;DIRECCIÓN ESTRATÉGICA DE AGENCIAS DE VIAJES Y TURISMO;0;3;1;2;5;4;NINGUNO
48;8;VIII;PRACTICAS PRE PROFESIONALES I HOTELES – AGENCIAS – INSTITUCIONES;0;2;4;8;10;6;NINGUNO
49;8;VIII;SEMINARIO DE TESIS I;0;3;1;2;5;4;44
50;8;VIII;ECONOMETRÍA TURÍSTICA;0;3;1;2;5;4;36
51;9;IX;SEMINARIO DE PROYECTOS DE DESARROLLO TURÍSTICO II;0;3;1;2;5;4;33
;;IX;TÉCNICAS DE TOUR CONDUCTOR;0;3;1;2;5;4;NINGUNO
52;9;IX;GESTIÓN DE EVENTOS TURÍSTICOS;0;3;1;2;5;4;NINGUNO
53;9;IX;CONSULTORÍA TURÍSTICA;0;3;1;2;5;4;48
54;9;IX;PRACTICAS PRE PROFESIONALES II HOTELES – AGENCIAS – INSTITUCIONES;0;2;4;8;10;6;NINGUNO
55;9;IX;SEMINARIO DE TESIS II;0;3;1;2;5;4;NINGUNO
56;9;IX;ADMINISTRACIÓN DE CALIDAD EN TURISMO;0;3;1;2;5;4;NINGUNO
57;10;X;TALLER DE COMERCIO ELECTRÓNICO DEL TURISMO;0;3;1;2;5;4;50
