N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;
1;;I;COMPRENSION Y ARGUMENTACION;0;3;1;2;5;4;Null;;;
2;;I;PENSAMIENTO RACIONAL ETICA;0;2;1;2;4;3;Null;;;
3;;I;MATEMATICA BASICA;0;3;1;2;5;4;Null;;;
4;;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;;;
5;;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;;;
6;;I;INSTRUMENTO PRINCIPAL BASICO I;0;2;1;2;4;3;Null;;;
7;;I;LENGUAJE MUSICAL I;0;4;0;0;4;4;Null;;;
8;;II;PRODUCCCION DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;;;
9;;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;1;2;4;3;Null;;;
10;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;;;
11;;II;INSTRUMENTO PRINCIPAL BASICO II;0;4;2;4;8;6;Null;;;
12;;II;LENGUAJE MUSICAL II;0;4;1;2;6;5;Null;;;
13;;II;INGLES TECNICO;0;4;0;0;4;4;Null;;;
14;;III;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;0;2;1;2;4;3;Null;;;
15;;III;GEOHISTORIA REGIONAL;0;2;1;2;4;3;Null;;;
16;;III;LENGUAJE MUSICAL III;0;4;1;2;6;5;Null;;;
17;;III;INSTRUMENTO PRINCIPAL INTERMEDIO I;0;2;3;6;8;5;Null;;;
18;;III;INSTRUMENTO COMPLEMENTARIO I;0;4;0;0;4;4;Null;;;
19;;III;HISTORIA DE LA MUSICA OCCIDENTAL I;0;4;0;0;4;4;Null;;;
20;;IV;ESTADISTICA;0;3;1;2;5;4;Null;;;
21;;IV;INSTRUMENTO COMPLEMENTARIO II;0;1;1;2;3;2;Null;;;
22;;IV;ARMONIA I;0;4;0;0;4;4;Null;;;
23;;IV;LENGUAJE MUSICAL IV;0;1;1;2;3;2;Null;;;
24;;IV;HISTORIA DE LA MUSICA OCCIDENTAL II;0;4;0;0;4;4;Null;;;
25;;IV;SOFWARE PARA LA EDICION DE PARTITURAS;0;3;0;0;3;3;Null;;;
26;;IV;INSTRUMENTO PRINCIPAL II;0;2;3;6;8;5;Null;;;
27;;V;ARMONIA II;0;4;0;0;4;4;Null;;;
28;;V;CONTRAPUNTO I;0;4;0;0;4;4;Null;;;
29;;V;INSTRUMENTO PRINCIPAL INTERMEDIO III;0;0;4;8;8;4;Null;;;
30;;V;CORO I;0;2;1;2;4;3;Null;;;
31;;V;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCION I;0;2;0;0;2;2;Null;;;
32;;V;TALLER DE INTERPRETACION MUSICAL I;0;2;1;2;4;3;Null;;;
33;;V;HISTORIA DE LA MUSICA PERUANA Y LATINOAMERICANA;0;4;0;0;4;4;Null;;;
34;;VI;CONTRAPUNTO II;0;4;0;0;4;4;Null;;;
35;;VI;FORMAS MUSICALES I;0;0;4;8;8;4;Null;;;
36;;VI;INSTRUMENTO PRINCIPAL INTERMEDIO IV;0;0;4;8;8;4;Null;;;
37;;VI;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCION II;0;2;0;0;2;2;Null;;;
38;;VI;CORO II;0;2;1;2;4;3;Null;;;
39;;VI;TALLER DE INTERPRETACION MUSICAL II;0;2;1;2;4;3;Null;;;
40;;VI;SOFWARE PARA EDICION MUSICAL I;0;4;0;0;4;4;Null;;;
41;;VII;FORMAS MUSICALES II;0;4;0;0;4;4;Null;;;
42;;VII;INSTRUMENTACION Y ORQUESTACION;0;4;0;0;4;4;Null;;;
43;;VII;TALLER DE IMPROVISACION - LECTURA A PRIMERA VISTA;0;2;0;0;2;2;Null;;;
44;;VII;INSTRUMENTO PRINCIPAL AVANZADO I;0;0;4;8;8;4;Null;;;
45;;VII;SOFWARE PARA EDICION MUSICAL II;0;2;1;2;4;3;Null;;;
46;;VII;TALLER DE INTERPRETACION MUSICAL III;0;2;1;2;4;3;Null;;;
47;;VII;EMPRESA Y MARKETING MUSICAL I;0;4;0;0;4;4;Null;;;
48;;VIII;ARREGLOS MUSICALES;0;3;0;0;3;3;Null;;;
49;;VIII;INSTRUMENTO PRINCIPAL AVANZADO II;0;0;4;8;8;4;Null;;;
50;;VIII;ANALISIS MUSICAL;0;3;0;0;3;3;Null;;;
51;;VIII;COMPOSICION MUSICAL I;0;4;0;0;4;4;Null;;;
52;;VIII;DIRECCION MUSICAL I;0;4;0;0;4;4;Null;;;
53;;VIII;EMPRESA Y MARKETING MUSICAL II;0;2;1;2;4;3;Null;;;
54;;VIII;INVESTIGACION MUSICAL I;0;2;1;2;4;3;Null;;;
55;;IX;INSTRUMENTO PRINCIPAL AVANZADO III;0;0;4;8;8;4;Null;;;
56;;IX;COMPOSICION MUSICAL II;0;3;0;0;3;3;Null;;;
57;;IX;DIRECCION MUSICAL II;0;3;0;0;3;3;Null;;;
58;;IX;HISTORIA DE LA MUSICA PUNEÑA Y ORGANOLOGIA DE LOS INSTRUMENTOS NATIVOS;0;4;0;0;4;4;Null;;;
59;;IX;PRACTICAS PRE PROFESIONALES I;0;4;2;4;8;6;Null;;;
60;;IX;INVESTIGACION MUSICAL II;0;4;0;0;4;4;Null;;;
61;;X;INSTRUMENTO PRINCIPAL AVANZADO IV;0;4;2;4;8;6;Null;;;
62;;X;PRACTICAS PRE PROFESIONALES II;0;6;4;8;14;10;Null;;;
63;;X;INVESTIGACION MUSICAL III;0;4;0;0;4;4;Null;;;
