N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null
2;;I;PENSAMIENTOS RACIONAL Y ÉTICA;0;2;1;2;4;3;Null
3;;I;MATEMÁTICA BASÍCA;0;3;1;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null
6;;I;BIOLOGÍA GENERAL;0;3;1;2;5;4;Null
7;;II;QUÍMICA GENERAL;0;3;1;2;5;4;Null
8;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null
9;;II;BIOLOGÍA CELULAR;0;3;1;2;5;4;Null
10;;II;BOTÁNICA CRIPTOGÁMICA;0;3;1;2;5;4;Null
11;;II;MICROBIOLOGÍA GENERAL;0;3;1;2;5;4;Null
12;;II;INGLÉS;0;2;1;2;4;3;Null
13;;III;FÍSICA GENERAL;0;3;1;2;5;4;Null
14;;III;DESARROLLO PERSONAL;0;2;1;2;4;3;Null
15;;III;BIOESTADÍSTICA;0;3;1;2;5;4;Null
16;;III;BOTÁNICA FANEROGÁMICA;0;3;1;2;5;4;Null
17;;III;ZOOLOGÍA DE INVERTEBRADOS;0;3;1;2;5;4;Null
18;;III;GENÉTICA;0;3;1;2;5;4;Null
19;;IV;DISEÑOS EXPERIMENTALES;0;3;1;2;5;4;Null
20;;IV;BIOSEGURIDAD;0;3;1;2;5;4;Null
21;;IV;ANATOMÍA HUMANA;0;3;1;2;5;4;Null
22;;IV;ZOOLOGÍA DE CORDADOS;0;3;1;2;5;4;Null
23;;IV;BIOQUÍMICA;0;3;1;2;5;4;Null
24;;V;HISTOLOGÍA HUMANA;0;3;1;2;5;4;Null
25;;V;FISIOLOGÍA HUMANA;0;3;1;2;5;4;Null
26;;V;BIOLOGÍA MOLECULAR;0;3;1;2;5;4;Null
27;;V;GENÉTICA MICROBIANA;0;2;1;2;4;3;Null
28;;V;ADMINISTRACIÓN DE LABORATORIOS;0;3;1;2;5;4;Null
29;;V;MICROBIOLOGÍA AMBIENTAL;0;3;1;2;5;4;Null
30;;VI;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;3;1;2;5;4;Null
31;;VI;INMUNOLOGÍA CLÍNICA;0;3;1;2;5;4;Null
32;;VI;BIOTECNOLOGÍA MICROBIONA;0;3;1;2;5;4;Null
33;;VI;SALUD AMBIENTAL;0;3;1;2;5;4;Null
34;;VI;INSTRUMENTACIÓN EN LABORATORIO CLÍNICO;0;2;1;2;4;3;Null
35;;VI;EDUCACIÓN PARA LA SALUD € / GESTIÓN Y MANEJO DE RESIDUOS SÓLIDOS HOSPITALARIOS €;0;2;1;2;4;3;Null
36;;VII;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN EN BIOLOGÍA DE LA SALUD;0;2;2;4;6;4;Null
37;;VII;BIOTECNOLOGÍA EN SALUD;0;3;1;2;5;4;Null
38;;VII;MICROBIOLOGÍA DE LOS ALIMENTOS;0;3;1;2;5;4;Null
39;;VII;ENTOMOLOGÍA MÉDICA;0;3;1;2;5;4;Null
40;;VII;HEMATOLOGÍA CLÍNICA;0;3;1;2;5;4;Null
41;;VIII;PARASITOLOGÍA CLÍNICA;0;3;1;2;5;4;Null
42;;VIII;CONTROL DE CALIDAD DE ALIMENTOS;0;3;1;2;5;4;Null
43;;VIII;BIOLOGÍA FORENSE;0;3;1;2;5;4;Null
44;;VIII;MICOLOGÍA CLÍNICA;0;3;1;2;5;4;Null
45;;VIII;CITOLOGÍA EXFOLIATIVA;0;3;1;2;5;4;Null
46;;IX;SEMINARIO DE TESIS;0;2;2;4;6;4;Null
47;;IX;VIROLOGÍA CLÍNICA;0;3;1;2;5;4;Null
48;;IX;EPIDEMIOLOGÍA;0;3;1;2;5;4;Null
49;;IX;BACTERIOLOGÍA CLÍNICA;0;3;1;2;5;4;Null
50;;IX;BIOQUIMICA CLÍNICA;0;3;1;2;5;4;Null
51;;X;INTERNADO EN PARASITOLOGÍA CLÍNICA;0;0;4;8;8;4;Null
52;;X;INTERNADO EN BACTERIOLOGÍA Y MICOLOGÍA CLÍNICA;0;0;4;8;8;4;Null
53;;X;INTERNADO EN HEMATOLOGÍA CLÍNICA;0;0;4;8;8;4;Null
54;;X;INTERNADO EN BIOQUÍMICA CLÍNICA;0;0;4;8;8;4;Null
55;;X;INTERNADO EN ANATOMÍA PATOLÓGICA;0;0;4;8;8;4;Null
56;;X;INTERNADO EN BANCO DE SANGRE;0;0;4;8;8;4;Null
