N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null;;;
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null;;;
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;;;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;;;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;;;
6;;I;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;1;2;4;3;Null;;;
7;;I;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;;;
8;;II;EPISTEMOLOGÍA;0;2;1;2;4;3;Null;;;
9;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;;;
10;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null;;;
11;;II;EQUIDAD DE GÉNERO;0;2;1;2;4;3;Null;;;
12;;II;CIUDADANÍA Y RESPONSABILIDAD SOCIAL.;0;3;1;2;5;4;Null;;;
13;;II;INTRODUCCIÓN AL DERECHO;0;4;0;0;4;4;Null;;;
14;;II;SOCIOLOGÍA Y ANTROPOLOGÍA JURÍDICA;0;3;1;2;5;4;Null;;;
15;;III;DERECHO,ROMANO, GERMANICO Y ANGLO SAJÓN.;0;2;1;2;4;3;Null;;;
16;;III;TEORÍA DE ESTADO;0;2;0;0;2;2;Null;;;
17;;III;TEORÍA DEL CONFLICTO, CONCILIACIÓN Y ARBITRAJE.;0;2;1;2;4;3;Null;;;
18;;III;ANATOMÍA Y MEDICINA LEGAL;0;3;1;2;5;4;Null;;;
19;;III;DERECHO DE PROPIEDAD INTELECTUAL Y DERECHO DE LA COMPETENCIA;0;2;1;2;4;3;Null;;;
20;;III;DERECHO EMPRESARIAL Y DE SOCIEDADES.;0;3;0;0;3;3;Null;;;
21;;III;DERECHOS DE COMUNIDADES CAMPESINAS, NATIVAS Y RECURSOS HÍDRICOS.;0;2;1;2;4;3;Null;;;
22;;III;ARGUMENTACIÓN JURÍDICA;0;2;1;2;4;3;Null;;;
23;;IV;POLÍTICAS PÚBLICAS Y GESTIÓN PÚBLICA;0;2;0;0;2;2;Null;;;
24;;IV;DERECHOS HUMANOS I;0;2;1;2;4;3;Null;;;
25;;IV;FILOSOFÍA DEL DERECHO;0;3;1;2;5;4;Null;;;
26;;IV;DERECHO CONSTITUCIONAL GENERAL.;0;3;1;2;5;4;Null;;;
27;;IV;DERECHOS DEL CONSUMIDOR Y DERECHO REGULATORIO;0;2;1;2;4;3;Null;;;
28;;IV;DERECHO NACIONAL, REGIONAL, MUNICIPAL Y LOPE;0;3;0;0;3;3;Null;;;
29;;IV;DESARROLLO TECNOLÓGICO E INNOVACIÓN Y PUBLICACIÓN ACADÉMICA.;0;2;1;2;4;3;Null;;;
30;;IV;MARCS NO INSTITUCIONALIZADOS Y JUSTICIA ALTERNATIVA.;0;1;1;2;3;2;Null;;;
31;;V;INGLÉS;0;1;1;2;3;2;Null;;;
32;;V;DERECHOS HUMANOS II;0;2;1;2;4;3;Null;;;
33;;V;DERECHO CONSTITUCIONAL DEL PERÚ;0;3;1;2;5;4;Null;;;
34;;V;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;1;2;5;4;Null;;;
35;;V;DERECHO AMBIENTAL Y ECOLÓGICO;0;3;0;0;3;3;Null;;;
36;;V;DERECHO CIVIL I: PRINCIPIOS DEL DERECHO CIVIL Y DERECHOS DE LAS PERSONAS;0;3;1;2;5;4;Null;;;
37;;V;DERECHO PENAL GENERAL I;0;3;1;2;5;4;Null;;;
38;;VI;TEORÍA GENERAL DEL PROCESO (PENAL, CIVIL, LABORAL, CONSTITUCIONAL Y CONT.ADMIN);0;3;1;2;5;4;Null;;;
39;;VI;DERECHO CIVIL II: ACTO JURÍDICO, NEGOCIO JURÍDICO, PRESCRIPCIÓN Y CADUCIDAD;0;3;1;2;5;4;Null;;;
40;;VI;DERECHO PROCESAL CIVIL I;0;3;1;2;5;4;Null;;;
41;;VI;CRIMINOLOGÍA;0;2;1;2;4;3;Null;;;
42;;VI;DERECHO DE TÌTULOS VALORES Y BANCARIO;0;2;1;2;4;3;Null;;;
43;;VI;DERECHO LABORAL COLECTIVO;0;3;0;0;3;3;Null;;;
44;;VI;SEMINARIO DE DERECHO AMBIENTAL;0;2;1;2;4;3;Null;;;
45;;VII;DERECHO CIVIL III: DERECHOS REALES;0;3;1;2;5;4;Null;;;
46;;VII;DERECHO PROCESAL CIVIL II;0;3;1;2;5;4;Null;;;
