N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null;;
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null;;
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;;
6;;I;EQUIDAD DE GÉNERO;0;2;1;2;4;3;Null;;
7;;I;HISTORIA DE LA EDUCACIO´N;0;2;1;2;4;3;Null;;
8;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;Null;;
9;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null;;
10;;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;1;2;4;3;Null;;
11;;II;DESARROLLO PERSONAL;0;2;1;2;4;3;Null;;
12;;II;TEORI´A DE LA EDUCACIO´N;0;3;1;2;5;4;Null;;
13;;II;INTRODUCCIO´N A LA LINGU¨I´STICA;0;3;1;2;5;4;Null;;
14;;II;INGLES I/QUECHUA I /AIMARA I;0;2;1;2;4;3;Null;;
15;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;;
16;;III;ESPAÑOL COMO SEGUNDA LENGUA;0;4;1;2;6;5;Null;;
17;;III;ANA´LISIS DE TEXTOS LITERARIOS I;0;4;1;2;6;5;Null;;
18;;III;LO´GICA DIALE´CTICA Y FORMAL;0;3;1;2;5;4;Null;;
19;;III;PSICOLOGI´A EVOLUTIVA;0;3;1;2;5;4;Null;;
20;;III;INGLES II/QUECHUA II/AIMARA II;0;2;1;2;4;3;Null;;
21;;IV;ENFOQUES PEDAGO´GICOS CONTEMPORA´NEOS;0;2;1;2;4;3;Null;;
22;;IV;DIDA´CTICA DE LA COMUNICACIO´N;0;2;1;2;4;3;Null;;
23;;IV;FONE´TICA Y FONOLOGI´A DEL ESPAN~OL;0;3;1;2;5;4;Null;;
24;;IV;ANA´LISIS DE TEXTOS LITERARIOS II;0;3;1;2;5;4;Null;;
25;;IV;EPISTEMOLOGI´A;0;2;1;2;4;3;Null;;
26;;IV;PSICOLOGI´A DEL APRENDIZAJE;0;2;1;2;4;3;Null;;
27;;IV;INGLES TECNICO III/QUECHUA III/AIMARA III;0;2;1;2;4;3;Null;;
28;;V;EVALUACIO´N DEL APRENDIZAJE;0;4;1;2;6;5;Null;;
29;;V;DIDA´CTICA DE LA LITERATURA;0;3;1;2;5;4;Null;;
30;;V;MORFOSINTAXIS DEL ESPAN~OL;0;3;1;2;5;4;Null;;
31;;V;LITERATURA UNIVERSAL;0;4;1;2;6;5;Null;;
32;;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;2;1;2;4;3;Null;;
33;;V;GESTIÓN DE PROYECTOS DE DESARROLLO;0;2;1;2;4;3;Null;;
34;;VI;TEORI´A Y DISEN~O CURRICULAR;0;3;1;2;5;4;Null;;
35;;VI;SEMA´NTICA DEL ESPAN~OL;0;3;1;2;5;4;Null;;
36;;VI;LITERATURA ESPAN~OLA E HISPANOAMERICANA;0;3;1;2;5;4;Null;;
37;;VI;PRÁCTICA DE DISEÑO CURRICULAR;0;2;2;4;6;4;Null;;
38;;VI;ESTADÍSTICA;0;2;1;2;4;3;Null;;
39;;VI;"LABORATORIO DE COMUNICACIO´N ORAL, AUDIOVISUAL
Y MEDIOS DIGITALES";0;3;1;2;5;4;Null;;
40;;VII;ORTOGRAFI´A;0;3;1;2;5;4;Null;;
41;;VII;LITERATURA PERUANA AUTO´NOMA Y COLONIAL;0;4;1;2;6;5;Null;;
42;;VII;FILOSOFI´A DEL LENGUAJE;0;2;1;2;4;3;Null;;
43;;VII;GESTIÓN DE TUTORÍA;0;2;1;2;4;3;Null;;
44;;VII;PRÁCTICA DE SESIONES DE APRENDIZAJE EN ENTORNOS HÍBRIDOS;0;2;2;4;6;4;Null;;
45;;VII;METODOLOGI´A DE INVESTIGACIO´N CUANTITATIVA Y CUALITATIVA;0;3;1;2;5;4;Null;;
46;;VIII;LITERATURA PERUANA INDEPENDEN CIA Y REPU´BLICA;0;3;1;2;5;4;Null;;
47;;VIII;FILOSOFI´A DE LA EDUCACIO´N;0;2;1;2;4;3;Null;;
48;;VIII;PRA´CTICA DE UNIDADES DIDÁCTICAS Y COMPETENCIAS TIC;0;2;2;4;6;4;Null;;
49;;VIII;PROYECTO DE INVESTIGACIO´N;0;3;1;2;5;4;Null;;
