N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null
6;;I;EQUIDAD DE GÉNERO;0;2;1;2;4;3;Null
7;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;1;2;4;3;Null
8;;II;DESARROLLO PERSONAL;0;2;1;2;4;3;Null
9;;II;TEORÍA DE LA EDUCACIO´N;0;3;1;2;5;4;Null
10;;II;PRE HISTORIA E HISTORIA DE LA SOCIEDAD ANTIGUA;0;4;1;2;6;5;Null
11;;II;ENFOQUES PEDAGÓGICOS CONTEMPORÁNEOS;0;4;1;2;6;5;Null
12;;II;IDIOMA INGLÉS I/ IDIOMA QUECHUA I/IDIOMA AIMARA I;0;2;1;2;4;3;Null
13;;III;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;1;2;4;3;Null
14;;III;GEOHISTORIA REGIONAL;0;2;1;2;4;3;Null
15;;III;HISTORIA DE LA SOCIEDAD MEDIEVAL Y MODERNA;0;4;1;2;6;5;Null
16;;III;FUENTES DE LA HISTORIA;0;2;1;2;4;3;Null
17;;III;PSICOLOGÍA EVOLUTIVA;0;2;1;2;4;3;Null
18;;III;DESARROLLO DE LA PERSONALIDAD E IDENTIDAD;0;2;1;2;4;3;Null
19;;III;IDIOMA INGLÉS II/ IDIOMA QUECHUA II/IDIOMA AIMARA II;0;2;1;2;4;3;Null
20;;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null
21;;IV;FILOSOFÍA DE LA EDUCACIÓN;0;3;1;2;5;4;Null
22;;IV;HISTORIA DE LAS SOCIEDADES ANTIGUAS DEL PERÚ;0;4;1;2;6;5;Null
23;;IV;EDUCACIÓN INTERCULTURAL;0;3;1;2;5;4;Null
24;;IV;PSICOLOGÍA DEL APRENDIZAJE;0;3;1;2;5;4;Null
25;;IV;TALLER DE FORMACIO´N DE LA PERSONALIDAD E IDENTIDAD;0;3;1;2;5;4;Null
26;;V;HISTORIA DE LA SOCIEDAD INCA;0;2;1;2;4;3;Null
27;;V;FILOSOFÍA DE LA HISTORIA;0;2;1;2;4;3;Null
28;;V;DIDÁCTICA DE LA HISTORIA;0;3;1;2;5;4;Null
29;;V;FORMACIO´N CIUDADANA Y CI´VICA;0;3;1;2;5;4;Null
30;;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;0;2;1;2;4;3;Null
31;;V;PRODUCCIÓN EDITORIAL Y MEDIOS DIGITALES;0;2;1;2;4;3;Null
32;;V;EDUCACIÓN PARA LA INCLUSIÓN;0;2;1;2;4;3;Null
33;;VI;GEOGRAFÍA FÍSICA;0;3;1;2;5;4;Null
34;;VI;HISTORIA DE LA COLONIA;0;3;1;2;5;4;Null
35;;VI;DIDÁCTICA DE LA GEOGRAFÍA Y LA ECONOMÍA;0;3;1;2;5;4;Null
36;;VI;TALLER DE EJERCICIO CIUDADANO Y CULTURA CÍVICA;0;2;1;2;4;3;Null
37;;VI;PRACTICA DE PLANIFICACIÓN CURRICULAR;0;0;3;6;6;3;Null
38;;VI;EVALUACIÓN DEL APRENDIZAJE;0;3;1;2;5;4;Null
39;;VII;GEOGRAFÍA DEL PERÚ;0;3;1;2;5;4;Null
40;;VII;HISTORIA DE LA EMANCIPACIÓN PERUANA;0;3;1;2;5;4;Null
41;;VII;GERENCIA EDUCATIVA I;0;2;1;2;4;3;Null
42;;VII;DIDA´CTICA DEL DESARROLLO DE LA PERSONALIDAD Y FORMACIO´N CIUDADANÍA;0;2;1;2;4;3;Null
43;;VII;PRACTICA DE SESIONES DE APRENDIZAJE;0;1;2;4;5;3;Null
44;;VII;METODOLOGÍA DE INVESTIGACIÓN CUANTITATIVA Y CUALITATIVA;0;3;1;2;5;4;Null
45;;VIII;GEOGRAFÍA ECONÓMICA;0;2;1;2;4;3;Null
46;;VIII;HISTORIA DE LA REPÚBLICA SIGLO XIX;0;2;1;2;4;3;Null
47;;VIII;HISTORIA DE LA SOCIEDAD CONTEMPORÁNEA;0;2;1;2;4;3;Null
48;;VIII;PRACTICA DE UNIDADES DIDÁCTICAS I;0;0;3;6;6;3;Null
49;;VIII;GERENCIA EDUCATIVA II;0;2;1;2;4;3;Null
50;;VIII;FORMACIO´N Y DESARROLLO DEL TALENTO HUMANO;0;1;1;2;3;2;Null
