N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;;I;LENGUAJE Y COMUNICACIÓN;0;1;1;2;3;2;Null;
2;;I;METODOS DE ESTUDIO;0;2;0;0;2;2;Null;
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
4;;I;ÉTICA Y DEONTOLOGÍA;0;2;0;0;2;2;Null;
5;;I;INTRODUCCIÓN A LA AGRONOMÍA;0;3;1;2;5;4;Null;
6;;I;BIOLOGÍA AGRÍCOLA;0;3;1;2;5;4;Null;
7;;I;QUÍMICA AGRÍCOLA I;0;3;1;2;5;4;Null;
8;;I;INFORMÁTICA PARA LA AGRICULTURA;0;1;1;2;3;2;Null;
9;;II;ECOLOGÍA Y RECURSOS NATURALES;0;3;1;2;5;4;Null;
10;;II;CALCULO I;0;3;1;2;5;4;Null;
11;;II;BOTÁNICA AGRÍCOLA;0;3;1;2;5;4;Null;
12;;II;QUÍMICA AGRÍCOLA II;0;3;1;2;5;4;Null;
13;;II;FÍSICA AGRÍCOLA;0;3;1;2;5;4;Null;
14;;II;GEOLOGÍA AGRÍCOLA;0;1;1;2;3;2;Null;
15;;II;DESARROLLO AGRARIO E INCLUSIÓN SOCIAL;0;2;0;0;2;2;Null;
16;;III;CALCULO II;0;3;1;2;5;4;Null;
17;;III;INGLES I;0;0;2;4;4;2;Null;
18;;III;ANATOMÍA Y FISIOLOGÍA ANIMAL;0;2;1;2;4;3;Null;
19;;III;BIOQUÍMICA;0;2;1;2;4;3;Null;
20;;III;TOPOGRAFÍA Y CARTOGRAFÍA;0;2;1;2;4;3;Null;
21;;III;TAXONOMÍA VEGETAL;0;3;1;2;5;4;Null;
22;;III;EDAFOLOGÍA;0;2;1;2;4;3;Null;
23;;III;AGROECONOMÍA;0;1;1;2;3;2;Null;
24;;IV;BIOESTADÍSTICA;0;3;1;2;5;4;Null;
25;;IV;INGLES II;0;0;2;4;4;2;Null;
26;;IV;ZOOTECNIA GENERAL;0;2;1;2;4;3;Null;
27;;IV;MICROBIOLOGÍA AGRÍCOLA;0;2;1;2;4;3;Null;
28;;IV;FISIOLOGÍA DE PLANTAS;0;3;1;2;5;4;Null;
29;;IV;FERTILIDAD DE SUELOS;0;2;1;2;4;3;Null;
30;;IV;HIDROLOGÍA;0;2;1;2;4;3;Null;
31;;IV;GESTIÓN EMPRESARIAL;0;1;1;2;3;2;Null;
32;;V;TELEDETECCIÓN Y SISTEMAS DE INFORMACIÓN GEOGRÁFICA;0;2;1;2;4;3;Null;
33;;V;GENÉTICA AGRÍCOLA Y PECUARIA;0;3;1;2;5;4;Null;
34;;V;MANEJO Y CONSERVACIÓN DE SUELOS;0;2;1;2;4;3;Null;
35;;V;MAQUINARIA Y MECANIZACIÓN AGRÍCOLA;0;3;1;2;5;4;Null;
36;;V;PROPAGACIÓN DE PLANTAS;0;2;1;2;4;3;Null;
37;;V;FITOPATOLOGÍA AGRÍCOLA;0;2;1;2;4;3;Null;
38;;V;HIDRÁULICA;0;2;1;2;4;3;Null;
39;;V;LEGISLACIÓN AGROAMBIENTAL;0;0;1;2;2;1;Null;
40;;VI;EXPERIMENTACIÓN AGRÍCOLA;0;3;1;2;5;4;Null;
41;;VI;ENTOMOLOGÍA AGRÍCOLA;0;3;1;2;5;4;Null;
42;;VI;CONTABILIDAD Y COSTOS AGRÍCOLAS;0;2;1;2;4;3;Null;
43;;VI;AGRONOMÍA DE RIEGO Y DRENAJE;0;3;1;2;5;4;Null;
44;;VI;NUTRICIÓN Y ALIMENTACIÓN ANIMAL;0;3;1;2;5;4;Null;
45;;VI;BIOTECNOLOGÍA AGRÍCOLA;0;1;1;2;3;2;Null;
46;;VI;RECURSOS GENÉTICOS;0;2;1;2;4;3;Null;
47;;VII;AGROMETEOROLOGÍA;0;3;1;2;5;4;Null;
48;;VII;PASTOS Y FORRAJES;0;2;1;2;4;3;Null;
49;;VII;SILVICULTURA;0;2;1;2;4;3;Null;
50;;VII;GESTIÓN INTEGRAL DE CUENCAS;0;3;1;2;5;4;Null;
51;;VII;FITOMEJORAMIENTO;0;3;1;2;5;4;Null;
52;;VII;SISTEMAS DE PRODUCCION AGROPECUARIOS;0;2;1;2;4;3;Null;
53;;VII;TECNOLOGÍA DE SEMILLAS;0;2;1;2;4;3;Null;
