N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE
1;;I;REDACCIÓN Y LENGUAJE;0;2;1;2;4;3;Null
2;;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE UNIVERSITARIO;0;2;1;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null
4;;I;ADMINISTRACIÓN Y EMPRENDIMIENTO EMPRESARIAL;0;3;1;2;5;4;Null
5;;I;TEORÍA DE LAS CIENCIAS CONTABLES;0;3;1;2;5;4;Null
6;;I;DOCUMENTACIÓN MERCANTIL CONTABLE;0;3;1;2;5;4;Null
7;;II;DERECHO DE LA PERSONA CON DISCAPACIDAD;0;2;1;2;4;3;Null
8;;II;MATEMÁTICA SUPERIOR;0;3;1;2;5;4;Null
9;;II;MARKETING;0;2;1;2;4;3;Null
10;;II;FILOSOFÍA Y POLÍTICA SOCIAL;0;2;1;2;4;3;Null
11;;II;CONTABILIDAD FINANCIERA I;0;3;1;2;5;4;Null
12;;II;TEORÍA ECONÓMICA;0;2;1;2;4;3;Null
13;;II;DERECHO CONSTITUCIONAL Y CÓDIGO CIVIL;0;2;1;2;4;3;Null
14;;III;ESTADÍSTICA APLICADA;0;3;1;2;5;4;Null
15;;III;GESTIÓN DEL TALENTO HUMANO Y LIDERAZGO;0;2;1;2;4;3;Null
16;;III;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;3;0;0;3;3;Null
17;;III;CONTABILIDAD FINANCIERA II;0;3;1;2;5;4;Null
18;;III;DERECHO LABORAL PRIVADO;0;2;1;2;4;3;Null
19;;III;ADMINISTRACIÓN ESTRATÉGICA;0;2;1;2;4;3;Null
20;;III;TEORÍA DEL TRIBUTO;0;3;1;2;5;4;Null
21;;IV;ÉTICA PROFESIONAL;0;3;0;0;3;3;Null
22;;IV;INGLES TÉCNICO(*);0;1;1;2;3;2;Null
23;;IV;NORMAS INTERNACIONALES DE CONTABILIDAD E INFORMACIÓN FINANCIERA I;0;3;1;2;5;4;Null
24;;IV;CONTABILIDAD DE SOCIEDADES;0;3;1;2;5;4;Null
25;;IV;DERECHO LABORAL PÚBLICO;0;2;1;2;4;3;Null
26;;IV;GESTIÓN TRIBUTARIA I;0;3;1;2;5;4;Null
27;;IV;CONTABILIDAD DE COSTOS I;0;3;1;2;5;4;Null
28;;V;TECNOLOGÍAS DE INFORMACIÓN EMPRESARIAL;0;3;1;2;5;4;Null
29;;V;NORMAS INTERNACIONALES DE CONTABILIDAD E INFORMACIÓN FINANCIERA II;0;3;1;2;5;4;Null
30;;V;MATEMÁTICA FINANCIERA;0;3;1;2;5;4;
31;;V;GESTIÓN GUBERNAMENTAL;0;2;1;2;4;3;Null
32;;V;GESTIÓN TRIBUTARIA II;0;3;1;2;5;4;
33;;V;CONTABILIDAD DE COSTOS II;0;3;1;2;5;4;Null
34;;VI;DESARROLLO DE SISTEMAS DE INFORMACIÓN EMPRESARIAL;0;3;1;2;5;4;
35;;VI;FORMULACIÓN DE ESTADOS FINANCIEROS;0;3;1;2;5;4;Null
36;;VI;ADMINISTRACIÓN FINANCIERA;0;3;1;2;5;4;Null
37;;VI;GESTIÓN DE MYPES Y PYMES;0;3;1;2;5;4;
38;;VI;PRESUPUESTO Y FINANZAS PÚBLICAS;0;2;1;2;4;3;Null
39;;VI;CONTABILIDAD DE SERVICIOS;0;3;1;2;5;4;Null
40;;VII;ANÁLISIS E INTERPRETACIÓN DE ESTADOS FINANCIEROS;0;3;1;2;5;4;
41;;VII;FINANZAS CORPORATIVAS;0;3;1;2;5;4;
42;;VII;CONTRATACIONES DEL ESTADO;0;3;1;2;5;4;Null
43;;VII;CONTABILIDAD DE INDUSTRIAS EXTRACTIVAS;0;3;1;2;5;4;Null
44;;VII;CONTABILIDAD GUBERNAMENTAL I;0;3;1;2;5;4;
45;;VII;"PROYECTO DE INVERSIÓN PRIVADA (ELECTIVO) 
TRIBUTACIÓN SUPERIOR (ELECTIVO)
";0;2;1;2;4;3;
46;;VIII;CONTABILIDAD DE INSTITUCIONES FINANCIERAS;0;3;1;2;5;4;
47;;VIII;MERCADO DE VALORES SEGUROS Y REASEGUROS;0;3;1;2;5;4;Null
48;;VIII;INVESTIGACIÓN CIENTÍFICA I;0;2;1;2;4;3;
49;;VIII;CONTABILIDAD AGROPECUARIA;0;3;1;2;5;4;Null
50;;VIII;AUDITORÍA FINANCIERA;0;3;1;2;5;4;Null
51;;VIII;CONTABILIDAD GUBERNAMENTAL II;0;3;1;2;5;4;
52;;IX;CONTABILIDAD DE COMERCIO INTERNACIONAL;0;3;1;2;5;4;
53;;IX;INVESTIGACIÓN CIENTÍFICA II;0;2;1;2;4;3;Null
54;;IX;AUDITORIA TRIBUTARIA;0;3;1;2;5;4;Null
55;;IX;AUDITORÍA GUBERNAMENTAL;0;3;1;2;5;4;
56;;IX;PRÁCTICAS PRE PROFESIONALES PRIVADAS Y GABINETE;0;3;1;2;5;4;Null
57;;IX;"CONTABILIDAD DE LA INDUSTRIA DE LA CONSTRUCCIÓN (ELECTIVO)
CONTABILIDAD MINERA (ELECTIVO)

";0;2;1;2;4;3;Null
