N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;1;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
3;1;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
4;1;I;PENSAMIENTO RACIONAL Y ÉTICA ;0;2;2;4;3;Null
5;1;I;INDUCCIÓN Y FUNDAMENTOS DE LAS CIENCIAS CONTABLES;0;3;2;5;4;Null
6;1;I;FUNDAMENTOS DE INFORMÁTICA CONTABLE;0;3;0;3;3;Null
7;1;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
8;2;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
9;2;II;DOCUMENTACIÓN CONTABLE Y TRIBUTARIA;0;3;2;5;4;Null
10;2;II;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
11;2;II;CALCULO DIFERENCIAL;0;3;2;5;4;Null
12;2;II;GESTIÓN ADMINISTRATIVA Y MARKETING ESTRATÉGICO;0;3;0;3;3;Null
13;2;II;CONTABILIDAD FINANCIERA BÁSICA;0;3;2;5;4;Null
14;2;II;ECONOMÍA;0;2;2;4;3;Null
15;3;III;ESTADÍSTICA;0;3;2;5;4;Null
16;3;III;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;Null
17;3;III;DESARROLLO PERSONAL;0;2;2;4;3;Null
18;3;III;GESTIÓN Y LEGISLACIÓN LABORAL;0;3;2;5;4;Null
19;3;III;DERECHO CONSTITUCIONAL Y CIVIL;0;3;0;3;3;Null
20;3;III;CONTABILIDAD FINANCIERA INTERMEDIA;0;3;2;5;4;Null
21;3;III;DOCTRINA Y CÓDIGO TRIBUTARIO;0;2;2;4;3;Null
22;4;IV;MATEMÁTICA FINANCIERA;0;3;2;5;4;Null
23;4;IV;CONTABILIDAD DE SOCIEDADES;0;3;2;5;4;Null
24;4;IV;GESTIÓN GUBERNAMENTAL;0;2;2;4;3;Null
25;4;IV;CONTABILIDAD DE IMPUESTOS INDIRECTOS;0;3;2;5;4;Null
26;4;IV;GESTIÓN DEL TALENTO HUMANO;0;2;2;4;3;Null
27;4;IV;CONTABILIDAD DE COSTOS BÁSICOS;0;3;2;5;4;Null
28;5;V;CONTABILIDAD DE COSTOS INTERMEDIOS;0;3;2;5;4;Null
29;5;V;ÉTICA DEL CONTADOR Y RESPONSABILIDAD SOCIAL;0;3;0;3;3;Null
30;5;V;ADMINISTRACIÓN FINANCIERA;0;2;2;4;3;Null
31;5;V;CONTABILIDAD DE IMPUESTOS DIRECTOS;0;3;2;5;4;Null
32;5;V;PRESUPUESTO Y FINANZAS PUBLICAS;0;2;2;4;3;Null
33;5;V;TECNOLOGÍAS DE INFORMACIÓN CONTABLE;0;2;2;4;3;Null
34;5;V;NIIFS. PARA EL ESTADO DE SITUACIÓN FINANCIERA;0;3;2;5;4;Null
35;6;VI;GESTIÓN Y ASESORAMIENTO TRIBUTARIO DE MIPYMES;0;3;2;5;4;Null
36;6;VI;DESARROLLO DE SISTEMAS DE INFORMACIÓN CONTABLE;0;2;2;4;3;Null
37;6;VI;CONTABILIDAD DE SERVICIOS;0;2;2;4;3;Null
38;6;VI;INGLES TÉCNICO ;0;3;0;3;3;Null
39;6;VI;CONTRATACIONES DEL ESTADO;0;3;2;5;4;Null
40;6;VI;NIIFS. PARA EL ESTADO DE RESULTADOS;0;3;2;5;4;Null
41;6;VI;FINANZAS CORPORATIVAS;0;2;2;4;3;Null
42;7;VII;PLANEAMIENTO TRIBUTARIO;0;2;2;4;3;Null
43;7;VII;FORMULACIÓN DE ESTADOS FINANCIEROS PRIVADOS;0;2;4;6;4;Null
44;7;VII;CONTABILIDAD AGROPECUARIA E INDUSTRIAS EXTRACTIVAS;0;2;4;6;4;Null
45;7;VII;CONTABILIDAD Y GESTIÓN DE COMERCIO INTERNACIONAL;0;2;2;4;3;Null
46;7;VII;CONTABILIDAD GUBERNAMENTAL: SIAF;0;3;2;5;4;Null
47;7;VII;GESTIÓN DE INVERSIÓN PÚBLICA Y PRIVADA;0;3;2;5;4;Null
48;8;VIII;INTRODUCCIÓN, MÉTODOS Y TÉCNICAS DE LA INVESTIGACIÓN ;0;2;2;4;3;Null
49;8;VIII;FORMULACIÓN DE ESTADOS FINANCIEROS Y PRESUPUESTARIOS PÚBLICOS;0;3;2;5;4;Null
50;8;VIII;TRIBUTACIÓN MUNICIPAL;0;3;2;5;4;Null
51;8;VIII;GABINETE DE CONTABILIDAD Y GESTIÓN PRIVADA;0;2;2;4;3;Null
52;8;VIII;CONTABILIDAD MINERA (ELECTIVO) / MERCADO DE VALORES SEGUROS Y REASEGUROS (ELECTIVO)  /  CONTABILIDAD DE INDUSTRIAS DE LA CONSTRUCCIÓN (ELECTIVO);0;3;0;3;3;Null
52;8;VIII;GESTIÓN DE INSTITUCIONES FINANCIERAS;0;2;2;4;3;Null
52;8;VIII;ANÁLISIS E INTERPRETACIÓN DE ESTADOS FINANCIEROS;0;3;2;5;4;Null
53;9;IX;DISEÑO DE PROYECTOS DE  INVESTIGACIÓN CIENTÍFICA;0;2;2;4;3;Null
54;9;IX;PERITAJE, CONTABLE, JUDICIAL Y FISCAL;0;2;2;4;3;Null
55;9;IX;PRACTICAS PRE-PROFESIONALES PRIVADAS;0;1;4;5;3;Null
56;9;IX;GABINETE DE CONTABILIDAD Y GESTIÓN PUBLICA;0;2;2;4;3;Null
57;9;IX;AUDITORIA GUBERNAMENTAL;0;3;2;5;4;Null
58;9;IX;MÉTODOS CUANTITATIVOS PARA LOS NEGOCIOS;0;2;2;4;3;Null
59;9;IX;AUDITORÍA FINANCIERA;0;3;2;5;4;Null
60;10;X;TRABAJO DE INVESTIGACIÓN;0;2;2;4;3;Null
61;10;X;CONTABILIDAD GERENCIAL;0;3;2;5;4;Null
62;10;X;PRACTICAS PRE-PROFESIONALES PUBLICAS;0;1;4;5;3;Null
63;10;X;GESTIÓN INTEGRAL DE RIESGOS FINANCIEROS;0;2;2;4;3;Null
64;10;X;AUDITORIA FORENSE, FRAUDE Y DELITOS ECONÓMICOS;0;2;2;4;3;Null
65;10;X;AUDITORIA TRIBUTARIA;0;3;2;5;4;Null
66;10;X;CONTABILIDAD Y AUDITORÍA AMBIENTAL DE EMPRESAS;0;3;2;5;4;Null
